Date,ZHONG HUA WITH PARTIAL A SHARES
2008-11,1076.0928919625005
2008-12,1162.5045850848617
2009-01,1101.7741637041202
2009-02,1061.8735788979604
2009-03,1176.2629618392139
2009-04,1326.0175724133653
2009-05,1556.1271236690457
2009-06,1596.5851860736773
2009-07,1785.3640657815358
2009-08,1653.408369243505
2009-09,1749.4136055857578
2009-10,1843.2224679070412
2009-11,1870.5596304048188
2009-12,1888.601128952679
2010-01,1736.092595876359
2010-02,1784.9923634877546
2010-03,1881.8585373137832
2010-04,1862.688632644804
2010-05,1755.4940548526142
2010-06,1785.4383065881511
2010-07,1873.950738167292
2010-08,1842.707327245557
2010-09,2034.177032011016
2010-10,2107.267414350883
2010-11,2085.730560937629
2010-12,2080.2307719589935
2011-01,2083.1485528613084
2011-02,2036.9396803527538
2011-03,2116.9539698807307
2011-04,2157.6310928705743
2011-05,2167.0143022280813
2011-06,2088.6072787159987
2011-07,2089.88138466549
2011-08,1918.0446592882545
2011-09,1601.158817679221
2011-10,1826.8310828972783
2011-11,1680.7253331806687
2011-12,1718.338832602128
2012-01,1893.9555423643137
2012-02,2028.7750068075563
2012-03,1903.8195698915438
2012-04,1955.9812532057645
2012-05,1758.2662880640373
2012-06,1807.6542728411712
2012-07,1843.4940845712383
2012-08,1807.8036886902664
2012-09,1934.1493421730047
2012-10,2015.2043531192273
2012-11,2059.552779675857
2012-12,2139.451370310174
2013-01,2240.433965222616
2013-02,2178.2541269657404
2013-03,2099.281713811892
2013-04,2132.9164264231927
2013-05,2114.5015683635033
2013-06,1975.5986502764015
2013-07,2054.370775567135
2013-08,2080.512599826471
2013-09,2193.62424394458
2013-10,2245.2170199878165
2013-11,2326.1835483810914
2013-12,2274.835976124156
2014-01,2133.615699748114
2014-02,2200.262277637752
2014-03,2157.028544970311
2014-04,2141.5434515155166
2014-05,2240.991831839692
2014-06,2296.1549428129797
2014-07,2470.917341986903
2014-08,2467.8063244156792
2014-09,2309.6479410730503
2014-10,2426.260926399721
2014-11,2462.0228064631906
2014-12,2460.4930077715835
2015-01,2534.3561636683326
2015-02,2586.5318905295144
2015-03,2652.262295248349
2015-04,3049.807700333095
2015-05,2976.535747377662
2015-06,2827.218804769918
2015-07,2589.472270009015
2015-08,2273.3226587249105
2015-09,2228.04808285785
2015-10,2429.9848599452994
2015-11,2352.565162491627
2015-12,2333.4835135231065
2016-01,2044.2923937571925
2016-02,2011.0014617638897
2016-03,2239.219234942168
2016-04,2242.121788461491
2016-05,2227.20538494798
2016-06,2251.3996715937487
2016-07,2349.7994147648938
2016-08,2482.1876975209707
2016-09,2548.531564055874
2016-10,2506.3057314934044
2017-04,2736.646018
2017-05,2861.319531
2017-06,2917.759771
2017-07,3133.933063
2017-08,3246.854481
2017-09,3271.152625
2017-10,3371.349387
2017-11,3430.417289
2017-12,3505.943959
2018-01,3874.757331
2018-02,3654.025228
2018-03,3545.0809407963366
2018-04,3569.532815046771
2018-05,3626.382504960726
2018-06,3437.906611497359
2018-07,3386.4859412155024
2018-08,3269.2951191171405
2018-09,3232.843261162946
2018-10,2864.894237907734
2018-11,3074.7153016968996
2018-12,2933.423809996664
2019-01,3233.121088515549
2019-02,3365.242809161141
2019-03,3438.869147101019
2019-04,3505.7431757715835
2019-05,3103.386277088533
2019-06,3346.250475175312
2019-07,3305.015935153398
2019-08,3135.668651005051
2019-09,3129.8623641521235
2019-10,3261.9881155082912
2019-11,3299.892089940825
2019-12,3543.868788498926
2020-01,3369.4517145083773
2020-02,3388.035909493339
2020-03,3126.748193075257
2020-04,3328.844017504811
2020-05,3266.0295275454046
2020-06,3568.327629399772
2020-07,3829.12918999824
2020-08,4062.4889274873517
2020-09,3940.79163912549
2020-10,4116.091518380966
2020-11,4270.385668454174
2020-12,4385.386878248005
