Date,MSCI ACWI ex POLAND
1998-12,1000.0
1999-01,1019.8081471341181
1999-02,993.9896909933381
1999-03,1039.602207736035
1999-04,1084.382068079327
1999-05,1047.00518969464
1999-06,1099.6318002479752
1999-07,1094.624705462015
1999-08,1093.5771065590836
1999-09,1081.934309404016
1999-10,1136.0594127908064
1999-11,1171.163124545987
1999-12,1268.3081297027802
2000-01,1199.1506498865851
2000-02,1202.941896886746
2000-03,1282.6863958799997
2000-04,1225.3687423165563
2000-05,1194.635153470612
2000-06,1235.080047927944
2000-07,1198.3263465700563
2000-08,1236.1070110235885
2000-09,1168.090498388901
2000-10,1144.807779907717
2000-11,1073.71214890495
2000-12,1091.0899893943197
2001-01,1118.7749070861219
2001-02,1024.7825894737775
2001-03,955.8435218938179
2001-04,1025.4862706091399
2001-05,1014.0459223977292
2001-06,982.7773638306156
2001-07,967.6313167053925
2001-08,923.1741226614108
2001-09,838.8723658561605
2001-10,856.5832012691459
2001-11,909.2758800911909
2001-12,917.806855164951
2002-01,892.5888566831416
2002-02,886.0561106423287
2002-03,926.0956250668643
2002-04,896.7235401752018
2002-05,897.9771592517332
2002-06,843.2103093736705
2002-07,772.5119596394917
2002-08,774.4839082648793
2002-09,689.5311715820669
2002-10,740.2665747753595
2002-11,780.7711996486713
2002-12,743.5303665362678
2003-01,721.8151749505682
2003-02,709.1921085334885
2003-03,706.5309016750489
2003-04,769.614051231542
2003-05,814.3895607270645
2003-06,830.037703902197
2003-07,848.4164393724202
2003-08,868.5029672550627
2003-09,874.1361400792224
2003-10,927.1738938154532
2003-11,941.3856325781707
2003-12,1001.0937001132827
2004-01,1018.2504551668861
2004-02,1037.0271400166857
2004-03,1031.4515440121374
2004-04,1007.7828165883822
2004-05,1016.2819506451906
2004-06,1036.799863154505
2004-07,1003.930859536542
2004-08,1010.4392812601886
2004-09,1031.6802145849672
2004-10,1057.108564187462
2004-11,1115.147500983995
2004-12,1158.513056005157
2005-01,1134.2396494017821
2005-02,1173.8857048519674
2005-03,1148.601109141247
2005-04,1124.1492284539825
2005-05,1145.9683880361613
2005-06,1157.9890411323752
2005-07,1201.0744168819222
2005-08,1210.6928951173718
2005-09,1247.3339821099414
2005-10,1214.082288959515
2005-11,1258.89102851748
2005-12,1290.1218119217108
2006-01,1353.8803933273073
2006-02,1352.4358016512265
2006-03,1381.5229994071838
2006-04,1428.006113489172
2006-05,1373.0585243148541
2006-06,1373.0244643327642
2006-07,1382.443112774905
2006-08,1419.186284157457
2006-09,1436.1817981535216
2006-10,1490.2380765596417
2006-11,1532.9536648586293
2006-12,1567.5564459015175
2007-01,1583.4311511400465
2007-02,1575.8370297510337
2007-03,1607.8919564511357
2007-04,1680.1107702424185
2007-05,1731.6843112555384
2007-06,1727.0388363449997
2007-07,1701.003676288333
2007-08,1697.1716913702548
2007-09,1788.7957822392868
2007-10,1858.6851876440649
2007-11,1777.3798781107353
2007-12,1758.2046366867373
2008-01,1614.79522659806
2008-02,1620.02858877996
2008-03,1596.7046823030332
2008-04,1687.1819369683724
2008-05,1715.4212105127965
2008-06,1575.1825918842878
2008-07,1534.3143707344782
2008-08,1502.2888187710912
2008-09,1315.1608623186928
2008-10,1055.234235288049
2008-11,986.6691370840288
2008-12,1022.913006725983
2009-01,936.081371340644
2009-02,845.1324149770589
2009-03,915.1526009251463
2009-04,1023.8621346432778
2009-05,1127.1850147773423
2009-06,1121.246121195237
2009-07,1220.0618689646356
2009-08,1264.1591353794122
2009-09,1322.6808571509323
2009-10,1302.3548045872042
2009-11,1356.4096923460668
2009-12,1384.9973585892012
2010-01,1325.3414129199605
2010-02,1342.8573923160275
2010-03,1429.8078051742239
2010-04,1432.979875269233
2010-05,1298.5104185744494
2010-06,1259.070927034338
2010-07,1361.6584652447148
2010-08,1314.601762939886
2010-09,1440.6225179624848
2010-10,1492.9453094536464
2010-11,1460.5821739796302
2010-12,1567.878301132908
2011-01,1592.8450195649955
2011-02,1639.962719871419
2011-03,1638.8350846395226
2011-04,1706.5943289104641
2011-05,1671.5545744588712
2011-06,1645.9008821931004
2011-07,1619.6758855170642
2011-08,1502.222662226783
2011-09,1361.3229451848147
2011-10,1507.4618141225274
2011-11,1463.2862624871743
2011-12,1461.057704355481
2012-01,1546.190980569705
2012-02,1624.7835680421983
2012-03,1636.456875879264
2012-04,1618.8546320355074
2012-05,1475.39530595483
2012-06,1548.6927744590498
2012-07,1570.4768987883676
2012-08,1605.3242600245362
2012-09,1656.404387285709
2012-10,1645.8433026985767
2012-11,1667.5587169752043
2012-12,1705.9430706999965
2013-01,1785.2895173606855
2013-02,1785.9457985914667
2013-03,1819.69337654513
2013-04,1872.9707323219081
2013-05,1869.2874319270982
2013-06,1815.602788249994
2013-07,1902.9676820107575
2013-08,1863.9624667848307
2013-09,1960.9515794847186
2013-10,2040.0918502859834
2013-11,2069.8412950634934
2013-12,2106.5150054751275
2014-01,2022.7917044553692
2014-02,2121.262975917681
2014-03,2131.9255851864823
2014-04,2153.402826286057
2014-05,2201.1546183135288
2014-06,2243.6546683413067
2014-07,2217.307897565509
2014-08,2267.212810509419
2014-09,2194.3559440716144
2014-10,2210.486527643905
2014-11,2248.5469153007066
2014-12,2206.377659963327
2015-01,2172.4535145069667
2015-02,2294.52596877927
2015-03,2260.3254652934475
2015-04,2326.7533049074686
2015-05,2325.7847873802407
2015-06,2272.108797534689
2015-07,2292.8099450188347
2015-08,2136.4489037933968
2015-09,2060.019173827314
2015-10,2222.526160691289
2015-11,2205.4730831317243
2015-12,2166.611159692709
2016-01,2036.479515792463
2016-02,2023.479976592444
2016-03,2174.567401946721
2016-04,2208.23878817736
2016-05,2213.13216644431
2016-06,2200.9505833076437
2016-07,2296.499652361402
2016-08,2305.3027428653327
2016-09,2320.490606710719
2016-10,2281.523301640164
2016-11,2300.2130889622026
2016-12,2350.66251898534
2017-01,2415.223323312473
2017-02,2483.9810865057875
2017-03,2516.0208050886417
2017-04,2556.0645
2017-05,2614.847232
2017-06,2627.769864
2017-07,2702.01334
2017-08,2713.431116
2017-09,2767.120891
2017-10,2825.168008
2017-11,2881.283989
2017-12,2928.619202
2018-01,3094.306914
2018-02,2965.841315
