Date,MSCI EFM AFRICA
2002-05,253.3882228517247
2002-06,227.87562274691874
2002-07,192.8558666212884
2002-08,201.4986526151458
2002-09,201.7814077776153
2002-10,207.81917386767225
2002-11,226.4082968008926
2002-12,239.5447339755327
2003-01,233.2909363383688
2003-02,235.25310384193975
2003-03,222.38257866594628
2003-04,234.97987682436303
2003-05,244.8468882685644
2003-06,254.88617972491832
2003-07,269.63439799863266
2003-08,285.8925681653766
2003-09,290.1742262764325
2003-10,320.51661018439677
2003-11,343.3381018494119
2003-12,348.5443809643906
2004-01,348.245234750971
2004-02,369.2655313035313
2004-03,381.9117638351745
2004-04,335.91792528657265
2004-05,361.41174828454604
2004-06,365.78736895089315
2004-07,368.9220916017464
2004-08,381.83523812967763
2004-09,411.8782703553111
2004-10,425.2297236934076
2004-11,477.73832449635853
2004-12,500.22810795370265
2005-01,479.55731456751965
2005-02,514.2970269146655
2005-03,471.52181741408566
2005-04,469.45439894791883
2005-05,458.0236461548839
2005-06,482.5277891266572
2005-07,521.8287993037321
2005-08,543.9841018331167
2005-09,601.2395629852393
2005-10,553.1408810712173
2005-11,592.3324971086473
2005-12,656.756197635085
2006-01,756.7931923815856
2006-02,715.0034747882203
2006-03,759.6249915194562
2006-04,782.5898149994788
2006-05,673.9462181855787
2006-06,651.7502476224083
2006-07,662.3493588383318
2006-08,672.4247052863009
2006-09,638.57319452689
2006-10,696.360692082318
2006-11,738.4771441183682
2006-12,795.2136305765773
2007-01,798.5141095270558
2007-02,806.8162603700823
2007-03,851.0591543140982
2007-04,914.7334621896313
2007-05,890.7632599578053
2007-06,883.5874782132765
2007-07,887.6073654082101
2007-08,877.5030695655377
2007-09,935.2268738157835
2007-10,1050.9822575167323
2007-11,999.9999999999993
2007-12,978.97209647311
2008-01,876.747832238851
2008-02,935.1238629919638
2008-03,882.4288565091421
2008-04,967.3609146483747
2008-05,978.9789815429713
2008-06,896.9195503640339
2008-07,908.4307023300555
2008-08,859.1734696371442
2008-09,736.0588158267774
2008-10,541.8830797959362
2008-11,530.5677027992658
2008-12,588.1156803347079
2009-01,502.2739515199937
2009-02,478.700514744656
2009-03,547.8729263214243
2009-04,613.8737154341156
2009-05,716.0793733373453
2009-06,722.6668745584053
2009-07,752.3080638864519
2009-08,790.609607601811
2009-09,812.6590588602766
2009-10,806.3020609759811
2009-11,831.1341147976631
2009-12,870.4049863415099
2010-01,838.5548075528344
2010-02,837.212515096093
2010-03,921.3865544560417
2010-04,937.8616735003543
2010-05,867.000602616091
2010-06,835.7017411737598
2010-07,932.0375160507954
2010-08,905.7380225125445
2010-09,1024.7284428171345
2010-10,1043.797464303657
2010-11,1013.211625563839
2010-12,1151.2538787173658
2011-01,1015.9328655197418
2011-02,1072.4694972570626
2011-03,1117.1979628317465
2011-04,1168.9535229800974
2011-05,1119.3968080542122
2011-06,1098.0522473784213
2011-07,1085.6900204137473
2011-08,1065.8551271497029
2011-09,911.6541716843964
2011-10,991.3360011216458
2011-11,986.7003917479991
2011-12,965.5824439467234
2012-01,1043.9282884816473
2012-02,1118.2688964364547
2012-03,1080.4787030110222
2012-04,1089.8643954690933
2012-05,980.495924883943
2012-06,1024.59163677668
2012-07,1058.682417102793
2012-08,1058.3399294346223
2012-09,1106.457843287948
2012-10,1081.2307312231535
2012-11,1066.9041078667149
2012-12,1170.1617207807344
2013-01,1118.2397207897136
2013-02,1099.0285759368937
2013-03,1084.5498482610594
2013-04,1083.4063311494172
2013-05,1041.5640539933179
2013-06,1009.9096437198871
2013-07,1039.1253512275355
2013-08,1020.9877957050065
2013-09,1097.3782681381995
2013-10,1155.641730310262
2013-11,1117.8159831252854
2013-12,1132.0061215677267
2014-01,1028.4082273677932
2014-02,1109.3755192842361
2014-03,1174.9327857761216
2014-04,1179.9807224811993
2014-05,1204.6684745273926
2014-06,1234.9777748802455
2014-07,1249.497030398186
2014-08,1273.0872915443133
2014-09,1173.8938587649836
2014-10,1228.97067869278
2014-11,1225.7660712153172
2014-12,1180.08829628364
2015-01,1220.0611296761472
2015-02,1225.9253680122713
2015-03,1209.8494136279055
2015-04,1271.428008560162
2015-05,1173.5699139829674
2015-06,1200.9220169743787
2015-07,1129.2308114602852
2015-08,1048.3530876981713
2015-09,991.2417567574951
2015-10,1050.3437730938933
2015-11,979.5789411811066
2015-12,890.9325641015843
2016-01,850.3931996402073
2016-02,855.5186302313381
2016-03,996.7448864548318
2016-04,1040.9098866178936
2016-05,955.9540729932114
2016-06,1008.3620736729886
2016-07,1091.1638542768367
2016-08,1014.5656607446148
2016-09,1071.028691697533
2016-10,1063.5279157550024
2016-11,975.9138099513322
2016-12,1027.3857943317194
2017-01,1053.8414490634107
2017-02,1070.1251728342052
2017-03,1069.110330483518
2017-04,1124.526476
2017-05,1155.04563
2017-06,1121.646441
2017-07,1196.185847
2017-08,1237.843646
2017-09,1164.855268
2017-10,1190.149776
2017-11,1288.91564
2017-12,1392.659624
2018-01,1435.585802
2018-02,1431.0027
2018-03,1350.426884
2018-04,1336.8668613574102
2018-05,1246.6860192377892
2018-06,1198.9264659164417
2018-07,1252.2121228648346
2018-08,1136.2616583819956
2018-09,1111.2388060441913
2018-10,997.4489111511807
2018-11,1076.4395638808876
2018-12,1068.5363929588773
2019-01,1190.458249836062
