Date,KUKJE INDEX (ACWI ex Korea)
1998-12,1000.0
1999-01,1019.7787863312101
1999-02,994.2311010919802
1999-03,1039.3952397973062
1999-04,1083.1783482975388
1999-05,1045.6626386925059
1999-06,1096.7216187025338
1999-07,1091.3735163927115
1999-08,1090.1483758652976
1999-09,1079.5777184130827
1999-10,1133.863156846978
1999-11,1167.5094563514185
1999-12,1265.4420860273012
2000-01,1195.8600463678774
2000-02,1201.0852402308865
2000-03,1280.2539430464603
2000-04,1223.553525489091
2000-05,1192.8042273246913
2000-06,1232.252656086083
2000-07,1196.8706442150053
2000-08,1235.0799729107773
2000-09,1167.6153444011684
2000-10,1145.4598208314062
2000-11,1074.4268738638684
2000-12,1092.2233671337478
2001-01,1118.6292338601968
2001-02,1024.5230850241821
2001-03,956.0035353530008
2001-04,1025.3041986638507
2001-05,1013.3933867764488
2001-06,982.2389327645166
2001-07,967.3679425900236
2001-08,922.4853028814958
2001-09,838.6496708301661
2001-10,855.8145481662975
2001-11,907.370819551436
2001-12,915.4478806480229
2002-01,889.6453726637375
2002-02,882.2950170513946
2002-03,921.7734075726125
2002-04,892.287408975566
2002-05,893.5340229735949
2002-06,838.8273201157768
2002-07,768.0680696959041
2002-08,770.0433192393909
2002-09,685.8213562793613
2002-10,736.4684468478393
2002-11,776.2796274291535
2002-12,739.8502387808853
2003-01,718.3260681894905
2003-02,705.9210229538528
2003-03,703.7794452436123
2003-04,766.351068610152
2003-05,810.9317892557306
2003-06,826.1457973768743
2003-07,843.9129944241132
2003-08,863.7005074097051
2003-09,869.7907152002592
2003-10,922.1675398412724
2003-11,936.407755610728
2003-12,996.1189745184855
2004-01,1012.4565656162603
2004-02,1030.9686066062804
2004-03,1025.0626157462273
2004-04,1001.9245887678048
2004-05,1011.0636766520812
2004-06,1031.895363446385
2004-07,999.5947485572427
2004-08,1005.3745531129491
2004-09,1026.4265605277137
2004-10,1051.7962625211737
2004-11,1109.0842428574888
2004-12,1152.431147547767
2005-01,1127.2093190064143
2005-02,1165.9832352255314
2005-03,1141.1846734613302
2005-04,1117.095615326296
2005-05,1138.456099430928
2005-06,1150.5504712095749
2005-07,1192.4190504456121
2005-08,1202.5410332474205
2005-09,1237.8974069119351
2005-10,1205.2579057937728
2005-11,1248.676081002287
2005-12,1278.5977998667386
2006-01,1341.143638953244
2006-02,1340.1968826880677
2006-03,1369.419251200971
2006-04,1415.0950606319986
2006-05,1361.2065460336826
2006-06,1361.4646749148185
2006-07,1371.2229473003
2006-08,1407.4931320623496
2006-09,1423.937128230117
2006-10,1478.42175712161
2006-11,1520.4325738122625
2006-12,1555.2536459683242
2007-01,1572.155709369182
2007-02,1563.5618958621335
2007-03,1595.3537928402682
2007-04,1666.7253661077689
2007-05,1716.6907882528149
2007-06,1711.4785572609965
2007-07,1682.6203110486344
2007-08,1679.8422529516624
2007-09,1769.9895302360085
2007-10,1838.4676257406234
2007-11,1759.5251084581946
2007-12,1740.629144365967
2008-01,1600.0251816029963
2008-02,1603.9985788540234
2008-03,1581.9292538740794
2008-04,1670.9429929821895
2008-05,1699.8672403760902
2008-06,1561.9066205500972
2008-07,1521.631461375144
2008-08,1492.174864751888
2008-09,1305.9289998981476
2008-10,1048.604043714675
2008-11,981.7435373334033
2008-12,1016.0346684466302
2009-01,928.9288514038678
2009-02,839.5698518459297
2009-03,907.2911417967503
2009-04,1013.9583465278303
2009-05,1117.1429275104026
2009-06,1111.4147812073484
2009-07,1208.0224688364174
2009-08,1252.2157417998264
2009-09,1308.5743353444864
2009-10,1289.7010747621346
2009-11,1344.038032978978
2009-12,1370.9475117728846
2010-01,1311.9752242549096
2010-02,1329.5812677175807
