Date,MSCI EM (EMERGING MARKETS)+CHINA A ONSHORE
2004-12,1040.211370523059
2005-01,1040.3926784846913
2005-02,1131.723722025224
2005-03,1055.3359264298424
2005-04,1028.2715998627039
2005-05,1057.4665403421507
2005-06,1093.368317423519
2005-07,1168.8720142281295
2005-08,1181.8858945980317
2005-09,1286.1363270775173
2005-10,1203.0842607198692
2005-11,1297.986843792521
2005-12,1375.191012182111
2006-01,1528.4804401825688
2006-02,1530.0423765297132
2006-03,1543.99979970551
2006-04,1656.9078570956456
2006-05,1504.0478079877512
2006-06,1503.989178870886
2006-07,1519.173172904338
2006-08,1559.4444489227283
2006-09,1576.6049371516715
2006-10,1651.8543403777953
2006-11,1784.7009527016894
2006-12,1882.4657305133949
2007-01,1887.3290974076049
2007-02,1889.7669558659095
2007-03,1975.6117021606433
2007-04,2116.5337178627738
2007-05,2237.31617300117
2007-06,2318.042932813858
2007-07,2481.202567529204
2007-08,2493.822749438691
2007-09,2746.818916763464
2007-10,3011.9987594438307
2007-11,2758.831290661733
2007-12,2823.4546200437544
2008-01,2481.7515113419013
2008-02,2647.6957869231073
2008-03,2455.6789920335077
2008-04,2640.6872303909645
2008-05,2656.5542447225403
2008-06,2355.3919294103307
2008-07,2284.496624772876
2008-08,2080.916770325263
2008-09,1744.450798404828
2008-10,1272.4723628651946
2008-11,1209.8691373299835
2008-12,1288.8148911486935
2009-01,1240.860283532505
2009-02,1196.4244498912674
2009-03,1373.957466366591
2009-04,1571.194389581414
2009-05,1805.786121510205
2009-06,1830.1503369963152
2009-07,2058.43213601438
2009-08,1957.053988282453
2009-09,2124.5030976163716
2009-10,2159.980008033875
2009-11,2266.0384374343444
2009-12,2343.8562808031784
2010-01,2195.7146433970215
2010-02,2213.9366925293652
2010-03,2365.647882201969
2010-04,2354.583753493526
2010-05,2145.386440093977
2010-06,2102.833056614778
2010-07,2296.369275325098
2010-08,2272.7529195067355
2010-09,2489.688507301254
2010-10,2613.061455098733
2010-11,2531.9783505061127
2010-12,2676.934463007848
2011-01,2602.3805988797744
2011-02,2617.1894073574936
2011-03,2736.4745949181356
2011-04,2802.5745886018312
2011-05,2711.505460379334
2011-06,2693.035032980006
2011-07,2679.9161772410403
2011-08,2468.496092116414
2011-09,2130.080588501783
2011-10,2374.1621632252013
2011-11,2217.416194364187
2011-12,2165.89489508195
2012-01,2381.3992078906513
2012-02,2533.1162521836723
2012-03,2432.141602410862
2012-04,2437.0324646448194
2012-05,2217.127535674394
2012-06,2261.732147312413
2012-07,2274.1512874392815
2012-08,2250.1979165194443
2012-09,2381.842542517797
2012-10,2366.9144022572063
2012-11,2367.996304627548
2012-12,2531.854743109103
2013-01,2590.520024136217
2013-02,2564.305643293203
2013-03,2499.168111493546
2013-04,2510.3273174911856
2013-05,2494.630439770304
2013-06,2297.7231932971786
2013-07,2325.2392496612974
2013-08,2318.273895936268
2013-09,2460.1319174361784
2013-10,2550.244608146534
2013-11,2535.114774023584
2013-12,2488.5805237491095
2014-01,2336.4918113489994
2014-02,2390.7188793083474
2014-03,2438.76911916334
2014-04,2443.7200558247505
2014-05,2517.3707914451097
2014-06,2583.391074718484
2014-07,2669.747940408152
2014-08,2723.002462141437
2014-09,2582.5050905964604
2014-10,2620.5370758819927
2014-11,2649.6069612344786
2014-12,2672.603036500845
2015-01,2670.6743754728554
2015-02,2761.5789154794265
2015-03,2850.836690932555
2015-04,3149.9667504443155
2015-05,3112.5535625664047
2015-06,2973.5504373840463
2015-07,2693.846299541035
2015-08,2404.22498502252
2015-09,2316.560298408651
2015-10,2516.7714068493337
2015-11,2450.015145346266
2015-12,2439.1662370870145
2016-01,2118.597982479984
2016-02,2105.7579808656083
2016-03,2389.806101457577
2016-04,2379.5467572509915
2016-05,2305.3331222047364
2016-06,2375.911148647303
2016-07,2474.197306966227
2016-08,2544.0106744253976
2016-09,2552.906735714195
2016-10,2562.9448716183824
2016-11,2498.7707614247056
2016-12,2452.369460812375
2017-01,2564.0308145435065
2017-02,2639.2449515304997
2017-03,2681.919724662749
2017-04,2712.441885
2017-05,2771.620826
2017-06,2842.043809
2017-07,2993.625003
2017-08,3078.349362
2017-09,3074.214449
2017-10,3176.874909
2017-11,3156.969903
2017-12,3252.900158
2018-01,3515.254969
2018-02,3334.927352
2018-03,3271.744051
2018-04,3212.806873583682
2018-05,3117.446725330789
2018-06,2937.93530541198
2018-07,2972.176963989245
2018-08,2867.073462527415
2018-09,2868.055868579935
2018-10,2609.191756517078
2018-11,2704.60436018191
2018-12,2628.4888376302847
2019-01,2858.2581875235433
2019-02,2957.303839868022
2019-03,3020.0012286178903
2019-04,3069.9004615558724
2019-05,2834.7743022736736
2019-06,3009.678321179362
2019-07,2988.359626780667
2019-08,2850.0007360450304
2019-09,2896.1345930392
2019-10,3008.220128086393
2019-11,2997.7617562015876
2019-12,3229.7934101503165
2020-01,3115.3309703901878
2020-02,2983.375055631396
2020-03,2582.658146630276
2020-04,2804.7991133622263
2020-05,2807.65774854902
2020-06,3036.6628234508885
2020-07,3362.3781931884064
2020-08,3456.9123015178893
2020-09,3368.1894152689624
2020-10,3452.6809765166463
2020-11,3747.08874554433
2020-12,4011.5936573086005
2021-01,4142.523163157163
2021-02,4155.416579439338
2021-03,4034.454088543118
2021-04,4153.515674895473
2021-05,4299.484597752432
2021-06,4282.8901090779955
2021-07,4017.9797380670807
2021-08,4105.670988077368
2021-09,3994.051929420158
2021-10,4048.6360130743105
2021-11,3942.8893568647054
2021-12,4003.1127808085057
2022-01,3834.4202785888874
2022-02,3790.4615166563012
2022-03,3620.7996703563053
2022-04,3365.474920741553
2022-05,3405.914453322209
2022-06,3363.3610385625693
2022-07,3287.6671886402432
2022-08,3246.1227291229616
2022-09,2889.405227633391
2022-10,2750.5087925768626
2022-11,3124.0273852830496
2022-12,3113.941001614626
2023-01,3385.9269144165505
2023-02,3195.004887573281
2023-03,3259.9845753824225
2023-04,3213.030809896662
2023-05,3098.2178669782465
2023-06,3173.077179949777
