Date,EM FAR EAST
1987-12,100.0
1988-01,106.8645
1988-02,106.6649
1988-03,112.565
1988-04,123.0217
1988-05,125.9003
1988-06,139.3046
1988-07,140.878
1988-08,128.7336
1988-09,130.7967
1988-10,132.5412
1988-11,130.9225
1988-12,131.8661
1989-01,143.3207
1989-02,142.6517
1989-03,146.9694
1989-04,164.2383
1989-05,167.5066
1989-06,171.1845
1989-07,179.9301
1989-08,183.8415
1989-09,193.8316
1989-10,191.1151
1989-11,206.3179
1989-12,222.5796
1990-01,223.4458
1990-02,227.1772
1990-03,226.5365
1990-04,212.0501
1990-05,238.106
1990-06,240.8647
1990-07,259.7869
1990-08,217.811
1990-09,175.7911
1990-10,181.5071
1990-11,168.3137
1990-12,183.5992
1991-01,189.0315
1991-02,213.5202
1991-03,225.3528
1991-04,223.5405
1991-05,220.1415
1991-06,208.904
1991-07,204.0348
1991-08,192.6379
1991-09,181.2791
1991-10,182.7776
1991-11,189.6381
1991-12,201.7917
1992-01,216.4531
1992-02,220.1307
1992-03,219.2702
1992-04,217.5391
1992-05,212.7093
1992-06,221.0915
1992-07,219.2316
1992-08,215.8357
1992-09,229.0588
1992-10,247.921
1992-11,244.1035
1992-12,239.9543
1993-01,244.8384
1993-02,251.5618
1993-03,250.9537
1993-04,278.7674
1993-05,286.4226
1993-06,283.0509
1993-07,292.6428
1993-08,312.7324
1993-09,330.6291
1993-10,385.5222
1993-11,392.4986
1993-12,479.3302
1994-01,432.5704
1994-02,424.4088
1994-03,376.574
1994-04,397.5974
1994-05,408.538
1994-06,401.6175
1994-07,417.6491
1994-08,462.4045
1994-09,458.1805
1994-10,465.9634
1994-11,424.2192
1994-12,412.3614
1995-01,368.3491491978314
1995-02,399.57914434298345
1995-03,394.68108516859587
1995-04,392.0208555713469
1995-05,440.69280511543803
1995-06,439.0040291747825
1995-07,444.47003487557316
1995-08,420.90168041307555
1995-09,417.29096005603833
1995-10,403.9294646428184
1995-11,392.163358828706
1995-12,414.96309144247977
1996-01,441.6445198578509
1996-02,442.08196394935084
1996-03,451.9065990280134
1996-04,475.94080807339077
1996-05,466.4014287921649
1996-06,456.4217107070075
1996-07,416.8554386221784
1996-08,432.0160803852357
1996-09,436.83858288221774
1996-10,418.72085461671315
1996-11,436.3706867901237
1996-12,430.0553874959448
1997-01,442.24808735162253
1997-02,448.63080915586744
1997-03,431.6164963680219
1997-04,412.4670116001152
1997-05,415.19583329375894
1997-06,423.02059143695584
1997-07,411.543363482541
1997-08,324.3958440786306
1997-09,302.95620701872906
1997-10,235.0471431987266
1997-11,205.21906945848406
1997-12,188.21580951268524
1998-01,185.80895146084555
1998-02,232.51523806966577
1998-03,226.2448114247558
1998-04,201.68605738324973
1998-05,169.48437778713551
1998-06,145.19802292527288
1998-07,144.92092195991924
1998-08,114.3531063218507
1998-09,119.45853540760282
1998-10,145.6779985965279
1998-11,168.10147782281078
1998-12,176.48667474055483
1999-01,176.00098105003417
1999-02,168.72130783104112
1999-03,188.52151905704426
1999-04,229.9732423116428
1999-05,227.9862560920953
1999-06,283.794905410978
1999-07,268.32562661688456
1999-08,276.6512381337068
1999-09,244.29676662804383
1999-10,255.4179536037396
1999-11,278.6832956828758
1999-12,292.0881530759882
2000-01,306.789539212486
2000-02,273.23644447883055
2000-03,293.4568942353083
2000-04,262.0071491370318
2000-05,254.40188284852852
2000-06,260.1141212859108
2000-07,239.05520957461493
2000-08,231.65998492833856
2000-09,199.98608342109074
2000-10,180.03412878237302
2000-11,168.576153328257
2000-12,160.2886039816518
2001-01,195.42846183435645
2001-02,182.83509636909156
2001-03,165.61017049973063
2001-04,166.32376922908904
2001-05,166.90240111828908
2001-06,164.6582798626923
2001-07,155.1555471033285
2001-08,155.52582570169056
2001-09,131.8579691737555
2001-10,140.52574972309384
2001-11,161.74118325357253
2001-12,178.4878118871593
2002-01,187.3401370191038
2002-02,192.00135585716595
