Date,AC AP ex JP WITH PARTIAL A SHARES
2008-11,1063.0152474481545
2008-12,1156.9829709462147
2009-01,1070.2179501767453
2009-02,1008.7570786377041
2009-03,1158.6436792660113
2009-04,1334.562110727102
2009-05,1526.6201303162645
2009-06,1542.4225416054346
2009-07,1732.984699034977
2009-08,1726.2669870281381
2009-09,1892.4058430298996
2009-10,1886.7088528794566
2009-11,1939.7346322883284
2009-12,2009.3558841581284
2010-01,1882.576179264802
2010-02,1908.179934379803
2010-03,2051.96181303154
2010-04,2078.8313636274183
2010-05,1856.211160767549
2010-06,1869.1306963610496
2010-07,2009.2177200604558
2010-08,1976.6753485420109
2010-09,2211.852899541159
2010-10,2272.9724594016993
2010-11,2228.2839280730936
2010-12,2378.8375259406007
2011-01,2347.9059223619247
2011-02,2308.961925610743
2011-03,2427.955247859265
2011-04,2532.7334723006106
2011-05,2475.579111562816
2011-06,2427.6956371393944
2011-07,2436.512057107771
2011-08,2230.9860921876448
2011-09,1929.911065548777
2011-10,2184.7402924115427
2011-11,2012.9259821110393
2011-12,2013.54494108264
2012-01,2219.186337053925
2012-02,2335.7647272824106
2012-03,2264.845219297608
2012-04,2277.1804387038746
2012-05,2041.2696246153475
2012-06,2122.367679310792
2012-07,2204.407901587365
2012-08,2197.365523137403
2012-09,2327.038890386106
2012-10,2338.0320604678177
2012-11,2392.0849776177156
2012-12,2468.475675571082
2013-01,2535.230819229068
2013-02,2558.51973065049
2013-03,2517.391449131756
2013-04,2581.332689809397
2013-05,2474.412889420396
2013-06,2327.7783675886385
2013-07,2377.198620926737
2013-08,2361.817562658371
2013-09,2501.5135074086247
2013-10,2617.6427764163827
2013-11,2592.2635177064662
2013-12,2559.9586978694874
2014-01,2430.825665701928
2014-02,2539.9731240475085
2014-03,2583.817248021334
2014-04,2609.753106827313
2014-05,2693.8947665151904
2014-06,2740.9068404377913
2014-07,2840.7313389752358
2014-08,2863.442629456104
2014-09,2658.2597784257987
2014-10,2731.1225684501874
2014-11,2698.245326937415
2014-12,2647.1871898689506
2015-01,2685.357306740335
2015-02,2770.792666337191
2015-03,2770.078544046359
2015-04,2943.2637920612815
2015-05,2868.7367018814666
2015-06,2754.3122809349006
2015-07,2611.5204214059486
2015-08,2344.7476145581527
2015-09,2291.44386733709
2015-10,2466.015567581621
2015-11,2404.7425649872957
2015-12,2410.974357332209
2016-01,2211.8586627716545
2016-02,2192.8318671074894
2016-03,2447.1700677079157
2016-04,2445.617283147826
2016-05,2409.4486648625557
2016-06,2461.81128897798
2016-07,2598.581189487186
2016-08,2656.1644388955383
2016-09,2702.979610615825
2016-10,2658.578892837682
2017-04,2946.804086
2017-05,3024.867429
2017-06,3083.409872
2017-07,3244.42469
2017-08,3280.491239
2017-09,3272.71705
2017-10,3404.834049
2017-11,3423.534173
2017-12,3531.111987
2018-01,3771.098563
2018-02,3591.845626
2018-03,3514.0066479815173
2018-04,3547.745268271039
2018-05,3521.33020113398
2018-06,3389.975565248049
2018-07,3428.0585986643678
2018-08,3389.558629373759
2018-09,3343.4395112315465
2018-10,3000.406182618184
2018-11,3134.2993431624277
2018-12,3048.3161582750163
2019-01,3270.3848490059695
2019-02,3346.889083650598
2019-03,3399.2560010924904
2019-04,3459.6111220313487
2019-05,3219.877980733461
2019-06,3426.116010161607
2019-07,3382.3283238357503
2019-08,3235.40644449735
2019-09,3294.667314680362
2019-10,3428.2804305399236
2019-11,3444.0478934307193
2019-12,3642.758942272413
2020-01,3506.4080474883876
2020-02,3353.9361738476937
2020-03,2876.566732847323
2020-04,3162.0472584886343
2020-05,3154.078405645461
2020-06,3411.416327149208
2020-07,3674.7583430085688
2020-08,3814.4945051111417
2020-09,3730.5779767209174
2020-10,3819.510955673087
2020-11,4171.318464286786
2020-12,4448.43210618876
