Date,EM ASIA WITH CHINA ALL SHARES
2008-11,1061.0511547540716
2008-12,1160.9847449014399
2009-01,1107.360633324834
2009-02,1052.350902851117
2009-03,1216.6766875563967
2009-04,1399.7446097224906
2009-05,1591.0855758239827
2009-06,1621.1902002441354
2009-07,1840.9591542188068
2009-08,1730.7304745371603
2009-09,1883.9840889236332
2009-10,1886.2648112424695
2009-11,1952.0790621620183
2009-12,2034.421386438795
2010-01,1898.0161957066755
2010-02,1904.1263739003186
2010-03,2038.172895289294
2010-04,2060.1738087738636
2010-05,1879.865636317292
2010-06,1891.527421851455
2010-07,2011.6314965804938
2010-08,1984.7455598261638
2010-09,2188.901966934782
2010-10,2276.469220968028
2010-11,2218.9437983688695
2010-12,2345.9006044956623
2011-01,2314.747913473487
2011-02,2245.970546960819
2011-03,2388.2840667421938
2011-04,2470.9404966537604
2011-05,2424.3745500240448
2011-06,2386.3465239785373
2011-07,2397.7306015323707
2011-08,2166.220138694966
2011-09,1903.1098873529263
2011-10,2116.6049822608466
2011-11,1942.1363186459728
2011-12,1944.7801948412684
2012-01,2138.705903866012
2012-02,2262.382373331856
2012-03,2182.4077466990498
2012-04,2195.533326855944
2012-05,2008.8429359954412
2012-06,2043.481202386119
2012-07,2071.6076610290543
2012-08,2046.7676121945478
2012-09,2190.355429272256
2012-10,2180.8186554200042
2012-11,2221.109569040803
2012-12,2341.007707762258
2013-01,2383.789827280592
2013-02,2379.663400575712
2013-03,2308.909756488871
2013-04,2334.1726661842094
2013-05,2340.931897545714
2013-06,2173.0463961586847
2013-07,2201.177447280133
2013-08,2199.578351400885
2013-09,2310.7030188749886
2013-10,2399.770115461445
2013-11,2415.5944952343116
2013-12,2376.452226737725
2014-01,2262.1259570070315
2014-02,2314.95914128949
2014-03,2332.4072902003923
2014-04,2334.285220018852
2014-05,2417.3369233342387
2014-06,2484.076493745408
2014-07,2594.8407341753805
2014-08,2619.891084683681
2014-09,2507.7753110144113
2014-10,2551.12826908098
2014-11,2600.497918694918
2014-12,2676.2830191743005
2015-01,2707.6161176906307
2015-02,2780.8406956298713
2015-03,2886.4396913892574
2015-04,3182.427484364905
2015-05,3138.638721394085
2015-06,2975.9044778031607
2015-07,2700.7095491392342
2015-08,2414.704945852956
2015-09,2356.994279829641
2015-10,2563.9390028691832
2015-11,2498.0166687102974
2015-12,2494.512760645079
2016-01,2194.675298247263
2016-02,2164.9569617313878
2016-03,2424.6126493744187
2016-04,2386.31284196685
2016-05,2357.6954649459476
2016-06,2409.873232899744
2016-07,2514.8916561029755
2016-08,2615.620423285611
2016-09,2628.67523576413
2016-10,2605.096595732859
2016-11,2559.6569318877314
2016-12,2491.3294749622473
2017-01,2622.3651530759694
2017-02,2711.5208583028725
2017-03,2778.4813606151733
2017-04,2821.0572494850103
2017-05,2928.5681858382045
2017-06,3009.0312901733487
2017-07,3167.3303883309995
2017-08,3232.2656262532805
2017-09,3233.7497244189603
2017-10,3392.1975622400437
2017-11,3376.706785341784
2017-12,3467.2188579641975
2018-01,3750.869924771744
2018-02,3538.630135948959
2018-03,3483.7172651325277
2018-04,3451.77287277648
2018-05,3412.100285631356
2018-06,3216.1388931985143
2018-07,3224.5997796701886
2018-08,3166.79000111227
2018-09,3136.8645922887363
2018-10,2800.0650037161045
2018-11,2924.8944147476723
2018-12,2834.8769139540645
2019-01,3048.8230297828677
2019-02,3170.844589214466
2019-03,3252.31126134842
2019-04,3299.9227181554384
2019-05,3010.257672146674
2019-06,3199.614308393623
2019-07,3164.7921672417233
2019-08,3047.667516737795
2019-09,3099.377547315208
2019-10,3229.9046293178876
2019-11,3236.5377755859668
2019-12,3474.1663162551586
2020-01,3344.736123925428
2020-02,3256.851696551564
2020-03,2903.3396362064655
2020-04,3158.09162574949
2020-05,3140.130634919949
2020-06,3411.437186696977
2020-07,3780.991060864625
2020-08,3913.1712859578693
2020-09,3839.591519798962
2020-10,3968.672388744171
2020-11,4256.560583382339
2020-12,4557.6142186311345
2021-01,4754.907365619693
2021-02,4780.915539102201
2021-03,4606.013614581527
2021-04,4732.76744461122
2021-05,4842.683251320736
2021-06,4832.74541546846
2021-07,4463.479772352503
2021-08,4564.042803285729
2021-09,4426.199125396492
2021-10,4491.472689346438
2021-11,4363.01384
2021-12,4422.416832862934
2022-01,4216.5521218950325
2022-02,4164.563847360405
2022-03,3982.3764314577274
2022-04,3743.638514673026
2022-05,3777.8499981379196
2022-06,3715.558397838828
2022-07,3629.066468631275
2022-08,3605.99751594066
2022-09,3164.460858008885
2022-10,2955.5216094850334
2022-11,3457.1252993025205
2022-12,3453.761504208829
2023-01,3762.4480664532034
2023-02,3527.8796449740294
2023-03,3625.990550319301
2023-04,3543.596888181203
2023-05,3457.850648210284
2023-06,3527.0377171104474
