Date,ZHONG HUA ex B + HSBC
2004-11,1000.0
2004-12,1004.9119214373453
2005-01,970.7453841994725
2005-02,1011.8515131590224
2005-03,957.4607904536293
2005-04,976.0887411203433
2005-05,979.9929948426061
2005-06,1005.6651608018019
2005-07,1047.7890171134545
2005-08,1042.4749731837715
2005-09,1075.8091425596608
2005-10,1008.2873400266212
2005-11,1049.9584978874668
2005-12,1062.4135800721122
2006-01,1139.0136845590253
2006-02,1162.5109053253293
2006-03,1174.5459623166917
2006-04,1222.8453086781903
2006-05,1195.2443997081423
2006-06,1205.121278981662
2006-07,1234.5878881600333
2006-08,1264.2669222579696
2006-09,1285.0190906738621
2006-10,1336.8869407434352
2006-11,1407.3661974734462
2006-12,1504.3036587328018
2007-01,1483.516777044372
2007-02,1443.5199460730832
2007-03,1477.780490000892
2007-04,1535.5538626023713
2007-05,1595.6539181868568
2007-06,1674.1616550676524
2007-07,1791.2333381093486
2007-08,1846.6641648028208
2007-09,2117.0666416985127
2007-10,2394.113449878292
2007-11,2142.0066347417437
2007-12,2090.3772302399407
2008-01,1737.5357605964593
2008-02,1832.3714195620248
2008-03,1701.382361601551
2008-04,1897.2429412741315
2008-05,1840.4599545446322
2008-06,1638.8546371612883
2008-07,1673.693094226368
2008-08,1569.7082010776585
2008-09,1329.4946728792925
2008-10,1027.863861426508
2008-11,1028.4930388216974
2008-12,1065.335136334843
2009-01,981.3393734090739
2009-02,939.3705088783412
2009-03,996.6730845742916
2009-04,1151.3608959109088
2009-05,1372.7771864010083
2009-06,1386.969094231018
2009-07,1563.565002708708
2009-08,1496.814600725961
2009-09,1594.169621445415
2009-10,1649.8961595476446
2009-11,1681.9220686271867
2009-12,1688.8901770463033
2010-01,1557.4530150146763
2010-02,1599.5947648074427
2010-03,1647.5886629331899
2010-04,1641.3182284389109
2010-05,1532.0498164910325
2010-06,1559.1512496121243
2010-07,1646.5215127915305
2010-08,1610.9629715189762
2010-09,1766.5717057098911
2010-10,1818.4317427172007
2010-11,1798.9885376753523
2010-12,1796.6453282356501
2011-01,1816.4015478820866
2011-02,1801.7530553737597
2011-03,1835.3186202914917
2011-04,1874.083715266572
2011-05,1875.8371673451838
2011-06,1799.4222672378266
2011-07,1797.820467573962
2011-08,1641.1260795505764
2011-09,1384.6718388987622
2011-10,1584.5816422927783
2011-11,1435.2375563504143
2011-12,1469.8496446931463
2012-01,1623.2311695684418
2012-02,1739.7169293795573
2012-03,1645.7736757785326
2012-04,1690.8380856917338
2012-05,1511.7410847227611
2012-06,1575.4028514056542
2012-07,1593.8087489715365
2012-08,1575.673209975908
2012-09,1691.2123580057585
2012-10,1767.5490203545646
2012-11,1810.2616226872826
2012-12,1872.7947798919945
2013-01,1970.8893562652536
2013-02,1915.2016898493566
2013-03,1848.511692742255
2013-04,1883.3747989686833
2013-05,1873.51987625277
2013-06,1757.7474851783827
2013-07,1839.649987851827
2013-08,1841.4969875342156
2013-09,1935.916910045451
2013-10,1979.0964295773615
2013-11,2046.181062844851
2013-12,1998.7215813775058
2014-01,1879.5349477583227
2014-02,1938.1051785805826
2014-03,1899.5382070382866
2014-04,1889.493887011618
2014-05,1980.1377357961774
2014-06,2008.4087760520551
2014-07,2154.5797335441184
2014-08,2154.607508946495
2014-09,2015.3100704822996
2014-10,2104.6331067756087
2014-11,2121.336215703173
2014-12,2099.103940920844
2015-01,2153.537327656405
2015-02,2181.9876449941844
2015-03,2213.5173526252165
2015-04,2533.46290927598
2015-05,2464.4271014278593
2015-06,2347.174972727295
2015-07,2178.3823773490876
2015-08,1918.7897526759198
2015-09,1871.6482611218369
2015-10,2034.8300208614303
2015-11,1978.1126605236523
2015-12,1965.848576818501
2016-01,1734.4654387830658
2016-02,1690.2916576424
2016-03,1863.6073872547813
2016-04,1878.0975322235165
2016-05,1865.8543822880747
2016-06,1873.0311288671069
2016-07,1960.0574061287527
2016-08,2084.3975888763357
2016-09,2137.421002886479
2016-10,2110.6345897988294
2016-11,2093.9768743206623
2016-12,2008.1150650542118
2017-01,2150.0488929717017
2017-02,2201.8530871902663
2017-03,2252.7443788843443
2017-04,2312.830103
2017-05,2426.036414
2017-06,2483.396543
2017-07,2671.717878
2017-08,2752.764385
2017-09,2772.468038
2017-10,2851.780394
2017-11,2909.989664
2017-12,2972.318229
2018-01,3271.650303
2018-02,3087.31072
2018-03,2984.87758
2018-04,3021.6790679026494
2018-05,3058.2121034611982
2018-06,2906.0813376190185
2018-07,2869.27376353388
2018-08,2763.711258367349
2018-09,2736.929207963606
2018-10,2436.6978991095707
2018-11,2609.3095389730897
2018-12,2492.172423392366
2019-01,2732.8092507744586
2019-02,2832.3316418053882
2019-03,2888.7460327268323
2019-04,2953.2702217732963
2019-05,2628.160519487
2019-06,2822.2566195094573
2019-07,2786.3976989378557
2019-08,2634.220653573982
2019-09,2642.0184869036716
2019-10,2745.442523724284
2019-11,2769.274548565853
2019-12,2972.204781854565
2020-01,2828.879065252054
2020-02,2836.409142490365
2020-03,2606.0428296589016
2020-04,2752.080772158043
2020-05,2689.931528531327
2020-06,2933.6890275681462
2020-07,3153.6501500101494
2020-08,3334.3735239877806
2020-09,3223.7866075522975
2020-10,3366.9495892479376
2020-11,3520.885014711183
2020-12,3624.364290078982
2021-01,3856.434429360709
2021-02,3864.391110764197
2021-03,3663.2115978727898
2021-04,3730.612693805862
2021-05,3763.3883868556495
2021-06,3746.1060481476757
2021-07,3297.534718735067
2021-08,3291.6984174391305
2021-09,3124.8524985392173
2021-10,3227.24603104179
2021-11,3033.79008644884
2021-12,2967.6496414131
2022-01,2921.661769928161
2022-02,2815.155440098231
2022-03,2639.1683939223294
2022-04,2518.7685917705535
2022-05,2562.6541939922536
2022-06,2700.799107139165
2022-07,2476.313796335337
2022-08,2466.1884172935747
2022-09,2121.2317254277395
2022-10,1794.4688012666745
2022-11,2301.5759287481637
2022-12,2429.76331320973
2023-01,2692.300899316925
2023-02,2443.6900377967745
2023-03,2524.6966279555527
2023-04,2430.2839247801103
2023-05,2241.7029362601947
2023-06,2331.9150388506423
