Date,MSCI ACWI ex ISRAEL
1998-12,1000.0
1999-01,1019.8802118015205
1999-02,993.8867977461853
1999-03,1039.433017338557
1999-04,1084.3051765262317
1999-05,1046.8538829866523
1999-06,1099.5420066554707
1999-07,1094.5982024428552
1999-08,1093.6745303196883
1999-09,1081.8282886560703
1999-10,1135.9208222121101
1999-11,1170.84587308283
1999-12,1267.7896490326705
2000-01,1198.5733922243942
2000-02,1201.776912715795
2000-03,1281.9102348552808
2000-04,1224.4618014008038
2000-05,1193.5674823975298
2000-06,1233.8341673467928
2000-07,1196.9726083984015
2000-08,1234.2798846922803
2000-09,1166.0159868514666
2000-10,1143.0942328867038
2000-11,1072.437379237585
2000-12,1089.650295776909
2001-01,1117.3643254657316
2001-02,1023.6557061726273
2001-03,955.1212275251909
2001-04,1024.5556208243954
2001-05,1013.2378046850281
2001-06,981.8642186372774
2001-07,966.635580104404
2001-08,922.3698423427044
2001-09,838.3376433929059
2001-10,856.0190359541978
2001-11,908.5609963906317
2001-12,917.0057442051166
2002-01,891.918443122392
2002-02,885.543030464158
2002-03,925.5968287888081
2002-04,896.4804645717126
2002-05,897.6878119903049
2002-06,842.8868541868806
2002-07,772.0853478190529
2002-08,774.0808068982468
2002-09,689.1542696825707
2002-10,739.9399727023465
2002-11,780.3394826077606
2002-12,743.2024993594827
2003-01,721.469720284932
2003-02,708.8224922144419
2003-03,706.0650524960187
2003-04,769.0546801813066
2003-05,813.7414386377749
2003-06,829.2717804316717
2003-07,847.7794881908393
2003-08,867.9158165829748
2003-09,873.5031839436386
2003-10,926.5108154028826
2003-11,940.6257174042576
2003-12,1000.4241239355275
2004-01,1017.4762666351276
2004-02,1036.2085535291715
2004-03,1030.6714793258006
2004-04,1006.9514156331315
2004-05,1015.4521308040767
2004-06,1035.8940972748023
2004-07,1003.2408274696592
2004-08,1009.8650587359037
2004-09,1031.195822696843
2004-10,1056.6511555932605
2004-11,1114.6291790732016
2004-12,1157.9763451753863
2005-01,1133.6434851614501
2005-02,1173.454594565954
2005-03,1148.0260433119483
2005-04,1123.4170006736313
2005-05,1145.1507085350067
2005-06,1157.4545392209025
2005-07,1200.5106502288154
2005-08,1210.1646186998985
2005-09,1246.8743392155995
2005-10,1213.3706221771981
2005-11,1258.116163151149
2005-12,1289.3154815791818
2006-01,1353.2352386887105
2006-02,1351.8678606060698
2006-03,1380.9725790069276
2006-04,1427.611692272259
2006-05,1372.622701378811
2006-06,1372.8577991137327
2006-07,1382.521167892856
2006-08,1419.014311193024
2006-09,1435.946904534122
2006-10,1490.111571633387
2006-11,1532.9797611497631
2006-12,1567.6878668374804
2007-01,1583.49488376366
2007-02,1575.6982366232412
2007-03,1607.9273366818422
2007-04,1680.113998268487
2007-05,1731.6130812691833
2007-06,1727.1557705748644
2007-07,1701.049463809388
2007-08,1697.1028254130347
2007-09,1788.6607075492093
2007-10,1858.7916066635585
2007-11,1777.2890087872283
2007-12,1757.8659694127791
2008-01,1614.1141423993333
2008-02,1619.2222139121568
2008-03,1596.3817239973107
2008-04,1686.4629568618825
2008-05,1714.5931194074305
2008-06,1574.1072544202536
2008-07,1533.93838275487
2008-08,1501.4837130563917
2008-09,1314.2424347877848
2008-10,1054.0691143193103
2008-11,985.5334684488988
2008-12,1021.7396152283168
2009-01,934.5561903179159
2009-02,843.075438909355
2009-03,913.2340485421859
2009-04,1022.14070701579
2009-05,1125.2129927972233
2009-06,1119.2801208432463
2009-07,1218.079191839308
2009-08,1262.3957647919717
2009-09,1320.8925070316589
2009-10,1300.6074951867893
2009-11,1354.594703379906
2009-12,1382.8703205360364
2010-01,1323.1479414707514
2010-02,1340.447846262477
2010-03,1427.2966313363077
2010-04,1430.8488992540451
2010-05,1296.5232859049677
2010-06,1256.9580877138706
2010-07,1360.026806084131
2010-08,1312.768603343965
2010-09,1438.8079156899944
2010-10,1491.2910904791772
2010-11,1458.7032467148745
2010-12,1565.9714881692091
2011-01,1591.1178065039999
2011-02,1638.3549803808082
2011-03,1637.2685278077342
2011-04,1705.53521702704
2011-05,1670.2634418038062
2011-06,1644.729280460764
2011-07,1618.5054238525174
2011-08,1501.1676808387867
2011-09,1360.1234316627435
2011-10,1506.1258865253249
2011-11,1461.9462093865206
2011-12,1459.496998024643
2012-01,1544.6541595064198
2012-02,1623.42795236979
2012-03,1634.9601494249926
2012-04,1617.2256699390389
2012-05,1473.7980608665812
2012-06,1547.588180820947
2012-07,1569.196928128391
2012-08,1604.2484315312358
2012-09,1655.4062521147157
2012-10,1644.7450590905303
2012-11,1666.5614645868066
2012-12,1705.43012602598
2013-01,1784.6258759235316
2013-02,1785.0736411475277
2013-03,1818.4904208461257
2013-04,1871.8248211123469
2013-05,1868.298753945357
2013-06,1814.403840866954
2013-07,1901.9641238039858
2013-08,1863.154797878727
2013-09,1960.150111887019
2013-10,2039.49777396944
2013-11,2069.0828970836246
2013-12,2105.5608621577717
2014-01,2021.5294944352534
2014-02,2120.1061844158303
2014-03,2130.4353674725985
2014-04,2151.9609405666456
2014-05,2199.646638382471
2014-06,2241.958503703314
2014-07,2215.353792719276
2014-08,2265.410288633447
2014-09,2192.600030282957
2014-10,2208.6160427631285
2014-11,2246.4606693601418
2014-12,2203.977107098151
2015-01,2169.993629319608
2015-02,2292.028436253634
2015-03,2257.38302803601
2015-04,2324.1713351506514
2015-05,2322.927601695045
2015-06,2269.1920058470037
2015-07,2289.1486278943466
2015-08,2133.2066661852073
2015-09,2057.147992179355
2015-10,2219.179014623188
2015-11,2201.842111598692
2015-12,2162.8303231180375
