Date,MSCI ACWI ex ISRAEL
2018-08,3037.7104133546163
2018-09,3052.303960270818
2018-10,2824.164702000778
2018-11,2866.6716643597842
2018-12,2666.209059
2019-01,2877.3691813081437
2019-02,2955.8101391029077
2019-03,2994.9359248542287
2019-04,3097.6679507658196
2019-05,2916.7164253137757
2019-06,3109.190119127796
2019-07,3119.291608372379
2019-08,3046.927451002769
2019-09,3112.5075299394707
2019-10,3198.4338949220855
2019-11,3277.735948642942
2019-12,3394.8279292938796
2020-01,3357.8573191255473
2020-02,3087.859296355288
2020-03,2673.008034535819
2020-04,2960.7170638347134
2020-05,3091.041403965897
2020-06,3191.346203212652
2020-07,3361.3394703248905
2020-08,3568.6474282433137
2020-09,3455.238952383738
2020-10,3371.9626650242826
2020-11,3788.9911502195673
2020-12,3966.062882191792
2021-01,3948.845795238096
2021-02,4041.6579686826285
2021-03,4152.05332404769
2021-04,4335.181077994752
2021-05,4405.258338548632
2021-06,4464.759014
2021-07,4496.532203622945
2021-08,4610.6050041367525
2021-09,4422.013515586054
2021-10,4648.860631336951
2021-11,4538.32414
2021-12,4721.281747876563
2022-01,4490.595031602795
2022-02,4375.631026387686
2022-03,4473.150998903243
2022-04,4116.789318798463
2022-05,4124.931960549785
2022-06,3778.896027675765
2022-07,4044.1815609000855
2022-08,3896.209025995569
2022-09,3525.0621621560276
2022-10,3738.5010190770163
2022-11,4030.9743767164155
2022-12,3874.0509167948303
2023-01,4152.9064816382925
2023-02,4035.460418287124
2023-03,4162.819394041669
2023-04,4224.867780157543
2023-05,4182.83196536041
2023-06,4427.795486586634
