Date,AC ASIA WITH PARTIAL A SHARES
2008-11,1031.718719077717
2008-12,1122.2640532729442
2009-01,1052.318600991058
2009-02,946.2321242470512
2009-03,1011.3115011050623
2009-04,1139.445757001173
2009-05,1285.9936053355457
2009-06,1296.093276587262
2009-07,1404.5190625238288
2009-08,1410.1429126439962
2009-09,1455.3774246716148
2009-10,1433.5695064293602
2009-11,1445.5237653178667
2009-12,1482.6078846438227
2010-01,1450.386206976248
2010-02,1462.8404567725995
2010-03,1552.341805630437
2010-04,1566.863053236361
2010-05,1437.9214159662667
2010-06,1435.82513837088
2010-07,1504.4352240496587
2010-08,1479.2001408396482
2010-09,1598.7079569572911
2010-10,1637.0388448557812
2010-11,1639.9896103499943
2010-12,1746.1236033193616
2011-01,1738.1479878600092
2011-02,1740.3630763596238
2011-03,1718.1501958499573
2011-04,1756.8887389999652
2011-05,1731.437779014831
2011-06,1720.631661553076
2011-07,1759.483379994914
2011-08,1600.2142947991676
2011-09,1474.530374706569
2011-10,1563.409459717348
2011-11,1461.52288584238
2011-12,1471.675032825982
2012-01,1586.9104510476318
2012-02,1675.4085239277904
2012-03,1656.9642696598855
2012-04,1633.448763673142
2012-05,1482.503360411601
2012-06,1541.4504525982275
2012-07,1546.809685874567
2012-08,1537.4538792711148
2012-09,1614.1279660286762
2012-10,1598.7118864486438
2012-11,1639.8327861959979
2012-12,1707.6467768628718
2013-01,1751.4475570428951
2013-02,1770.5720852780612
2013-03,1789.0078484053267
2013-04,1877.413837661078
2013-05,1815.9141706113646
2013-06,1773.7229130124408
2013-07,1796.1584069610603
2013-08,1764.7511320629003
2013-09,1885.5247277979006
2013-10,1927.8481045067279
2013-11,1943.8581644839999
2013-12,1940.23132111038
2014-01,1854.3129048484884
2014-02,1882.1384741170077
2014-03,1881.1166613702824
2014-04,1865.3068046472706
2014-05,1940.7478219184188
2014-06,2012.523006002058
2014-07,2060.1690587156872
2014-08,2047.7268391687574
2014-09,1977.4028401412468
2014-10,1986.3193308929117
2014-11,1993.6187401295347
2014-12,1961.0856403061612
2015-01,2007.6766419793967
2015-02,2083.898338324665
2015-03,2107.8616544465285
2015-04,2229.943404370359
2015-05,2213.251103417565
2015-06,2150.2398188416205
2015-07,2079.9557762925087
2015-08,1914.9552965804596
2015-09,1834.794559285361
2015-10,2000.4499295127223
2015-11,1956.4928923046725
2015-12,1954.571810121893
2016-01,1794.1879578909125
2016-02,1762.5261085938491
2016-03,1908.9185822465556
2016-04,1940.1291550745013
2016-05,1917.84431684627
2016-06,1923.6853460027185
2016-07,2031.2207098747729
2016-08,2073.3381174891397
2016-09,2107.825226387897
2016-10,2103.0463244189664
2017-04,2261.021875
2017-05,2345.351109
2017-06,2378.76503
2017-07,2472.487604
2017-08,2492.185705
2017-09,2513.386673
2017-10,2630.157818
2017-11,2672.276965
2017-12,2722.485855
2018-01,2894.870782
2018-02,2792.62839
2018-03,2745.6056751012443
2018-04,2763.9822018341165
2018-05,2733.3169721341374
2018-06,2628.872117721315
2018-07,2646.9481256742133
2018-08,2633.848957025889
2018-09,2648.9818456856988
2018-10,2389.379285271542
2018-11,2464.168153933591
2018-12,2356.2099346754844
2019-01,2516.2196252646395
2019-02,2546.7261737687313
2019-03,2580.5157919348703
2019-04,2624.10345807058
2019-05,2449.994989197521
2019-06,2583.144889393343
2019-07,2558.5967753463838
2019-08,2483.402055180925
2019-09,2552.4059203186007
2019-10,2672.1997103078825
2019-11,2682.9374691692724
2019-12,2809.36160204054
2020-01,2719.2252286503453
2020-02,2567.2642556294136
2020-03,2308.483684931053
2020-04,2482.1377846900104
2020-05,2525.966110990582
2020-06,2648.2109308569925
2020-07,2763.154906123006
2020-08,2903.2476816362923
2020-09,2891.5785982401017
2020-10,2922.52327995387
2020-11,3208.471052297171
2020-12,3394.1347629337665
