Date,MSCI EFM ASEAN
2006-11,1000.0
2006-12,1008.7065833932041
2007-01,1048.50712479861
2007-02,1042.7252384195142
2007-03,1083.922880573134
2007-04,1147.9318900066341
2007-05,1213.6466190264648
2007-06,1229.312529892055
2007-07,1302.3513932755866
2007-08,1216.5684576885153
2007-09,1324.3463732748075
2007-10,1471.242196706017
2007-11,1434.9981331623896
2007-12,1486.815790779823
2008-01,1440.8217234791928
2008-02,1507.4899501136797
2008-03,1388.9205900092672
2008-04,1378.8398239904334
2008-05,1364.2068260758142
2008-06,1254.851129373535
2008-07,1216.859630612197
2008-08,1157.6068347259697
2008-09,1008.2253416719301
2008-10,731.3259460401677
2008-11,700.6711872714671
2008-12,777.8714958657105
2009-01,747.1771011017217
2009-02,718.8097428397386
2009-03,762.1541023258865
2009-04,909.1042229846823
2009-05,1007.8530691860847
2009-06,1061.205729271587
2009-07,1198.5727117426939
2009-08,1203.5988677640676
2009-09,1295.4485280911465
2009-10,1291.163908163374
2009-11,1313.1264190827683
2009-12,1359.5692770653159
2010-01,1341.9970119481695
2010-02,1348.5942364932928
2010-03,1492.6033537721892
2010-04,1544.5469585091812
2010-05,1451.1804654501411
2010-06,1513.5608661529152
2010-07,1598.9255176997372
2010-08,1660.9142887531136
2010-09,1841.6262733779804
2010-10,1887.9975233389143
2010-11,1811.330277267176
2010-12,1899.2210599551295
2011-01,1796.7409295852076
2011-02,1833.1734769408904
2011-03,1971.8374318484305
2011-04,2056.198612784494
2011-05,2031.233247505652
2011-06,2044.055182053707
2011-07,2148.3508735458977
2011-08,1990.0240455240644
2011-09,1763.093546587616
2011-10,1953.7959960755952
2011-11,1860.524099223308
2011-12,1923.2382038067208
2012-01,2030.5636140318347
2012-02,2118.5398951323396
2012-03,2132.3375430520823
2012-04,2146.321583836849
2012-05,1975.023930131761
2012-06,2040.2619177308447
2012-07,2114.498626349411
2012-08,2094.172258784323
2012-09,2184.6894642399147
2012-10,2219.5046702402997
2012-11,2193.205428678091
2012-12,2277.361001695893
2013-01,2305.9959378272
2013-02,2417.494494897095
2013-03,2457.020334611055
2013-04,2537.1531556944587
2013-05,2484.3676829810797
2013-06,2383.570400434713
2013-07,2303.130874053478
2013-08,2079.6080587381366
2013-09,2151.1878043271604
2013-10,2302.406941576017
2013-11,2151.08928452541
2013-12,2104.3405456397877
2014-01,2069.177416030721
2014-02,2199.384100933024
2014-03,2268.302178282017
2014-04,2317.510955780259
2014-05,2321.5120587990077
2014-06,2362.6749533545053
2014-07,2424.808844109936
2014-08,2466.3668587484926
2014-09,2406.5126244260427
2014-10,2405.805332410665
2014-11,2376.179058897838
2014-12,2278.6774479420205
2015-01,2289.6226712471275
2015-02,2339.0320994477515
2015-03,2322.1886119893124
2015-04,2284.755569478243
2015-05,2222.6997268665427
2015-06,2140.4909960821014
2015-07,2069.016629354369
2015-08,1860.589164660557
2015-09,1748.746395143604
2015-10,1879.412309774385
2015-11,1856.1520167397646
2015-12,1855.4761975271927
2016-01,1881.2530656323363
2016-02,1916.7019888536893
2016-03,2085.1388992038324
2016-04,2055.7454638595004
2016-05,1997.2576298409372
2016-06,2100.3228125163664
2016-07,2173.1882497960996
2016-08,2211.139354226518
2016-09,2165.953561683196
2016-10,2142.8888889083078
2016-11,1964.0414961751112
2016-12,2008.6634503022715
2017-01,2063.5119749429155
2017-02,2089.266079219318
2017-03,2165.6060569976385
2017-04,2227.789464
2017-05,2268.861549
2017-06,2289.081701
2017-07,2314.597805
2017-08,2340.508263
2017-09,2371.227235
2017-10,2394.638019
2017-11,2430.934484
2017-12,2586.392988
2018-01,2730.054354
2018-02,2698.662739
2018-03,2640.662073
2018-04,2588.9993446916556
2018-05,2457.397653004712
2018-06,2301.4193657167093
2018-07,2420.4905333157367
2018-08,2454.5754409523083
2018-09,2432.2942981128813
2018-10,2301.1051174654235
2018-11,2377.8892877225035
2018-12,2374.3779995312084
2019-01,2533.042304032243
2019-02,2510.426299946774
2019-03,2491.175200034718
2019-04,2509.0638079726796
2019-05,2467.670065774389
2019-06,2603.5510987096354
2019-07,2582.1323968842294
2019-08,2500.93540514379
2019-09,2466.383808924704
2019-10,2492.2427930647295
2019-11,2447.609668142557
2019-12,2523.8836451366337
2020-01,2380.3364138584693
2020-02,2149.5700160604215
2020-03,1733.1017032134334
2020-04,1929.762948450878
2020-05,2014.167717320651
2020-06,2090.543708636123
2020-07,2127.2938663749037
2020-08,2111.9979472923837
2020-09,1975.8620316690829
2020-10,2016.4174390808466
2020-11,2301.822027538927
2020-12,2402.983224283441
2021-01,2333.188487542964
2021-02,2371.0839533224125
2021-03,2330.6970902706494
2021-04,2352.6561724899016
2021-05,2364.3806693024726
2021-06,2294.607348234523
2021-07,2166.2886333596116
2021-08,2366.103202835888
2021-09,2306.203924763368
2021-10,2409.693495670713
2021-11,2326.0018263694374
2021-12,2393.37770431671
2022-01,2382.401628003317
2022-02,2481.842164871881
2022-03,2490.5562658723834
2022-04,2429.9278507802683
2022-05,2403.6422591679666
2022-06,2183.320129633905
2022-07,2206.1858556728207
2022-08,2293.159232342003
2022-09,2130.4425957814856
2022-10,2155.3141877618223
2022-11,2307.8200500132943
2022-12,2304.0005768892893
2023-01,2394.8468160449365
2023-02,2248.853700646255
2023-03,2326.132673175846
2023-04,2339.1488350609866
2023-05,2256.7236303471227
2023-06,2242.199830935642
