Date,MSCI EUROPE ex UK
1969-12,100.0
1970-01,99.119717
1970-02,97.731915
1970-03,98.219447
1970-04,93.113639
1970-05,88.024741
1970-06,87.129589
1970-07,92.017678
1970-08,93.429758
1970-09,91.514917
1970-10,90.955502
1970-11,88.363425
1970-12,88.11324
1971-01,94.560046
1971-02,96.328776
1971-03,96.147733
1971-04,95.345821
1971-05,97.325705
1971-06,97.499071
1971-07,100.194328
1971-08,98.858909
1971-09,95.158233
1971-10,91.434567
1971-11,94.124426
1971-12,99.750132
1972-01,106.170298
1972-02,111.327397
1972-03,116.90541499999999
1972-04,117.986228
1972-05,123.699353
1972-06,121.603801
1972-07,127.69552
1972-08,128.588698
1972-09,125.900205
1972-10,125.828378
1972-11,125.606619
1972-12,125.279087
1973-01,132.037189
1973-02,145.998618
1973-03,152.665563
1973-04,153.011493
1973-05,153.870478
1973-06,163.823076
1973-07,157.024894
1973-08,151.586267
1973-09,155.357845
1973-10,158.791857
1973-11,134.668397
1973-12,132.111518
1974-01,134.748439
1974-02,136.400867
1974-03,139.592256
1974-04,143.450858
1974-05,133.999893
1974-06,129.752374
1974-07,131.268091
1974-08,119.990034
1974-09,109.300326
1974-10,114.503835
1974-11,120.812141
1974-12,121.303079
1975-01,139.397049
1975-02,151.204743
1975-03,149.922436
1975-04,156.007434
1975-05,150.482149
1975-06,147.302406
1975-07,142.310455
1975-08,139.571894
1975-09,130.862604
1975-10,142.910668
1975-11,149.722487
1975-12,151.47728
1976-01,154.593899
1976-02,152.692561
1976-03,151.154924
1976-04,148.642563
1976-05,145.858696
1976-06,145.499356
1976-07,143.888053
1976-08,142.697181
1976-09,143.834969
1976-10,136.266989
1976-11,140.015662
1976-12,145.941058
1977-01,142.057336
1977-02,142.619543
1977-03,142.261597
1977-04,147.911111
1977-05,144.887864
1977-06,145.619566
1977-07,143.65222
1977-08,145.005016
1977-09,148.168906
1977-10,152.899596
1977-11,153.801252
1977-12,161.228645
1978-01,163.542143
1978-02,167.998862
1978-03,174.704559
1978-04,171.312727
1978-05,174.339349
1978-06,177.572396
1978-07,189.036725
1978-08,196.667074
1978-09,207.841743
1978-10,219.974602
1978-11,196.930507
1978-12,209.04407
1979-01,211.415759
1979-02,209.165358
1979-03,212.705423
1979-04,211.390619
1979-05,203.742328
