Date,MSCI FAR EAST
1969-12,100.0
1970-01,98.820461
1970-02,100.391274
1970-03,104.310832
1970-04,92.614389
1970-05,90.287214
1970-06,92.135508
1970-07,92.809913
1970-08,92.204647
1970-09,91.250021
1970-10,92.235629
1970-11,90.155249
1970-12,91.414357
1971-01,96.492746
1971-02,100.204135
1971-03,107.877827
1971-04,113.613309
1971-05,113.861314
1971-06,125.489448
1971-07,126.205259
1971-08,120.923634
1971-09,125.522923
1971-10,121.165183
1971-11,125.919054
1971-12,142.563607
1972-01,152.976588
1972-02,166.290421
1972-03,175.81836
1972-04,185.685674
1972-05,200.810389
1972-06,209.11757
1972-07,227.53324
1972-08,231.491049
1972-09,242.102242
1972-10,254.978476
1972-11,298.585529
1972-12,331.991311
1973-01,343.584946
1973-02,392.719494
1973-03,382.470074
1973-04,324.968972
1973-05,335.580816
1973-06,337.552835
1973-07,357.375914
1973-08,336.439957
1973-09,318.862761
1973-10,321.0013
1973-11,276.247527
1973-12,258.551195
1974-01,258.960125
1974-02,265.542368
1974-03,267.566203
1974-04,269.173924
1974-05,282.765168
1974-06,273.05729
1974-07,244.912503
1974-08,216.701233
1974-09,216.765698
1974-10,200.558903
1974-11,217.620403
1974-12,209.281602
1975-01,223.827461
1975-02,257.085553
1975-03,264.34455
1975-04,266.435378
1975-05,264.630184
1975-06,266.571466
1975-07,252.660744
1975-08,241.901893
1975-09,228.105932
1975-10,251.745215
1975-11,254.367809
1975-12,258.915442
1976-01,278.269775
1976-02,281.130871
1976-03,281.265901
1976-04,282.203073
1976-05,282.445872
1976-06,296.067418
1976-07,290.528615
1976-08,300.755387
1976-09,302.221554
1976-10,286.591779
1976-11,284.468627
1976-12,327.008422
1977-01,317.479724
1977-02,331.87386
1977-03,328.271674
1977-04,334.876579
1977-05,332.494125
1977-06,345.167023
1977-07,340.83251
1977-08,358.085493
1977-09,362.123173
1977-10,368.711666
1977-11,370.150937
1977-12,372.359434
1978-01,387.000783
1978-02,401.14919
1978-03,452.242698
1978-04,450.270382
1978-05,455.236937
1978-06,501.019839
1978-07,551.268296
1978-08,550.490782
1978-09,558.098373
1978-10,601.675308
1978-11,539.172448
1978-12,564.020578
1979-01,566.158165
1979-02,544.136299
1979-03,526.995548
1979-04,512.242605
1979-05,521.125257
1979-06,522.804972
1979-07,524.610409
1979-08,526.815953
1979-09,542.250453
1979-10,502.370365
1979-11,488.281758
1979-12,522.825155
1980-01,536.047494
1980-02,517.991877
1980-03,496.044078
1980-04,538.730968
1980-05,571.243624
1980-06,599.98402
1980-07,579.620051
1980-08,617.788163
1980-09,651.135434
1980-10,680.748262
1980-11,660.15787
1980-12,701.906609
1981-01,720.448567
1981-02,709.501199
1981-03,740.846554
1981-04,792.540551
1981-05,783.752663
1981-06,812.012179
1981-07,776.448522
1981-08,792.248961
1981-09,708.339982
1981-10,710.887562
1981-11,783.017591
1981-12,792.634311
1982-01,779.587977
1982-02,714.732009
1982-03,650.226211
1982-04,711.291711
1982-05,692.973776
1982-06,645.429215
1982-07,617.753445
1982-08,612.904044
1982-09,587.691123
1982-10,584.275233
1982-11,679.069893
1982-12,755.420612
1983-01,734.448158
1983-02,753.328173
1983-03,779.645993
1983-04,798.994909
1983-05,794.623184
1983-06,819.993036
1983-07,826.774919
1983-08,813.945067
1983-09,861.740135
1983-10,861.693001
1983-11,871.357486
1983-12,937.530439
1984-01,987.222011
1984-02,981.286665
1984-03,1140.046861
1984-04,1117.74958
1984-05,984.068926
1984-06,984.439136
1984-07,918.094625
1984-08,994.994877
1984-09,991.975487
1984-10,1034.718356
1984-11,1043.642245
1984-12,1082.986886
1985-01,1084.972049
1985-02,1117.222144
1985-03,1176.074225
1985-04,1142.749415
1985-05,1183.547902
1985-06,1230.033708
1985-07,1239.541111
1985-08,1263.367447
1985-09,1387.387433
1985-10,1433.119471
1985-11,1452.163084
1985-12,1529.816262
1986-01,1567.986272
1986-02,1747.452
1986-03,2098.102
1986-04,2180.493
1986-05,2168.527804
1986-06,2383.906825
1986-07,2690.900558
1986-08,2933.612009
1986-09,3008.490448
1986-10,2641.483128
1986-11,2807.217259
1986-12,3011.33761
1987-01,3480.737274
1987-02,3559.821756
1987-03,3926.651576
1987-04,4522.566101
1987-05,4531.925607
1987-06,4219.215695
1987-07,4095.895633
1987-08,4587.876911
1987-09,4441.80602
1987-10,4033.341
1987-11,4188.078047
1987-12,4250.327408
1988-01,4478.763867
1988-02,4807.72387
1988-03,5168.129823
1988-04,5226.12144
1988-05,4996.077106
1988-06,4826.42766
1988-07,5043.768537
1988-08,4661.753775
1988-09,4857.16495
1988-10,5259.88972
1988-11,5716.84752
1988-12,5753.369071
1989-01,5790.547939
1989-02,5898.355892
1989-03,5702.447973
1989-04,5703.223448
1989-05,5380.032914
1989-06,5130.008006
1989-07,5805.230473
1989-08,5411.86024
1989-09,5758.780231
1989-10,5609.498948
1989-11,5892.265567
1989-12,5890.208163
1990-01,5547.373926
1990-02,5003.41015
1990-03,4071.687432
1990-04,4112.963002
1990-05,4693.132807
1990-06,4488.848724
1990-07,4443.43166
1990-08,4004.606077
1990-09,3355.852891
1990-10,4143.631055
1990-11,3664.970126
1990-12,3834.789336
1991-01,3950.019436
1991-02,4446.405476
1991-03,4191.953203
1991-04,4289.266708
1991-05,4277.728229
1991-06,3983.351542
1991-07,4112.841316
1991-08,3895.834163
1991-09,4212.52302
1991-10,4389.744603
1991-11,4103.42463
1991-12,4237.3092193
1992-01,4070.7713977
1992-02,3767.9627333999997
1992-03,3387.2067632999997
1992-04,3213.2077439
1992-05,3478.4783011
1992-06,3193.5658903
1992-07,3151.2207768999997
1992-08,3636.5594346999997
1992-09,3558.1817741
1992-10,3439.1426598999997
1992-11,3504.0392287
1992-12,3444.4807054999997
1993-01,3445.087036
1993-02,3606.469372
1993-03,4062.184856
1993-04,4746.622818
1993-05,4895.923027
1993-06,4816.666201999999
1993-07,5091.891528
1993-08,5238.12128
1993-09,5039.359577
1993-10,5126.718085519183
1993-11,4381.389477042015
1993-12,4676.438792934842
1994-01,5220.756571140732
1994-02,5382.544627703382
1994-03,5092.885166390454
1994-04,5314.673432449668
1994-05,5434.231364842244
1994-06,5638.715243712305
1994-07,5497.644208710722
1994-08,5583.283685023172
1994-09,5451.908401313201
1994-10,5588.355084336714
1994-11,5271.513257948831
1994-12,5305.523617940319
1995-01,4966.777458419086
1995-02,4828.219269238663
1995-03,5224.200258898984
1995-04,5437.6832483959415
1995-05,5215.294910856149
1995-06,4985.437090600703
1995-07,5341.0953752254945
1995-08,5123.964440127852
1995-09,5176.270617527392
1995-10,4914.157040561201
1995-11,5168.340036863674
1995-12,5431.245496026973
1996-01,5432.305859123565
1996-02,5357.397524387897
1996-03,5534.113547842846
1996-04,5819.545437649775
1996-05,5556.64332099324
1996-06,5567.7189988680975
1996-07,5308.59863233288
1996-08,5138.780084977507
1996-09,5319.3052280784095
1996-10,5039.074654377081
1996-11,5172.316588550451
1996-12,4883.86501657689
1997-01,4453.605476221577
1997-02,4547.931895809939
1997-03,4368.735584236066
1997-04,4458.184079321526
1997-05,4925.437825841227
1997-06,5241.592535908263
1997-07,5110.4453086633785
1997-08,4591.04918642786
1997-09,4554.024517965495
1997-10,4004.8633995791115
1997-11,3773.4707212314042
1997-12,3584.6261376180037
1998-01,3777.8722878192507
1998-02,3920.7121564542085
1998-03,3683.52628146325
1998-04,3608.4292788397515
1998-05,3359.9477544928413
1998-06,3356.442401782001
1998-07,3291.575183068641
1998-08,2911.027436784946
1998-09,2881.592836277635
1998-10,3411.1611256260726
1998-11,3561.7717129313583
1998-12,3676.311322596093
1999-01,3679.59361461883
1999-02,3609.9002295651585
1999-03,4105.961074418341
1999-04,4362.285097241479
1999-05,4117.493617876882
1999-06,4517.501163171477
1999-07,4899.369462287094
1999-08,4872.827360491094
1999-09,5118.93972648707
1999-10,5343.657745772039
1999-11,5608.527409844917
1999-12,5978.824627696323
2000-01,5687.128451773744
2000-02,5564.081530083067
2000-03,5985.933033040742
2000-04,5549.9005481580725
2000-05,5218.955571578216
2000-06,5592.205751674752
2000-07,5040.807885467524
2000-08,5339.912942200806
2000-09,5055.547065237244
2000-10,4769.327846787415
2000-11,4577.922961787535
2000-12,4364.554215516977
2001-01,4330.168051208545
2001-02,4147.3537653118165
2001-03,3977.133028103556
2001-04,4217.632586208919
2001-05,4199.31479325147
2001-06,3961.1821847241304
2001-07,3696.150567099821
2001-08,3595.1039650571156
2001-09,3229.7829835695225
2001-10,3232.89250244755
2001-11,3304.2441652059706
2001-12,3130.186402511805
2002-01,2925.262916384574
2002-02,3015.061125250862
2002-03,3190.4756117199217
2002-04,3363.943561465109
2002-05,3534.298104078372
2002-06,3347.0760569211798
2002-07,3126.2392279597334
2002-08,3086.1149400019026
2002-09,2937.144209579765
2002-10,2768.7634805700313
2002-11,2875.4180997364415
2002-12,2791.5085289343297
2003-01,2686.8841423730437
2003-02,2697.805118534429
2003-03,2580.035993925892
2003-04,2562.622528659024
2003-05,2697.4361688280605
2003-06,2883.3466980789676
2003-07,3008.238723466755
2003-08,3321.529264576204
2003-09,3515.6832428529333
2003-10,3677.5182000676446
2003-11,3573.395379172016
2003-12,3806.1501855974843
2004-01,3899.6336519978695
2004-02,3900.154741911621
2004-03,4348.679977453226
2004-04,4119.776766697383
2004-05,3987.62091325668
2004-06,4184.009380212173
2004-07,3965.026700763981
2004-08,4011.9285171502834
2004-09,3939.306362277951
2004-10,4031.744064537484
2004-11,4235.498409042704
2004-12,4441.563256076147
2005-01,4338.8786331064075
2005-02,4430.182925824333
2005-03,4338.656902950694
2005-04,4251.461172229071
2005-05,4218.597360855357
2005-06,4228.337081273643
2005-07,4295.273651050025
2005-08,4550.336860588722
2005-09,4984.469762817384
2005-10,4902.956050358824
2005-11,5107.809769555277
2005-12,5514.604411544989
2006-01,5794.915606971202
2006-02,5755.501419857334
2006-03,5898.479729935554
2006-04,6085.726557782387
2006-05,5705.876698987691
2006-06,5653.508026000838
2006-07,5631.500061774404
2006-08,5726.6056224598005
2006-09,5651.963907536143
2006-10,5762.791285133254
2006-11,5835.161840998378
2006-12,6003.554618494641
2007-01,6064.52295586894
2007-02,6272.1795549491235
2007-03,6219.803104006318
2007-04,6132.8060025215
2007-05,6242.995186064953
2007-06,6235.527026536314
2007-07,6260.9493182336055
2007-08,6092.019863097169
2007-09,6322.414269702505
2007-10,6376.385060396858
2007-11,6230.051272005866
2007-12,6021.052443696931
2008-01,5678.85093199163
2008-02,5710.282133949565
2008-03,5486.062419253529
2008-04,5887.076555776033
2008-05,6013.347528871736
2008-06,5580.660457805351
2008-07,5407.405981309743
2008-08,5175.247562265304
2008-09,4560.729316383588
2008-10,3832.1538181980977
2008-11,3783.54571910649
2008-12,4077.3374270503396
2009-01,3823.0900087985533
2009-02,3373.4819567593013
2009-03,3460.020119794974
2009-04,3824.968344996191
2009-05,4269.2833919784725
2009-06,4326.727942044326
2009-07,4571.303959370055
2009-08,4689.00688649166
2009-09,4667.416979540115
2009-10,4577.278032838854
2009-11,4544.121725660308
2009-12,4597.436409472332
2010-01,4625.410925761647
2010-02,4687.821008587645
2010-03,4924.460441520162
2010-04,4923.312900603222
2010-05,4530.322207435684
2010-06,4475.368534422179
2010-07,4656.239265321402
2010-08,4569.149287636837
2010-09,4832.696579392114
2010-10,4936.34856222017
2010-11,5025.117939491154
2010-12,5360.061749411885
2011-01,5374.713269369462
2011-02,5541.292961764697
2011-03,5140.824151296772
2011-04,5190.8446395145265
2011-05,5118.072723175822
2011-06,5150.147206284931
2011-07,5328.412338932619
2011-08,4902.33772589838
2011-09,4702.201561536831
2011-10,4781.481974615379
2011-11,4543.248005205162
2011-12,4576.319459967916
2012-01,4836.570886723408
2012-02,5098.9658849753505
2012-03,5129.037820558077
2012-04,5001.98619836967
2012-05,4546.706106807962
2012-06,4780.79858800974
2012-07,4732.63686888682
2012-08,4707.755396158437
2012-09,4853.678863142369
2012-10,4784.396980672572
2012-11,4900.724246526771
2012-12,5124.0296533843375
2013-01,5317.69346680406
2013-02,5427.451006654977
2013-03,5637.486628127357
2013-04,6069.164901803098
2013-05,5755.523360045042
2013-06,5783.881715410548
2013-07,5852.477318092519
2013-08,5720.461239187098
2013-09,6179.109326609225
2013-10,6206.701221837896
2013-11,6285.178612332331
2013-12,6323.463211575741
2014-01,6057.207213971616
2014-02,6073.6447904686
2014-03,6009.281974911504
2014-04,5914.048559902813
2014-05,6150.965560353447
2014-06,6419.400298434111
2014-07,6511.204823478516
2014-08,6383.73587171794
2014-09,6279.8396415852285
2014-10,6257.091253087773
2014-11,6282.937304073437
2014-12,6176.178576730913
2015-01,6327.692479589063
2015-02,6638.49454051528
2015-03,6737.042355192635
2015-04,7032.661965933809
2015-05,7083.717356965265
2015-06,6955.623497738438
2015-07,6952.136829214293
2015-08,6471.9147729954475
2015-09,6077.430854019888
2015-10,6678.641042870694
2015-11,6582.604930603187
2015-12,6609.53096725109
2016-01,6055.660899855233
2016-02,5923.93516713429
2016-03,6266.394565483593
2016-04,6516.647004635419
2016-05,6439.608750689061
2016-06,6327.301576444611
2016-07,6720.901345670748
2016-08,6745.245254920667
2016-09,6877.794642016577
2016-10,6931.502168111841
2016-11,6784.290967203519
2016-12,6782.7510431441215
2017-01,7079.571607298305
2017-02,7170.826308106796
2017-03,7191.737369819045
2017-04,7282.844727
2017-05,7508.084899
2017-06,7585.26355
2017-07,7765.943112
2017-08,7776.972069
2017-09,7902.65482
2017-10,8227.141357
2017-11,8480.591089
2017-12,8562.679963
2018-01,8963.082515
2018-02,8807.689382
2018-03,8628.930671
2018-04,8736.338455723982
2018-05,8647.53112178515
2018-06,8385.14924433681
2018-07,8436.386847561113
2018-08,8421.84268457894
2018-09,8649.451790783445
2018-10,7890.363144017963
2018-11,7994.841819060477
2018-12,7549.525319749501
2019-01,8025.232089184537
2019-02,8084.5458925516305
2019-03,8150.276032684193
2019-04,8278.76385881659
2019-05,7901.581761245017
2019-06,8256.298171351991
2019-07,8224.378709177465
2019-08,8042.9044736126525
