Date,MSCI FM (FRONTIER MARKETS)
2002-05,241.1091523864041
2002-06,246.65373569750017
2002-07,242.94230430110687
2002-08,251.19346805968215
2002-09,242.63857069791717
2002-10,244.67409676883324
2002-11,258.508165827776
2002-12,268.3765871681814
2003-01,274.47636780089687
2003-02,267.7694418372136
2003-03,276.0240772294064
2003-04,303.45122784768006
2003-05,313.44410347493215
2003-06,309.8229930554423
2003-07,322.3810737730309
2003-08,327.2189668003999
2003-09,350.59085702071854
2003-10,358.43428050004405
2003-11,369.5362456699716
2003-12,385.27130183990266
2004-01,396.45974102994626
2004-02,400.7151532145637
2004-03,381.7528107395323
2004-04,386.8961497736425
2004-05,391.2595619452547
2004-06,396.8008396730935
2004-07,405.9239022443258
2004-08,406.12888255068026
2004-09,417.62260282229437
2004-10,422.6887123828145
2004-11,453.3367391278728
2004-12,472.6049837057625
2005-01,504.918635966083
2005-02,576.7088224102381
2005-03,622.1712948411421
2005-04,668.8144716549224
2005-05,634.7325816443819
2005-06,746.2947361897088
2005-07,709.1769395700318
2005-08,784.0045843993317
2005-09,848.8794247954334
2005-10,859.8531384146687
2005-11,849.0128405001631
2005-12,816.3828156678212
2006-01,808.6673782510471
2006-02,761.0204598001368
2006-03,737.2545586896218
2006-04,725.7474085601526
2006-05,681.8099341999005
2006-06,665.4842875486639
2006-07,660.7951165452552
2006-08,709.0099605813199
2006-09,713.90548374183
2006-10,746.0599031419936
2006-11,694.8318534833443
2006-12,744.0677689506347
2007-01,761.0212603041463
2007-02,784.5613675533824
2007-03,805.4599663273541
2007-04,835.326547422729
2007-05,911.4969662864438
2007-06,938.0132169527452
2007-07,953.6060350283961
2007-08,938.0324170302185
2007-09,972.5818612269361
2007-10,1015.8564333473936
2007-11,1000.0
2007-12,1057.0580230312637
2008-01,1046.286382607174
2008-02,1092.3669887047554
2008-03,1038.5868279803956
2008-04,1074.1475386299437
2008-05,1076.8732134466795
2008-06,1061.4296953864457
2008-07,1031.3010503456094
2008-08,945.852814090174
2008-09,818.9899578027505
2008-10,615.5888582924567
2008-11,539.0675659186394
2008-12,485.1694863946773
2009-01,396.445678948817
2009-02,370.0514438006922
2009-03,400.5399456986053
2009-04,444.73811788926946
2009-05,526.3281454446862
2009-06,541.0746209946068
2009-07,551.0796569607288
2009-08,582.4812251652752
2009-09,599.7743290232735
2009-10,582.1065854395873
2009-11,547.740871188397
2009-12,542.0540961757289
2010-01,530.564546997561
2010-02,560.0957166586695
2010-03,604.0725260591263
2010-04,604.4543100624496
2010-05,549.17074166
2010-06,545.612658446527
2010-07,577.7270612228441
2010-08,580.1256781049187
2010-09,623.548747150039
2010-10,648.7939721783832
2010-11,643.1106262814604
2010-12,673.4244508021272
2011-01,673.5046401967143
2011-02,628.6554648734467
2011-03,636.9676478399127
2011-04,668.1041540597221
2011-05,642.6659002381887
2011-06,637.0734499921324
2011-07,621.2385634807064
2011-08,589.434433481617
2011-09,560.3971716123024
2011-10,572.7627050966342
2011-11,555.8685566711055
2011-12,549.6376162670146
2012-01,552.7392615145191
2012-02,566.5631524973398
2012-03,580.4759075616574
2012-04,575.7206110730898
2012-05,544.6050277388098
2012-06,542.3802646385992
2012-07,548.0744922493943
2012-08,559.1933040851934
2012-09,582.6245363346828
2012-10,578.6662942114226
2012-11,588.2658858127018
2012-12,600.4764856876496
2013-01,645.3736583154648
2013-02,645.1314264709479
2013-03,649.9557284512531
2013-04,674.2037549361423
2013-05,708.34464685394
2013-06,669.2751744079835
2013-07,704.0092609577771
2013-08,688.041879029597
2013-09,711.7152359599017
2013-10,729.2268884423988
2013-11,742.2354815299313
2013-12,758.5150286120268
2014-01,765.004948368666
2014-02,791.7514751914991
2014-03,815.6621963128283
2014-04,862.4731341640572
2014-05,915.3078046773959
2014-06,914.3319497548957
2014-07,930.3375388922445
2014-08,922.0241979179988
2014-09,928.7321895574487
2014-10,887.8087663484758
2014-11,847.248841816255
2014-12,813.1961276805029
2015-01,780.031747427555
2015-02,802.9244411997747
2015-03,789.3438581919766
2015-04,819.2488068376688
2015-05,790.6650309053795
2015-06,790.192293251129
2015-07,767.241010836163
2015-08,723.3526258229778
2015-09,707.2355574836267
2015-10,733.2010761782511
2015-11,700.7908151125831
2015-12,698.7451496049878
2016-01,650.940733186223
2016-02,673.7176199098922
2016-03,693.4779085086038
2016-04,714.9675023049376
2016-05,722.7426264249193
2016-06,697.8534335149035
2016-07,706.6819780965156
2016-08,698.7554656328729
2016-09,716.9419424030949
2016-10,714.1512613862194
2016-11,701.5272588630085
2016-12,720.800947517531
2017-01,768.8143491666689
2017-02,766.0598463612083
2017-03,786.0520914947047
2017-04,795.54242
2017-05,829.970554
2017-06,835.311988
2017-07,853.085339
2017-08,884.645188
2017-09,902.967544
2017-10,914.036538
2017-11,924.772018
2017-12,953.786688
2018-01,1008.460591
2018-02,993.608515
2018-03,1002.918376
2018-04,971.7546334347346
2018-05,882.7295826211714
2018-06,851.7346629090581
2018-07,883.146975430724
2018-08,835.6138754133331
2018-09,835.2982835399033
2018-10,805.7806763042993
2018-11,823.3118820973721
2018-12,799.2352702117506
2019-01,837.2458853684185
2019-02,843.9913581805005
2019-03,854.3969868881471
2019-04,856.4021504915283
2019-05,875.6738254676143
2019-06,896.2710704691511
2019-07,918.9580727272505
2019-08,904.3572357106387
2019-09,886.9327775810602
2019-10,894.1292106328362
2019-11,906.4341448135581
2019-12,945.8053915185754
2020-01,945.2482114234856
2020-02,889.6863718099212
2020-03,694.4891463754404
