Date,MSCI JORDAN + EGYPT + MOROCCO
2005-05,780.0704019
2005-06,857.2145165
2005-07,877.2398107
2005-08,895.7893669
2005-09,966.2647915
2005-10,975.3920528
2005-11,1000.0
2005-12,1044.916251666314
2006-01,1261.698610598555
2006-02,1170.6012247567742
2006-03,1137.295123013635
2006-04,1165.2622191402525
2006-05,1017.0230536300476
2006-06,933.3810894407236
2006-07,1019.2982376606334
2006-08,1115.6739026857877
2006-09,1138.4101652444685
2006-10,1158.6183045598245
2006-11,1156.3760060479751
2006-12,1219.5620235076412
2007-01,1232.2660209020175
2007-02,1309.5665973350933
2007-03,1327.6822519274428
2007-04,1383.9267910640222
2007-05,1422.9642214916694
2007-06,1411.3251368508843
2007-07,1468.9216508573218
2007-08,1420.1182159640114
2007-09,1563.0813533161431
2007-10,1683.366487305162
2007-11,1722.0163089648952
2007-12,1847.4998374294685
2008-01,1873.5785971969478
2008-02,2044.2259085367373
2008-03,2091.573253830812
2008-04,2147.69911116645
2008-05,2076.5258678646383
2008-06,1965.5327242913747
2008-07,1900.4422154835158
2008-08,1752.8461288082613
2008-09,1481.156279139658
2008-10,1126.0064189845673
2008-11,992.827565370998
2008-12,1095.757290530674
2009-01,936.8264898084387
2009-02,939.854571126287
2009-03,988.8047724683913
2009-04,1128.8362335618976
2009-05,1224.4310785231837
2009-06,1243.7802961186621
2009-07,1278.4520393753555
2009-08,1350.8687180741551
2009-09,1360.0209957117158
2009-10,1393.9902431983865
2009-11,1232.406003705747
2009-12,1283.7225000583312
2010-01,1357.1568014759234
2010-02,1359.9625699420753
2010-03,1397.2306321528
2010-04,1501.4168500469686
2010-05,1339.9873365520568
2010-06,1254.5284595942674
2010-07,1316.4612179222665
2010-08,1311.6427066489155
2010-09,1369.6867611664557
2010-10,1376.5787257908023
2010-11,1347.0349251367768
2010-12,1432.4445751681158
2011-01,1228.7343544746695
2011-02,1235.4927472104678
2011-03,1205.5679015189176
2011-04,1151.1720443522454
2011-05,1240.6497137979416
2011-06,1190.827396499122
2011-07,1129.0174369042704
2011-08,1091.1992417301608
2011-09,994.3125326901123
2011-10,1058.1937676637008
2011-11,966.0008235613113
2011-12,890.4592450120333
2012-01,1055.9798723347715
2012-02,1168.992460423266
2012-03,1128.0986443411034
2012-04,1104.5619017653494
2012-05,1050.6243391530438
2012-06,1048.793454745755
2012-07,1070.8665818443712
2012-08,1155.1171960350084
2012-09,1216.1890142893396
2012-10,1188.4818593681603
2012-11,1062.834222043255
2012-12,1118.460305190129
2013-01,1106.1337227550027
2013-02,1077.074388218588
2013-03,1023.0611735609167
2013-04,1028.376967895571
2013-05,1047.162559394376
2013-06,940.3189212386552
2013-07,1009.2832037630756
2013-08,957.5873691065547
2013-09,1022.0805133192415
2013-10,1123.620491925775
2013-11,1103.613687623177
2013-12,1148.0674486181863
2014-01,1187.2948798598134
2014-02,1249.4270012206327
2014-03,1237.1637949391597
2014-04,1290.1581565641368
2014-05,1271.3389923978123
2014-06,1235.5536544558336
2014-07,1314.4409352857538
2014-08,1371.3792029431706
2014-09,1437.6260150739088
2014-10,1382.250395520579
2014-11,1365.6618475812484
2014-12,1315.959842596264
2015-01,1347.0556027206678
2015-02,1321.4144494341426
2015-03,1302.1027989171776
2015-04,1276.0541811490727
2015-05,1268.235295148141
2015-06,1241.0076601428386
2015-07,1233.5491245834587
2015-08,1144.6055123406572
2015-09,1141.997432495531
2015-10,1118.38248595917
2015-11,1022.00006172625
2015-12,1079.8329037070282
2016-01,986.4924913619442
2016-02,1016.4184880467537
2016-03,1089.1097732238643
2016-04,1206.554807910666
2016-05,1157.10357549303
2016-06,1112.9612978091159
2016-07,1250.153351814727
2016-08,1252.8988761741855
2016-09,1261.8336283119615
2016-10,1336.3803866472365
2016-11,1118.1648263701672
2016-12,1201.3409922721883
2017-01,1231.9619181823034
2017-02,1257.9028841772806
2017-03,1191.738799142089
2017-04,1200.264802
2017-05,1253.444025
2017-06,1281.526954
2017-07,1309.41756
