Date,MSCI ACWI ex CHILE
1998-12,1000.0
1999-01,1019.9642331671088
1999-02,993.9151409722497
1999-03,1039.3807367530687
1999-04,1084.1226489892495
1999-05,1046.7662300735915
1999-06,1099.4131672112153
1999-07,1094.4225422829152
1999-08,1093.394043697645
1999-09,1081.6843423715925
1999-10,1135.9602078521325
1999-11,1170.9400247960618
1999-12,1268.1172744606272
2000-01,1198.8137657402096
2000-02,1202.8066143917279
2000-03,1282.6319883578465
2000-04,1225.2696372156634
2000-05,1194.4585571195225
2000-06,1235.0285779144128
2000-07,1198.2909118765317
2000-08,1236.0379086034259
2000-09,1167.9139154156103
2000-10,1144.6149772492367
2000-11,1073.516990344786
2000-12,1091.0426110931107
2001-01,1118.5900951182023
2001-02,1024.5706946943744
2001-03,955.5759449373766
2001-04,1025.2155312449368
2001-05,1013.6359299491081
2001-06,982.3739357117065
2001-07,967.2289087553713
2001-08,922.6535679913694
2001-09,838.5270800607452
2001-10,856.3480275027267
2001-11,908.9590987235739
2001-12,917.458448505782
2002-01,892.3425773521489
2002-02,885.7654894117755
2002-03,925.7710362118875
2002-04,896.4173114691508
2002-05,897.7380475551392
2002-06,842.9727717502151
2002-07,772.2477312079784
2002-08,774.253416185171
2002-09,689.3505354221393
2002-10,740.1134270638242
2002-11,780.6002339816363
2002-12,743.3520201778383
2003-01,721.6313637699342
2003-02,708.9948700297217
2003-03,706.301917783387
2003-04,769.3222405403909
2003-05,814.1046195459055
2003-06,829.7365706947306
2003-07,848.113513149072
2003-08,868.2303083611339
2003-09,873.7332350010813
2003-10,926.6976114777099
2003-11,940.9123152482804
2003-12,1000.6120043200347
2004-01,1017.7912625357104
2004-02,1036.5153530800042
2004-03,1031.0358762518022
2004-04,1007.3789007876004
2004-05,1015.8917701190421
2004-06,1036.4109141508918
2004-07,1003.5140108102719
2004-08,1009.9633127609213
2004-09,1031.2283231993954
2004-10,1056.6731623134187
2004-11,1114.7030288525184
2004-12,1158.1349728665416
2005-01,1133.851291895059
2005-02,1173.6176983486378
2005-03,1148.1864566913619
2005-04,1123.6142518242489
2005-05,1145.4370018838674
2005-06,1157.4627195053322
2005-07,1200.5098684627776
2005-08,1210.1929442224434
2005-09,1246.8737710478065
2005-10,1213.5891142782812
2005-11,1258.4121397134597
2005-12,1289.739247065909
2006-01,1353.5339776740357
2006-02,1352.0271229077764
2006-03,1381.0948716689868
2006-04,1427.788194189181
2006-05,1372.7509204356418
2006-06,1372.7396833855587
2006-07,1382.428945463357
2006-08,1418.953761679341
2006-09,1435.8300109707534
2006-10,1489.9108406517055
2006-11,1532.7046779118791
2006-12,1567.254824829485
2007-01,1583.1220711314272
2007-02,1575.4227270298356
2007-03,1607.6447295523355
2007-04,1679.748481364011
2007-05,1731.2667190847465
2007-06,1726.6557645616099
2007-07,1700.7122963924376
2007-08,1696.7378206903586
2007-09,1788.4785364288161
2007-10,1858.4584287874384
2007-11,1777.1868843506213
2007-12,1757.9942166401556
2008-01,1614.2600896130941
2008-02,1619.5064820901976
2008-03,1596.2476589267944
2008-04,1686.6375795158167
2008-05,1714.983857139869
2008-06,1574.7737974102097
2008-07,1534.200295312287
2008-08,1501.877351795119
2008-09,1314.7285515297203
2008-10,1054.6429154644954
2008-11,985.9771836676263
2008-12,1022.2205779376005
2009-01,934.9307005516887
2009-02,843.8369549386908
2009-03,913.883367637188
2009-04,1022.6623279768532
2009-05,1125.6292835361705
2009-06,1119.6625997358894
2009-07,1218.7396040991175
2009-08,1263.0095259904892
2009-09,1321.3002390526362
2009-10,1301.0988240687652
2009-11,1355.1609093425993
2009-12,1383.4718195404341
2010-01,1323.763539151484
2010-02,1341.1752394846426
2010-03,1428.3324034630352
2010-04,1431.393318138243
2010-05,1296.748003056599
2010-06,1257.151017137461
2010-07,1359.741018096671
2010-08,1312.4393606964034
2010-09,1438.4367835384849
2010-10,1490.7890614892813
2010-11,1458.120661765564
2010-12,1565.477558778526
2011-01,1590.7918618917806
2011-02,1637.9521276515395
2011-03,1636.8643695787996
2011-04,1704.598849144498
2011-05,1669.4977620848426
2011-06,1643.772563432802
2011-07,1617.6843774453343
2011-08,1500.0724769674587
2011-09,1359.3068538794928
2011-10,1505.0917091704453
2011-11,1460.9851032438628
2011-12,1458.5118472806164
2012-01,1543.673270922853
2012-02,1621.9773788418509
2012-03,1633.548563369246
2012-04,1615.933900194344
2012-05,1472.6342268426054
2012-06,1546.0740700832332
2012-07,1567.8153484961394
2012-08,1602.8308701075505
2012-09,1653.99307367249
2012-10,1643.432038118344
2012-11,1665.4160526031892
2012-12,1703.8696007188987
2013-01,1782.7360931815101
2013-02,1783.3047927969806
