Date,MSCI EM LATIN AMERICA ex BRAZIL
1998-12,1000.0
1999-01,965.874040219461
1999-02,1025.0045061025303
1999-03,1177.6189931463414
1999-04,1359.0912446506713
1999-05,1319.844900373131
1999-06,1385.4463963877645
1999-07,1291.4863076780052
1999-08,1257.096058579584
1999-09,1259.7083454923113
1999-10,1281.7407846956778
1999-11,1410.3083423262467
1999-12,1566.731767996932
2000-01,1499.1902067817032
2000-02,1641.9926231202912
2000-03,1631.8839562151575
2000-04,1479.2681353986875
2000-05,1379.715118734785
2000-06,1478.2099537099198
2000-07,1438.5328348204866
2000-08,1478.7647807636033
2000-09,1389.8128629759358
2000-10,1381.3412654253932
2000-11,1271.9868636249143
2000-12,1261.5100137069246
2001-01,1455.875493539422
2001-02,1340.056049644902
2001-03,1301.3243938335881
2001-04,1394.9809498950049
2001-05,1503.3975600537467
2001-06,1491.420578436977
2001-07,1419.2893382938805
2001-08,1407.3490903832724
2001-09,1188.437773833026
2001-10,1226.2270957643757
2001-11,1274.8138798062432
2001-12,1394.258521697908
2002-01,1447.5936840936417
2002-02,1408.6647752575348
2002-03,1516.5739937485998
2002-04,1491.2050336306972
2002-05,1375.0870907798962
2002-06,1242.3026477482692
2002-07,1167.3292915355698
2002-08,1189.9076867272777
2002-09,1065.7425957585178
2002-10,1136.1055248502976
2002-11,1192.9627279464764
2002-12,1170.2022916530052
2003-01,1125.568241528706
2003-02,1113.999288168185
2003-03,1129.626666789313
2003-04,1297.7815019859745
2003-05,1345.60280666438
2003-06,1401.2149586968114
2003-07,1463.1707947889747
2003-08,1461.4953039765696
2003-09,1526.2975941843179
2003-10,1605.8174766771474
2003-11,1634.4431569360524
2003-12,1721.8487995563066
2004-01,1812.0846672791154
2004-02,1914.0244164326396
2004-03,1965.3062687971483
2004-04,1829.7980897276473
2004-05,1832.5082383774993
2004-06,1871.431976619043
2004-07,1866.3574816259506
2004-08,1920.5932228408944
2004-09,2045.299149400709
2004-10,2137.0562708754555
2004-11,2282.0997990268534
2004-12,2433.044289583014
2005-01,2405.572304645915
2005-02,2616.616579394118
2005-03,2426.4341560055445
2005-04,2382.7270092591134
2005-05,2545.9807924634565
2005-06,2690.355851689265
2005-07,2942.094548080787
2005-08,2951.100271370939
2005-09,3307.3172843723546
2005-10,3160.601413768547
2005-11,3389.2972333013904
2005-12,3501.1965352507264
2006-01,3820.8588590086174
2006-02,3806.675843189897
2006-03,3831.3334629602123
2006-04,4062.234468229661
2006-05,3611.0262768066063
2006-06,3681.6262410479017
2006-07,3875.7097234399766
2006-08,3984.530632818123
2006-09,4138.336053306391
2006-10,4431.123510471751
2006-11,4673.359831835347
2006-12,4938.575928273694
2007-01,5063.558963228604
2007-02,4932.846053985055
2007-03,5231.360399078246
2007-04,5462.785797070945
2007-05,5971.331136725282
2007-06,6025.037585483633
2007-07,5907.7685893512335
2007-08,5783.84178753485
2007-09,5934.849519108874
2007-10,6311.7481169667335
2007-11,5865.031200129577
2007-12,5776.212199459677
2008-01,5642.5927334924145
2008-02,5811.459340397039
2008-03,6097.475393081075
2008-04,6113.792800116653
2008-05,6426.274858649558
2008-06,5971.646722226681
2008-07,5697.8423418535995
2008-08,5419.985269715006
2008-09,4739.7436321437435
2008-10,3280.5993134590562
2008-11,3226.6279343676483
2008-12,3402.767265705733
2009-01,3130.117355624803
2009-02,2832.665773909455
2009-03,3155.615023898188
