Date,GOLDEN DRAGON (A ONSHORE exB) SMID CAP
2009-12,1042.120181523994
2010-01,990.1620537149047
2010-02,1021.8589864503859
2010-03,1075.9088355861074
2010-04,1044.8530195148503
2010-05,950.9223956178733
2010-06,903.9736135546368
2010-07,1003.5430166536615
2010-08,1041.9186674258835
2010-09,1119.304529006875
2010-10,1185.9061178152774
2010-11,1193.2313086696797
2010-12,1202.664701251549
2011-01,1166.967806663827
2011-02,1196.1911994812128
2011-03,1202.7052718420712
2011-04,1208.5485140556455
2011-05,1155.1897717751783
2011-06,1153.957939917299
2011-07,1163.3271772513144
2011-08,1079.641592307269
2011-09,915.5533713834401
2011-10,982.2578819545703
2011-11,911.3131580958946
2011-12,836.9163547960864
2012-01,874.7240276346166
2012-02,981.7876794622059
2012-03,916.2500766552955
2012-04,944.1677206827459
2012-05,922.2648833543758
2012-06,882.7650762376844
2012-07,838.0964654668808
2012-08,847.0063813292436
2012-09,886.7263146906505
2012-10,881.514854663282
2012-11,852.2630889725536
2012-12,939.1099749368755
2013-01,991.7008631420713
2013-02,1010.1815945194861
2013-03,982.5140320447074
2013-04,983.2409671452233
2013-05,1068.9427175672538
2013-06,940.517883422932
2013-07,982.6930336124199
2013-08,1031.0052222408467
2013-09,1076.136530047118
2013-10,1074.2056567256845
2013-11,1118.2074944846877
2013-12,1106.0289241901796
2014-01,1092.5579874716905
2014-02,1118.322448885936
2014-03,1085.5350372751768
2014-04,1062.5356834208699
2014-05,1088.3991733726996
2014-06,1123.6293495968275
2014-07,1187.718792177161
2014-08,1227.460502505092
2014-09,1290.1078947061044
2014-10,1308.567290710535
2014-11,1350.0676066065516
2014-12,1332.2935779121362
2015-01,1381.5224490600829
2015-02,1446.7190372382904
2015-03,1667.2293032713437
2015-04,1920.0876137536247
2015-05,2198.199141694045
2015-06,1982.6092866932693
2015-07,1686.0432926629987
2015-08,1448.6388973618705
2015-09,1390.2602106049467
2015-10,1600.6273871979804
2015-11,1650.050508626665
2015-12,1700.2970383136924
2016-01,1286.2151708130598
2016-02,1283.4669178065703
2016-03,1464.815573600235
2016-04,1443.8573922845396
2016-05,1401.257321970729
2016-06,1442.2167022361818
2016-07,1462.428064682608
2016-08,1524.2835180049583
2016-09,1522.9931674166558
2016-10,1532.399336589918
2017-04,1484.779484
2017-05,1435.527592
2017-06,1489.3884
2017-07,1536.807525
2017-08,1599.627078
2017-09,1626.993689
2017-10,1627.908976
2017-11,1557.383409
2017-12,1571.878349
2018-01,1611.057989
2018-02,1537.738464
2018-03,1545.985235
2018-04,1481.836677844932
2018-05,1484.4637747708496
2018-06,1321.8943382533696
2018-07,1289.4815865022763
2018-08,1199.7318131571294
2018-09,1176.5544143376962
2018-10,1032.9275908243521
2018-11,1096.1268819513298
2018-12,1057.4033725367449
2019-01,1105.893742393601
2019-02,1262.869574687255
2019-03,1355.9088210652837
2019-04,1326.642143756994
2019-05,1221.1908586145944
2019-06,1253.6947309157795
2019-07,1238.8790059967337
2019-08,1186.2830992020895
2019-09,1199.934097585418
2019-10,1229.4474824871552
2019-11,1216.5592891513743
2019-12,1312.8911978154658
2020-01,1315.1999105936443
2020-02,1325.0851390153325
2020-03,1197.8023932799695
2020-04,1284.9233516886918
2020-05,1287.9500479611584
2020-06,1416.492821764426
2020-07,1593.3409580112252
2020-08,1654.9644903713968
2020-09,1559.8279861709993
2020-10,1567.5709758339117
2020-11,1652.8321624387136
2020-12,1687.0439198116728
