Date,MSCI ACWI ex EMU
1993-12,70.9232305437623
1994-01,75.94595308412612
1994-02,74.9089049357965
1994-03,71.04698884674721
1994-04,72.67786465347902
1994-05,73.64846757277923
1994-06,73.47182305801775
1994-07,74.64874344033827
1994-08,77.48675167745557
1994-09,75.90068871612348
1994-10,77.72276870456895
1994-11,74.2956177199864
1994-12,74.51094083009417
1995-01,72.83013672147942
1995-02,73.40864093159409
1995-03,76.9317686102254
1995-04,79.65570955395374
1995-05,80.50290111132304
1995-06,80.42113710829982
1995-07,84.19769567972689
1995-08,82.73383664693921
1995-09,85.2277395874206
1995-10,83.76883653015335
1995-11,86.72883809517992
1995-12,89.22583378163186
1996-01,91.08514398353961
1996-02,91.34533410130622
1996-03,92.86908192157449
1996-04,95.29467525264366
1996-05,95.23489670770834
1996-06,95.6462874086427
1996-07,91.83664528032038
1996-08,93.01951854430533
1996-09,96.54540434333768
1996-10,96.83425487729404
1996-11,101.98449306392516
1996-12,100.0
1997-01,101.70394501216433
1997-02,103.22665096466208
1997-03,100.14807509883488
1997-04,104.21724207217882
1997-05,110.93824855496884
1997-06,116.35803610556307
1997-07,121.4468156777964
1997-08,113.04859399351069
1997-09,118.23770326964605
1997-10,111.24079556412626
1997-11,112.85118396486102
1997-12,113.87100502777807
1998-01,115.96153779474952
1998-02,123.6192658958329
1998-03,127.73401180358475
1998-04,128.30639912965424
1998-05,124.07246367957512
1998-06,126.42039628860873
1998-07,125.53192992929071
1998-08,108.04986360478222
1998-09,111.6133281008864
1998-10,122.09700094683504
1998-11,129.5161580793142
1998-12,135.23057141106665
1999-01,138.7916904045688
1999-02,135.98107072138413
1999-03,143.30726121527505
1999-04,149.9471259807197
1999-05,144.9183616362673
1999-06,152.7670544549381
1999-07,152.1069050649841
1999-08,151.24133267003168
1999-09,149.43191071060178
1999-10,157.25425314325926
1999-11,161.9743797311311
1999-12,173.73635544332612
2000-01,164.61373586557022
2000-02,162.14417845077347
2000-03,175.26233709180923
2000-04,167.53711133275826
2000-05,162.34792214294444
2000-06,168.0137162283695
2000-07,163.08373148378695
2000-08,169.98614588448584
2000-09,160.48131534107517
2000-10,157.12267884701413
2000-11,146.60991683524105
2000-12,147.5372498576583
2001-01,151.8788455072357
2001-02,139.56002490785104
2001-03,130.39681040068768
2001-04,139.66172201708264
2001-05,139.56910509384673
2001-06,135.48839754132848
2001-07,132.83842232050642
2001-08,126.51241441857383
2001-09,115.80420271569072
2001-10,117.77327784992559
2001-11,125.27876616134989
2001-12,126.05732457875236
2002-01,123.21601383413346
2002-02,122.26806606914141
2002-03,127.5076283121638
2002-04,123.11313679665902
2002-05,123.33863508254977
2002-06,115.1910128135342
2002-07,106.59174055165153
2002-08,106.7642476890009
2002-09,95.99860471307221
2002-10,102.33127774658354
2002-11,107.76497620699088
2002-12,102.62107745866497
2003-01,99.67691625691326
2003-02,98.2814547476887
2003-03,98.28488517412555
2003-04,106.0329589462345
2003-05,111.99071740240555
2003-06,114.21294972502325
2003-07,116.6922710989129
2003-08,119.8685926531143
2003-09,120.69881934747114
2003-10,127.77748259774961
2003-11,129.03879093217273
2003-12,136.7101378984122
2004-01,139.04445021515417
2004-02,141.59559977967854
2004-03,141.60944103221874
2004-04,138.1273314608588
2004-05,139.12952789383982
2004-06,141.84310351512133
2004-07,137.48573467682806
2004-08,138.56159583306652
2004-09,140.9855439264857
2004-10,143.87128787681917
2004-11,151.30350900122366
2004-12,156.88427777643705
2005-01,153.60520826378
2005-02,158.68352741286535
2005-03,155.31699176448063
2005-04,152.43129350483073
2005-05,155.5415995842294
2005-06,157.01246365864043
2005-07,162.59485028924664
2005-08,164.01941088593895
2005-09,169.09325144637776
2005-10,164.89536031722915
2005-11,171.32427169959692
2005-12,175.18955158107838
2006-01,183.25062691565674
2006-02,182.74627492062993
2006-03,185.99343869859817
2006-04,191.98368406198705
2006-05,184.18068415719617
2006-06,184.12321229599686
2006-07,185.37228675127915
2006-08,189.89807906541793
2006-09,192.02425768856807
2006-10,199.22477695036295
2006-11,204.4948878319648
2006-12,208.6728108884319
2007-01,210.91906824161222
2007-02,209.6856066165096
2007-03,213.32540404990866
2007-04,221.74517158209852
2007-05,228.6420003153711
2007-06,228.07891949610647
2007-07,224.98738380775632
2007-08,224.7800290037931
2007-09,236.73916257904693
2007-10,245.6077829583923
2007-11,233.74795109750255
2007-12,231.11704302836836
2008-01,213.81138976959917
2008-02,214.11889712813442
2008-03,209.87833854256132
2008-04,222.24215823724202
2008-05,226.18630324921247
2008-06,208.6174269244452
2008-07,203.22562007463225
2008-08,199.77968731447413
2008-09,175.89812230681602
2008-10,142.28411194829857
2008-11,133.01483551475022
2008-12,136.63926397866902
2009-01,126.25730238684162
2009-02,114.35222241470399
2009-03,123.7602433242334
2009-04,137.72267780943346
2009-05,151.15382246971103
2009-06,150.85965100948988
2009-07,163.75246649450298
2009-08,168.84375410099005
2009-09,176.18493540989033
2009-10,174.07189437758322
2009-11,181.5144414868182
2009-12,185.64085648386688
2010-01,178.63832117279713
2010-02,182.31429117359497
2010-03,194.00576915168193
2010-04,195.63551043794735
2010-05,178.16482384568627
2010-06,172.32308788038955
2010-07,185.28662621358714
2010-08,179.56684960592176
2010-09,195.96622341944854
2010-10,202.55365690088067
2010-11,200.63100139362584
2010-12,215.07626453225748
2011-01,217.02991426895483
2011-02,223.50976347627528
2011-03,223.34172677072158
2011-04,231.26816971554211
2011-05,227.46462085089112
2011-06,223.48723628468704
2011-07,221.43581695567573
2011-08,206.9597819711732
2011-09,188.20129974789492
