Date,MSCI GOLDEN DRAGON (A ONSHORE) LARGE CAP
2009-12,1022.1985622982945
2010-01,931.6323665322467
2010-02,944.4736138989267
2010-03,984.15627078509
2010-04,954.1323278643133
2010-05,882.4015487165448
2010-06,867.873041900624
2010-07,937.0266728710559
2010-08,928.4344761520857
2010-09,1001.1318431751263
2010-10,1076.5497218493967
2010-11,1046.3985063080265
2010-12,1074.4257262892609
2011-01,1076.7620772102512
2011-02,1068.1568274027597
2011-03,1090.551864238287
2011-04,1114.1811958617666
2011-05,1095.9452981749325
2011-06,1076.8685441025973
2011-07,1071.9214909043135
2011-08,1002.5688355658193
2011-09,879.7448862557573
2011-10,960.9802251342046
2011-11,886.9630579224738
2011-12,887.9808538266627
2012-01,961.2232314617129
2012-02,1025.2693448713094
2012-03,970.0126518811664
2012-04,997.3541360049599
2012-05,936.4915898529372
2012-06,934.0407719331286
2012-07,931.984428778907
2012-08,909.9326469274384
2012-09,967.7655957168446
2012-10,974.6856449456648
2012-11,983.6102828099457
2012-12,1054.7263924438382
2013-01,1100.6782064833985
2013-02,1080.3964998701001
2013-03,1035.8297094409015
2013-04,1048.3584154326784
2013-05,1061.2063545246915
2013-06,976.6549495147226
2013-07,999.977985805582
2013-08,1022.816398296048
2013-09,1070.918411848062
2013-10,1089.6866451630538
2013-11,1114.8026301496193
2013-12,1088.9554304120559
2014-01,1026.4896591862785
2014-02,1037.302872980461
2014-03,1027.5643837776279
2014-04,1028.306221859742
2014-05,1063.6144991354847
2014-06,1093.5335007972797
2014-07,1173.4382487142893
2014-08,1177.637690379951
2014-09,1130.0578073592915
2014-10,1177.84270413866
2014-11,1232.3775253068861
2014-12,1342.8107333622568
2015-01,1339.7792272325514
2015-02,1376.8007697331855
2015-03,1458.8829332195735
2015-04,1667.5734698060671
2015-05,1641.938158744957
2015-06,1562.749811770246
2015-07,1392.5271045966929
2015-08,1223.1851075999655
2015-09,1183.6246746880497
2015-10,1288.5223664576388
2015-11,1259.2799650231225
2015-12,1270.786200186891
2016-01,1070.792839665046
2016-02,1060.252933784303
2016-03,1183.1526559468098
2016-04,1161.974823818068
2016-05,1155.5756673905628
2016-06,1166.3153284558844
2016-07,1211.8491739696287
2016-08,1265.0827001814955
2016-09,1279.6133612903707
2016-10,1276.379890407635
2017-04,1355.62893
2017-05,1407.454234
2017-06,1465.517579
2017-07,1546.962447
2017-08,1600.851011
2017-09,1591.935554
2017-10,1662.23645
2017-11,1663.850692
2017-12,1690.917489
2018-01,1864.481941
2018-02,1749.121392
2018-03,1703.761967
2018-04,1665.4679107821617
2018-05,1666.3190614750051
2018-06,1565.6880161522772
2018-07,1558.155383182348
2018-08,1507.4203395579714
2018-09,1515.5477280670873
2018-10,1352.9322379746106
2018-11,1406.48212872234
2018-12,1352.1932680603436
2019-01,1472.421982691118
2019-02,1577.680012461986
2019-03,1624.8556591193255
2019-04,1661.324616266279
2019-05,1489.4896354719515
2019-06,1597.193449580298
2019-07,1601.6530706571507
2019-08,1531.7493284957998
2019-09,1541.8529103533244
2019-10,1610.5598841775604
2019-11,1617.4399855070483
2019-12,1743.5362899492509
2020-01,1679.4348311776312
2020-02,1665.8456734684557
2020-03,1527.5275110798673
2020-04,1641.0204874668843
2020-05,1605.0172431946391
2020-06,1755.5773106321274
2020-07,1960.571643054822
2020-08,2047.0799376993612
2020-09,1990.5360779291027
2020-10,2077.472250773663
2020-11,2199.910988709364
2020-12,2321.0275715569246
