Date,WORLD VOTING RIGHTS-ADJUSTED
2007-11,597.6379996836519
2007-12,590.3636215587227
2008-01,545.3638926858214
2008-02,542.5210770893118
2008-03,537.4384317044957
2008-04,566.1619182070212
2008-05,575.4136971123879
2008-06,529.7618017951006
2008-07,516.7182106682684
2008-08,510.24243960287214
2008-09,449.22566527111564
2008-10,363.25808882013655
2008-11,340.77045982055984
2008-12,351.79990826830306
2009-01,320.9591932909733
2009-02,288.36741715610674
2009-03,309.97978922640453
2009-04,345.1971872315644
2009-05,377.111738177635
2009-06,375.53126817280105
2009-07,407.34043091561915
2009-08,424.7205935137351
2009-09,441.5473511694324
2009-10,433.7035556719652
2009-11,451.6699221621768
2009-12,459.68785943677335
2010-01,440.72703000519545
2010-02,446.9166556379769
2010-03,474.68359589992644
2010-04,474.8307621195837
2010-05,429.66846063587707
2010-06,415.14487280224347
2010-07,448.9523901226643
2010-08,432.3904617006593
2010-09,472.6941616105907
2010-10,490.0702106435119
2010-11,479.50315211830326
2010-12,515.0672190806773
2011-01,527.0902428473447
2011-02,545.7770019022742
2011-03,540.6538940473481
2011-04,563.8189452581264
2011-05,552.3336164411035
2011-06,543.6616718083017
2011-07,533.5375757945492
2011-08,496.19974669744465
2011-09,453.7423349842289
2011-10,500.4751906281678
2011-11,488.43202025628415
2011-12,488.09405549444216
2012-01,513.0496111312319
2012-02,538.2780055058062
2012-03,545.3895158463832
2012-04,539.2515145829808
2012-05,493.1052707515989
2012-06,518.7070387988518
2012-07,525.2564912424197
2012-08,538.6985941135321
2012-09,553.7176640134281
2012-10,550.0299874320451
2012-11,557.0955196145466
2012-12,567.7363862971658
2013-01,596.4812552606838
2013-02,597.4664890463208
2013-03,611.9237408943817
2013-04,631.4243118155156
2013-05,632.1644278233068
2013-06,616.4595884894878
2013-07,649.110301149766
2013-08,635.3576738663887
2013-09,666.9865601484992
2013-10,693.0879758526656
2013-11,705.7334340855082
2013-12,720.6499785188403
2014-01,693.4131246419864
2014-02,728.1053107420393
2014-03,730.4491407168997
2014-04,739.0484291622232
2014-05,754.0115456164751
2014-06,767.6810620844946
2014-07,755.7211298954509
2014-08,772.7226911572079
2014-09,751.478080881913
2014-10,756.6808804233212
2014-11,771.790455761421
2014-12,759.9002902147083
2015-01,746.2746503854655
2015-02,790.5281957501226
2015-03,778.0798459844585
2015-04,797.4549921264694
2015-05,800.9775010213182
2015-06,782.3975888743997
2015-07,795.4974588559887
2015-08,742.9407347098573
2015-09,715.138528104399
2015-10,771.8768608653667
2015-11,767.9863603997428
2015-12,754.5266460154511
2016-01,708.6403877277445
2016-02,704.1388339185173
2016-03,752.7651386037496
2016-04,765.8819393948785
2016-05,770.8110370875066
2016-06,762.5741569031551
2016-07,794.6850158125412
2016-08,796.3656263395867
2016-09,801.2284730801324
2016-10,786.1581183244832
2016-11,799.321915388877
2016-12,819.2647716175173
2017-01,838.2487693579651
2017-02,862.2835428685589
2017-03,871.9124599831044
2017-04,884.3862543907821
2017-05,903.9788128995198
2017-06,908.3329060900993
2017-07,930.2004609424282
2017-08,931.7935120535078
2017-09,953.6426736553735
2017-10,972.105460048517
2017-11,993.5114090514854
2017-12,1007.1414639506289
2018-01,1060.4785019698197
2018-02,1017.6304223465942
2018-03,996.6502645495918
2018-04,1009.0482110315797
2018-05,1015.1183843107586
2018-06,1014.1008805150053
2018-07,1046.5694465177194
2018-08,1059.4663428933031
2018-09,1066.7704411134814
2018-10,988.2251738184754
2018-11,1000.0
2018-12,923.8427145310524
2019-01,995.0463637019113
2019-02,1025.7509753109277
2019-03,1039.65326322083
2019-04,1076.7803102320484
2019-05,1015.6092341505166
2019-06,1083.695305835559
2019-07,1087.99225322941
2019-08,1065.970257989318
2019-09,1089.9534150719714
2019-10,1118.266710499614
2019-11,1149.686480370352
2019-12,1184.980295826863
2020-01,1176.9832368870486
2020-02,1077.1356037746227
2020-03,935.0078376580157
2020-04,1036.379320813153
2020-05,1085.8576917972985
2020-06,1115.7957295143863
2020-07,1168.4881776253021
2020-08,1245.7183042984743
2020-09,1202.5520248892908
2020-10,1164.0444696099548
2020-11,1314.182157820528
2020-12,1372.095908872623
2021-01,1358.1707647243738
2021-02,1390.932023601069
2021-03,1439.495250904967
2021-04,1504.2353413514527
2021-05,1526.27487613809
2021-06,1546.3040592770512
2021-07,1572.7402793741965
2021-08,1611.5089563578267
2021-09,1549.3672365101631
2021-10,1636.7387960684368
2021-11,1602.8887446283177
2021-12,1674.7970967014483
2022-01,1589.760431448887
2022-02,1553.5604211732007
2022-03,1597.9788831255335
2022-04,1470.168624963137
2022-05,1475.1479132067025
2022-06,1347.7999332038403
2022-07,1456.4819833844763
2022-08,1396.5872081045222
2022-09,1269.1155699993076
2022-10,1365.07143696679
2022-11,1459.4412346455201
2022-12,1398.9805330451113
2023-01,1495.4857089757904
2023-02,1460.2953684512295
2023-03,1503.0344436035641
2023-04,1529.3761914990423
2023-05,1512.8638901775123
2023-06,1606.8063147051855
