Date,EM (EMERGING MARKETS) ex CHINA
1998-12,1000.0
1999-01,988.3480334272431
1999-02,997.6581406857039
1999-03,1129.2114037857975
1999-04,1268.3045438998654
1999-05,1261.5239779156836
1999-06,1402.2256478528886
1999-07,1364.4403723246692
1999-08,1377.5744335849079
1999-09,1330.516168052511
1999-10,1359.669758794444
1999-11,1482.6357522344588
1999-12,1673.7400351486945
2000-01,1685.5096484739413
2000-02,1709.3088015695364
2000-03,1718.234719873953
2000-04,1554.7863506886492
2000-05,1489.4426721111
2000-06,1530.2617364170299
2000-07,1447.812248514503
2000-08,1459.7883649866926
2000-09,1334.660832385803
2000-10,1235.5982079539915
2000-11,1131.7831309136905
2000-12,1160.4154960222995
2001-01,1319.5858649812028
2001-02,1217.4407523444916
2001-03,1103.259997557581
2001-04,1154.0338552843573
2001-05,1166.5835157171682
2001-06,1138.1358311140677
2001-07,1072.5509944913808
2001-08,1077.8866473630135
2001-09,903.7877718271448
2001-10,962.0047135063178
2001-11,1062.851491316527
2001-12,1152.962163334765
2002-01,1201.7081785851
2002-02,1222.0279271568243
2002-03,1295.794516595258
2002-04,1301.3451842276972
2002-05,1278.3550985442487
2002-06,1178.8627505970992
2002-07,1086.4688815996228
2002-08,1106.0235922173129
2002-09,984.4460385285896
2002-10,1052.6874543033202
2002-11,1127.1827550116031
2002-12,1090.1766029893704
2003-01,1081.3502183016335
2003-02,1052.0101637714408
2003-03,1023.0052850398771
2003-04,1120.881045075729
2003-05,1197.0863830196631
2003-06,1264.6984449956663
2003-07,1340.5680840992577
2003-08,1430.592082559337
2003-09,1442.1455752691452
2003-10,1557.7481600070341
2003-11,1576.0637715228797
2003-12,1679.9619997442494
2004-01,1746.3342669728797
2004-02,1824.4041769204655
2004-03,1863.0557471250447
2004-04,1718.4622884525195
2004-05,1672.4203743927728
2004-06,1681.7328548791806
2004-07,1649.7880858046412
2004-08,1724.9723749340994
2004-09,1821.9630792191888
2004-10,1873.9998662464025
2004-11,2046.2213000578292
2004-12,2156.8672414081257
2005-01,2168.203621840491
2005-02,2361.0254885353775
2005-03,2202.7331448710097
2005-04,2138.325729075506
2005-05,2218.300368863269
2005-06,2293.559110396234
2005-07,2455.4058529395916
2005-08,2478.254379485834
2005-09,2716.572267930843
2005-10,2546.521686411323
2005-11,2759.991913910792
2005-12,2929.8660208092815
2006-01,3252.0168144466984
2006-02,3239.8810420039367
2006-03,3262.2306589312734
2006-04,3500.711646115789
2006-05,3117.7586196729685
2006-06,3103.9824816639652
2006-07,3145.8182196715316
2006-08,3228.9259300084905
2006-09,3246.589016535396
2006-10,3393.625413580058
2006-11,3633.160824791604
2006-12,3753.03226466845
2007-01,3730.585782688064
2007-02,3714.7444847330985
2007-03,3864.5811364995084
2007-04,4053.392008533557
2007-05,4237.681073931903
2007-06,4399.349122577877
2007-07,4601.689201351301
2007-08,4439.726803087247
2007-09,4860.5207747358345
2007-10,5351.248930051309
2007-11,5043.127830174417
2007-12,5109.578569660317
2008-01,4561.430821224856
2008-02,4874.320207490997
2008-03,4675.675198204435
2008-04,4999.361525251006
2008-05,5153.180224062018
2008-06,4659.057866263511
2008-07,4441.234714672645
2008-08,4089.7055394365375
2008-09,3395.3589822275962
2008-10,2440.2881223624345
2008-11,2202.7093735912376
2008-12,2362.645628449661
2009-01,2220.7837206574
2009-02,2084.0213398051133
2009-03,2385.027944199466
2009-04,2813.0987661625677
2009-05,3294.066590531183
2009-06,3209.7139304239367
2009-07,3576.676384635525
2009-08,3622.6176466600164
2009-09,3987.703461694464
2009-10,3939.5591196785463
2009-11,4125.578483280407
2009-12,4321.646225612935
2010-01,4110.510218550146
2010-02,4109.975303873556
2010-03,4466.090200110011
2010-04,4536.096652028382
2010-05,4107.152401306536
2010-06,4058.831343693646
2010-07,4438.3475615547195
2010-08,4362.22535715205
2010-09,4867.567901366629
2010-10,4998.894957964424
2010-11,4864.326033864611
2010-12,5299.552356228105
2011-01,5132.748030559486
2011-02,5095.397127060613
2011-03,5402.0106600275685
2011-04,5587.811280431403
2011-05,5409.280331881276
2011-06,5353.719755049952
2011-07,5338.591182032347
2011-08,4868.155767310372
2011-09,4182.1170498282245
2011-10,4720.354401808768
2011-11,4423.044785496784
2011-12,4336.475016580393
2012-01,4834.23473183106
2012-02,5119.383259578412
2012-03,4988.656231151412
2012-04,4881.331720471541
2012-05,4329.200263171536
2012-06,4514.719382849442
2012-07,4611.798377303849
2012-08,4626.886457280504
2012-09,4901.912646165976
2012-10,4807.753647571988
2012-11,4862.679804353495
2012-12,5101.983537444993
2013-01,5141.823790066723
2013-02,5110.118375102735
2013-03,5056.661041761806
2013-04,5092.893938278834
2013-05,4945.704205251576
2013-06,4638.579716626704
2013-07,4658.86693339761
2013-08,4536.36781352286
2013-09,4846.410661492452
2013-10,5110.098403519944
2013-11,4960.352296245249
2013-12,4914.026057075654
2014-01,4598.76520300167
2014-02,4760.13471505583
2014-03,4963.655375725977
2014-04,5012.914547523983
2014-05,5175.370856087298
2014-06,5308.3692561974585
2014-07,5342.1353015720015
2014-08,5491.3766823384785
2014-09,5071.944071745247
2014-10,5094.633584632202
2014-11,5008.005215464021
2014-12,4705.95409069981
2015-01,4712.8505727063375
2015-02,4857.5536580080025
2015-03,4736.528780823442
2015-04,4974.457821336447
2015-05,4771.101864088542
2015-06,4699.509908888439
