Date,MSCI EFM AFRICA ex ZA
2002-05,119.60070387958959
2002-06,122.57741451137257
2002-07,119.57519875138793
2002-08,123.8897769360008
2002-09,119.01108707389483
2002-10,116.76479883467658
2002-11,122.24693723931051
2002-12,127.63447297661163
2003-01,142.02734004842395
2003-02,142.63560476975576
2003-03,138.32968129248758
2003-04,151.73458922535048
2003-05,160.39409311712177
2003-06,166.7088883752307
2003-07,161.6452328059771
2003-08,168.73023483074064
2003-09,185.35451476551103
2003-10,202.24257061613972
2003-11,209.4195800747739
2003-12,219.33303744434494
2004-01,245.2160130798851
2004-02,260.1572280232335
2004-03,246.26366624326167
2004-04,271.48927549955573
2004-05,283.12739272843174
2004-06,291.5138796743492
2004-07,287.19730087280317
2004-08,275.9855288647885
2004-09,289.8301364074002
2004-10,299.90234580304303
2004-11,301.23783989254656
2004-12,317.2483156105469
2005-01,355.69455113746056
2005-02,367.3227977002733
2005-03,358.75779446815864
2005-04,389.00454130487867
2005-05,404.9156886108684
2005-06,431.5758811472529
2005-07,440.1325334343383
2005-08,449.022544650585
2005-09,485.42735749031084
2005-10,491.59413221367845
2005-11,483.59717693340247
2005-12,513.8390557782521
2006-01,599.8162519954201
2006-02,571.770026072251
2006-03,557.2757728096668
2006-04,562.9022949514671
2006-05,512.7679283299544
2006-06,491.29385905476073
2006-07,548.6002646449513
2006-08,626.186121056124
2006-09,633.3553856643302
2006-10,641.7155772516031
2006-11,631.2705509538964
2006-12,670.9730196856688
2007-01,696.2184612631414
2007-02,734.6795899549978
2007-03,747.8938692949046
2007-04,789.4339344470927
2007-05,820.6367373655937
2007-06,840.1992691160918
2007-07,872.7221475250343
2007-08,834.5762915593209
2007-09,908.8396639655732
2007-10,951.6691869488674
2007-11,999.9999999999992
2007-12,1067.8662094129756
2008-01,1069.6748945975833
2008-02,1165.1972093029137
2008-03,1172.7013985102374
2008-04,1177.682930916012
2008-05,1141.0606947458448
2008-06,1085.3660126146585
2008-07,1038.1764004630022
2008-08,954.9466300647324
2008-09,837.797840442931
2008-10,618.2296411378449
2008-11,565.1736832771323
2008-12,569.4625945803692
2009-01,438.5559715587991
2009-02,456.510384453487
2009-03,463.55943486374713
2009-04,529.5755299297495
2009-05,626.7717125908957
2009-06,624.1024562274489
2009-07,619.4218543113884
2009-08,632.3937625343037
2009-09,642.6832822646719
2009-10,651.8456313597513
2009-11,592.913272143581
2009-12,611.1949312320286
2010-01,653.598970272967
2010-02,659.3331580349453
2010-03,697.6827095340866
2010-04,735.1052117861673
2010-05,670.2845347400716
2010-06,643.0705234418747
2010-07,674.4120230961407
2010-08,657.6814259560178
2010-09,676.7804844985917
2010-10,696.5469548916705
2010-11,686.8541079503426
2010-12,720.7235667221647
2011-01,662.4226624733501
2011-02,656.5326339724813
2011-03,636.7426509670873
2011-04,631.7307758387544
2011-05,662.0780472844643
2011-06,640.418709028444
2011-07,609.4215803850427
2011-08,569.0625947487204
2011-09,521.6795348111352
2011-10,554.2535306060674
2011-11,514.3190331038935
2011-12,501.9089349162978
2012-01,555.8454221248826
2012-02,596.6085146440333
2012-03,591.8109620026488
2012-04,603.6909080699048
2012-05,583.883815668398
2012-06,578.915948967928
2012-07,612.7792021862303
2012-08,654.2615341738955
2012-09,698.5832531793274
2012-10,699.3007813671095
2012-11,664.1169252281503
2012-12,710.1754665694275
2013-01,746.5844684650971
2013-02,751.7267648038513
2013-03,751.1878350713279
2013-04,756.8504076531034
2013-05,811.4695243287969
2013-06,724.992626423384
2013-07,769.5761667119269
2013-08,730.4810361292261
2013-09,772.4589104372307
2013-10,820.2135284644442
2013-11,827.1670190075579
2013-12,842.7612142932506
2014-01,817.9627059926792
2014-02,810.9133074854807
2014-03,811.9432939910466
2014-04,856.7133553011578
2014-05,888.2593226224524
2014-06,884.4800949275408
2014-07,911.9397640359363
2014-08,923.506341477007
2014-09,938.9015518272616
2014-10,865.285401346191
2014-11,825.0864198963308
2014-12,797.0360988331204
2015-01,752.0034919309767
2015-02,743.8057818342833
2015-03,767.2373904547054
2015-04,786.9625179933641
2015-05,768.3992595242108
2015-06,753.4596973157562
2015-07,698.1849881209878
2015-08,663.7677790246072
2015-09,693.1545901417743
2015-10,665.7568489032017
2015-11,622.6570557768255
2015-12,643.9658588311075
2016-01,575.5355012870218
2016-02,591.7267027975103
2016-03,620.6247597952586
2016-04,658.4884932987732
2016-05,676.2702883753857
2016-06,599.9371318366195
2016-07,614.4663268713583
2016-08,610.1053610438055
2016-09,627.4065740867358
2016-10,639.6086583280681
2016-11,572.4056157632997
2016-12,596.112707901012
2017-01,597.946799264944
2017-02,593.7382571573069
2017-03,593.6171768357376
2017-04,606.105228
2017-05,663.862536
2017-06,695.891603
2017-07,730.198682
2017-08,726.105915
2017-09,713.391522
2017-10,711.796014
2017-11,728.363499
2017-12,732.083041
2018-01,776.597276
2018-02,768.062922
2018-03,785.105027
2018-04,787.872526458738
2018-05,732.0728611131707
2018-06,735.7001741811097
2018-07,725.0769827850371
2018-08,708.1088203401906
2018-09,675.1731032515736
2018-10,647.7634185479103
2018-11,649.1612753510143
2018-12,639.9714027846811
2019-01,660.1122772201836
2019-02,678.8612426304347
2019-03,675.1097604552807
2019-04,692.4037800370498
2019-05,673.6932064921076
2019-06,689.8317269929806
2019-07,676.1376233642189
2019-08,690.1169699732512
2019-09,690.8060803516962
2019-10,705.6377160875609
2019-11,715.0835237435668
2019-12,750.398035012985
2020-01,764.824411488409
2020-02,719.5326277699911
2020-03,543.1576523114812
2020-04,573.773371855804
2020-05,596.2263320737554
2020-06,601.315669853751
2020-07,601.2050895884977
2020-08,638.1818478573591
2020-09,637.5623032244953
2020-10,653.9494177000809
2020-11,695.0573902407743
2020-12,718.1595259569505
2021-01,737.1864512373274
2021-02,728.5518948007704
2021-03,707.1406623133479
2021-04,739.5181762547564
2021-05,749.937609861881
2021-06,754.9022860658982
2021-07,774.0978895365103
2021-08,791.0150280129031
2021-09,791.1889470473566
2021-10,822.5080534799619
2021-11,781.937150955864
2021-12,799.3173471138232
2022-01,790.6012547629215
2022-02,759.9313086211013
2022-03,723.343981381032
2022-04,723.252170666322
2022-05,676.5459713293071
2022-06,641.5141670138113
2022-07,641.2067608222452
2022-08,638.266951399195
2022-09,601.5082751995739
2022-10,585.2136205119497
2022-11,617.8803433184748
2022-12,625.7475224502604
2023-01,619.8141316581629
2023-02,639.6252273555008
2023-03,606.6078011454588
2023-04,609.0983600770782
2023-05,632.6513684927788
2023-06,614.2450711742989
