Date,ACWI ex SOUTH AFRICA
1998-12,1000.0
1999-01,1019.7431034705514
1999-02,993.7324279371461
1999-03,1039.229350848794
1999-04,1083.7080400700602
1999-05,1046.735326459637
1999-06,1098.8592282069662
1999-07,1094.0482712218416
1999-08,1093.0464578781878
1999-09,1081.1283540519337
1999-10,1135.2289412867617
1999-11,1170.2038338949328
1999-12,1267.0060744880666
2000-01,1197.8057206133428
2000-02,1201.9132355297295
2000-03,1282.2736675854546
2000-04,1225.1583858852005
2000-05,1194.4656952572461
2000-06,1234.7345444257023
2000-07,1197.9309518705877
2000-08,1235.21101663485
2000-09,1167.2189118370418
2000-10,1144.2465356887924
2000-11,1073.3166977189271
2000-12,1090.3337107968828
2001-01,1117.7849191414005
2001-02,1023.3459996804744
2001-03,954.8848429469631
2001-04,1024.2268393258205
2001-05,1012.4476678260745
2001-06,981.1872601422468
2001-07,966.5996250041004
2001-08,921.7141472308504
2001-09,837.8624303160444
2001-10,855.6547917432556
2001-11,908.4278940721498
2001-12,917.1348059633759
2002-01,891.7209947867725
2002-02,884.9072375430962
2002-03,924.9791253447789
2002-04,895.1353426399858
2002-05,895.9213615827044
2002-06,841.4448255980593
2002-07,771.1945544596447
2002-08,773.0711467704493
2002-09,687.9007782794334
2002-10,738.6503710808287
2002-11,778.9050859073193
2002-12,741.3588053548848
2003-01,719.7254625426879
2003-02,707.023070010432
2003-03,704.5314031817237
2003-04,767.5626767939413
2003-05,812.3397355621452
2003-06,827.8482793405609
2003-07,846.0161269327392
2003-08,865.8995081488368
2003-09,871.4219826291117
2003-10,924.063685616148
2003-11,937.8567736178424
2003-12,997.6677594179409
2004-01,1014.9137841218055
2004-02,1033.3926390610677
2004-03,1027.5719049092284
2004-04,1004.7299996469425
2004-05,1012.8168962300699
2004-06,1033.3396789366072
2004-07,1000.3109339273836
2004-08,1006.6002473468657
2004-09,1027.368994057891
2004-10,1052.5814048461243
2004-11,1109.7268760536115
2004-12,1152.9445752829542
2005-01,1128.9931141607524
2005-02,1168.2865095611808
2005-03,1143.5699388725295
2005-04,1119.0605371149893
2005-05,1141.1897168224868
2005-06,1152.9434419817578
2005-07,1195.5469818314766
2005-08,1204.864032315604
2005-09,1240.816817830035
2005-10,1208.204312763402
2005-11,1252.4695651655636
2005-12,1282.8422187954516
2006-01,1345.2404766715038
2006-02,1344.3667951764596
2006-03,1372.6907876384141
2006-04,1419.0287885611642
2006-05,1365.502195131906
2006-06,1365.7769375211808
2006-07,1375.4677629578355
2006-08,1412.0775512013831
2006-09,1429.589237389229
2006-10,1482.8842621046256
2006-11,1525.0901515190687
2006-12,1559.000457521066
2007-01,1574.9266661088475
2007-02,1567.1520281813857
2007-03,1598.7716085273494
2007-04,1670.1976062462345
2007-05,1722.1954335882892
2007-06,1717.9427612161742
2007-07,1691.9542225809078
2007-08,1688.0182771533173
2007-09,1779.0056470122024
2007-10,1847.4982107319267
2007-11,1767.0239456136123
2007-12,1748.3215444828138
2008-01,1606.1967217157783
2008-02,1610.8534801273922
2008-03,1588.67869148249
2008-04,1677.6725055898573
2008-05,1705.7137948656723
2008-06,1566.3840293118485
2008-07,1525.5343215935877
2008-08,1493.6471904061334
2008-09,1307.8531844459765
2008-10,1049.7089666309082
2008-11,980.9673766173929
2008-12,1016.3034229733526
2009-01,930.1056747586183
2009-02,839.3855279078226
2009-03,908.3778727771482
2009-04,1016.4623541057308
2009-05,1118.4114531975551
2009-06,1112.4192306648279
2009-07,1211.1062778981707
2009-08,1254.7065379879182
2009-09,1312.850582849127
2009-10,1292.7904295317244
2009-11,1346.3927395625824
2009-12,1374.3292293870081
2010-01,1315.3281225456892
2010-02,1332.7639432221592
2010-03,1418.6508252710314
2010-04,1421.6521934470968
2010-05,1287.8532554618707
2010-06,1248.6910721403142
2010-07,1350.1603081139026
2010-08,1303.421224103061
2010-09,1427.9124082245344
2010-10,1480.0946176822563
2010-11,1447.9177669854998
2010-12,1553.2723126616083
2011-01,1580.3514271378008
2011-02,1626.499095132256
2011-03,1624.7388204237031
2011-04,1691.9618173353417
2011-05,1657.7264473378566
2011-06,1632.2788031009256
2011-07,1606.0854826891543
2011-08,1488.4534940089006
2011-09,1349.3721414156043
2011-10,1494.5327127847295
2011-11,1450.0643923933378
2011-12,1447.9195881430855
2012-01,1532.228875020876
2012-02,1609.7771892839125
2012-03,1621.9894626303405
2012-04,1604.1965425726714
2012-05,1462.1205589109063
2012-06,1535.0417945286283
2012-07,1556.3094805772926
2012-08,1591.4072346325986
2012-09,1642.0242057797002
2012-10,1631.822852008353
2012-11,1653.8260832799294
2012-12,1690.8757826555052
2013-01,1771.025347497229
2013-02,1771.8867366820023
2013-03,1805.6705698127623
2013-04,1858.964184386509
2013-05,1856.2383716717125
2013-06,1802.5858207045417
2013-07,1889.8091800562402
2013-08,1851.1128312975104
2013-09,1947.0657458136468
2013-10,2025.5715769256067
2013-11,2056.0050275564377
2013-12,2092.277651756699
2014-01,2010.0619335647698
2014-02,2107.5149535750115
2014-03,2116.9881760148555
2014-04,2138.4761231795337
2014-05,2185.8770238382067
2014-06,2227.7989930510216
2014-07,2201.0676210434945
2014-08,2250.6441102128365
2014-09,2179.669145152444
2014-10,2194.4721830944522
2014-11,2232.373038589057
2014-12,2190.578068412905
2015-01,2155.721276703086
2015-02,2277.650012910265
2015-03,2243.7818541316788
2015-04,2309.529806453572
2015-05,2309.9414938614577
2015-06,2255.6284775013455
2015-07,2277.3196138901594
2015-08,2122.238686871451
2015-09,2046.797709838853
2015-10,2208.08218555036
2015-11,2191.8457000959825
2015-12,2154.625519313482
2016-01,2024.861501485325
2016-02,2011.9210969080002
2016-03,2160.9520389380414
2016-04,2193.6835046642877
2016-05,2199.94182658944
2016-06,2186.4886244980776
2016-07,2280.6137809227703
2016-08,2290.8880301473478
2016-09,2305.027523994465
2016-10,2266.330692412331
2016-11,2286.2546364417076
2016-12,2336.020432608502
2017-01,2400.3826541282147
2017-02,2468.980825270136
2017-03,2501.081718058683
2017-04,2540.500335
2017-05,2598.902807
2017-06,2612.656081
2017-07,2685.838923
2017-08,2696.709658
2017-09,2751.631834
2017-10,2809.335879
2017-11,2863.544757
2017-12,2909.043697
2018-01,3074.478851
2018-02,2945.548391
2018-03,2885.361071
2018-04,2915.061316178993
2018-05,2922.853302169047
2018-06,2909.020537024774
2018-07,2997.2398955366402
2018-08,3024.6611294856566
2018-09,3039.5773750161184
2018-10,2813.1689567060753
2018-11,2854.3024522039746
2018-12,2653.155528
2019-01,2862.60612053141
2019-02,2942.260919984513
2019-03,2981.7154419710187
2019-04,3083.0093751405852
2019-05,2902.9871328374124
2019-06,3094.481829473402
2019-07,3105.2838799519586
2019-08,3034.417428640266
2019-09,3100.06092457956
