Date,MSCI WORLD ex CANADA
1969-12,100.0
1970-01,94.121872
1970-02,97.072841
1970-03,97.424882
1970-04,88.52114
1970-05,83.189103
1970-06,80.907083
1970-07,85.971749
1970-08,88.835895
1970-09,91.633625
1970-10,90.369322
1970-11,92.361279
1970-12,97.156576
1971-01,101.787579
1971-02,103.023148
1971-03,107.637481
1971-04,111.464728
1971-05,108.934818
1971-06,110.23208
1971-07,108.449783
1971-08,110.822054
1971-09,109.85202
1971-10,105.848306
1971-11,106.893821
1971-12,116.493389
1972-01,120.806868
1972-02,125.576893
1972-03,127.47890699999999
1972-04,129.313765
1972-05,131.84871
1972-06,128.632914
1972-07,130.830629
1972-08,134.413746
1972-09,132.407973
1972-10,133.773001
1972-11,140.924342
1972-12,143.456961
1973-01,143.914
1973-02,145.175734
1973-03,145.467171
1973-04,138.194808
1973-05,138.098281
1973-06,138.981578
1973-07,142.214605
1973-08,136.180334
1973-09,140.192694
1973-10,141.353502
1973-11,122.943563
1973-12,122.030148
1974-01,122.915918
1974-02,124.7886
1974-03,121.733776
1974-04,120.202604
1974-05,115.73168
1974-06,112.224713
1974-07,105.272401
1974-08,95.246109
1974-09,86.528116
1974-10,94.86562
1974-11,93.898777
1974-12,92.35571
1975-01,105.899511
1975-02,115.729717
1975-03,116.917651
1975-04,122.036881
1975-05,125.067354
1975-06,126.697858
1975-07,119.540063
1975-08,117.787506
1975-09,113.012954
1975-10,121.547039
1975-11,124.71661
1975-12,125.14598
1976-01,136.34724
1976-02,135.095695
1976-03,136.977924
1976-04,135.951245
1976-05,133.664831
1976-06,138.147819
1976-07,137.02063
1976-08,136.878694
1976-09,138.291412
1976-10,133.593511
1976-11,133.925381
1976-12,143.810046
1977-01,139.102548
1977-02,138.657882
1977-03,137.862854
1977-04,139.714288
1977-05,137.99111
1977-06,143.31693
1977-07,141.497664
1977-08,142.435732
1977-09,144.408002
1977-10,142.392102
1977-11,144.109635
1977-12,146.921385
1978-01,143.010989
1978-02,142.063194
1978-03,148.676087
1978-04,155.688816
1978-05,157.587365
1978-06,159.436558
1978-07,171.225682
1978-08,175.368363
1978-09,177.446809
1978-10,174.376261
