Date,MSCI ACWI ex ANDEAN
2002-05,1000.0
2002-06,939.0002990149736
2002-07,860.219949244889
2002-08,862.4414344404032
2002-09,767.855822619659
2002-10,824.4000279973237
2002-11,869.4944684104322
2002-12,827.9827103414282
2003-01,803.7736076906178
2003-02,789.698074346774
2003-03,786.7006712760784
2003-04,856.8993985153079
2003-05,906.775437392016
2003-06,924.1904868405777
2003-07,944.6524801485967
2003-08,967.0535012306985
2003-09,973.1716684361372
2003-10,1032.1478113063781
2003-11,1047.9425224630609
2003-12,1114.4296427825163
2004-01,1133.5919955210072
2004-02,1154.443464128005
2004-03,1148.2845751841357
2004-04,1121.9746247336334
2004-05,1131.4565774394134
2004-06,1154.3193798232442
2004-07,1117.6675858240753
2004-08,1124.836715146318
2004-09,1148.4968053257655
2004-10,1176.8315127821659
2004-11,1241.4589990232553
2004-12,1289.8464681010742
2005-01,1262.7939937590916
2005-02,1307.055730499944
2005-03,1278.7541204551376
2005-04,1251.3725501508616
2005-05,1275.694633615846
2005-06,1289.0597390702337
2005-07,1336.968240060872
2005-08,1347.727358248308
2005-09,1388.5177325774011
2005-10,1351.472092408456
2005-11,1401.3260083824491
2005-12,1436.184306155322
2006-01,1507.1369197641875
2006-02,1505.4561332875628
2006-03,1537.8544172485065
2006-04,1589.8030833765029
2006-05,1528.6299322511973
2006-06,1528.6198653809276
2006-07,1539.3307547596617
2006-08,1579.9956600665907
2006-09,1598.7896467276553
2006-10,1658.9811151677056
2006-11,1706.6372004985092
2006-12,1745.0698375840902
2007-01,1762.7102519817058
2007-02,1754.079893770517
2007-03,1789.932494765162
2007-04,1870.1226739621493
2007-05,1927.4228357289694
2007-06,1922.173524897247
2007-07,1893.0718683935493
2007-08,1888.8056941477382
2007-09,1990.8087350061508
2007-10,2068.575292776079
2007-11,1978.2265245855983
2007-12,1956.8855302908034
2008-01,1796.8343367302168
2008-02,1802.4702441660845
2008-03,1776.6079642708946
2008-04,1877.1065814805204
2008-05,1908.65858115379
2008-06,1752.6074276400168
2008-07,1707.5637138320542
2008-08,1671.6594098906735
2008-09,1463.3818180866003
2008-10,1174.1116250527255
2008-11,1097.484374182273
2008-12,1137.709542016099
2009-01,1040.569510974346
2009-02,939.1299812153566
2009-03,1017.0049367171821
2009-04,1138.097590205583
2009-05,1252.5453641691306
2009-06,1245.9027821391487
2009-07,1356.0642872002215
2009-08,1405.300111602698
2009-09,1469.9011767610245
2009-10,1447.5509413420702
2009-11,1507.59397304678
2009-12,1539.1805922512585
2010-01,1472.7307641085877
2010-02,1491.9948114306355
2010-03,1589.0284530788902
2010-04,1592.417541463377
2010-05,1442.3718331403534
2010-06,1398.1789791284034
2010-07,1512.2032468806567
2010-08,1459.286020728544
2010-09,1599.40850969734
2010-10,1657.3831623818044
2010-11,1621.3132554096708
2010-12,1740.8224404662778
2011-01,1769.2784816651022
2011-02,1821.8503814962307
2011-03,1820.6000767350206
2011-04,1896.0653248693682
2011-05,1856.8848830367733
2011-06,1828.3974548474944
2011-07,1799.289350665844
2011-08,1668.150407885704
2011-09,1511.7339799862302
2011-10,1673.8910548289994
2011-11,1624.8955263649934
2011-12,1622.0988321610405
