Date,AC ASIA ex JAPAN WITH PARTIAL A SHARES
2008-11,1070.5089426137486
2008-12,1175.582675369676
2009-01,1113.0175287972058
2009-02,1041.3925616924735
2009-03,1185.0280625636467
2009-04,1382.557287991338
2009-05,1604.125724096143
2009-06,1599.1052577118605
2009-07,1808.9416990152943
2009-08,1747.1031164852802
2009-09,1901.712581611322
2009-10,1893.0591577247305
2009-11,1944.8231845433156
2009-12,2029.0417606467763
2010-01,1906.4018215440117
2010-02,1917.574027810595
2010-03,2056.245180813718
2010-04,2098.1339066346864
2010-05,1921.965422668691
2010-06,1954.4032077389852
2010-07,2070.4416423354537
2010-08,2047.5119713731985
2010-09,2278.4251048625806
2010-10,2340.13375759528
2010-11,2306.2129441142583
2010-12,2432.691537681014
2011-01,2409.1357353218323
2011-02,2317.2441175005138
2011-03,2461.8218841735443
2011-04,2555.043574763861
2011-05,2521.665360051921
2011-06,2465.1323022937354
2011-07,2495.3002041234563
2011-08,2250.3717925586684
2011-09,1954.8060517957747
2011-10,2188.4600595421966
2011-11,2007.085759440812
2011-12,2018.5537157994113
2012-01,2234.7775751539593
2012-02,2369.098523830594
2012-03,2294.418347968302
2012-04,2296.311200291216
2012-05,2078.1266883506737
2012-06,2140.7533683428155
2012-07,2197.3664860173576
2012-08,2186.1540627276972
2012-09,2340.000167566323
2012-10,2333.8823303402382
2012-11,2397.3307039255264
2012-12,2475.8994700057387
2013-01,2518.891170543468
2013-02,2516.151797572802
2013-03,2465.43575866501
2013-04,2508.6270002835086
2013-05,2479.89326268638
2013-06,2336.5689919166716
2013-07,2380.735365909973
2013-08,2347.9278787832204
2013-09,2475.1591823975673
2013-10,2582.558179176422
2013-11,2588.6848029504795
2013-12,2560.5311695905493
2014-01,2433.6852095049912
2014-02,2516.4481333525946
2014-03,2539.983559573307
2014-04,2557.299773193695
2014-05,2660.3582394491737
2014-06,2723.969947721642
2014-07,2831.1582013092625
2014-08,2851.781798381856
2014-09,2687.179920954879
2014-10,2740.0958807204956
2014-11,2751.192415753387
2014-12,2701.364250883867
2015-01,2766.427336344808
2015-02,2819.380730430535
2015-03,2839.446539720722
2015-04,3058.725961415275
2015-05,2983.661624673128
2015-06,2869.8636641264648
2015-07,2683.035773241578
2015-08,2416.9702500585463
2015-09,2374.6482959064247
2015-10,2565.714121180181
2015-11,2480.3111089290674
2015-12,2468.087166167642
2016-01,2265.9950721299956
2016-02,2245.846921690049
2016-03,2499.484759949801
2016-04,2478.3074188664773
2016-05,2447.5199287824917
2016-06,2513.8031156785796
2016-07,2635.4816990540107
2016-08,2727.916433834955
2016-09,2771.5972101684874
2016-10,2730.2067027925677
2017-04,3010.228759
2017-05,3139.210359
2017-06,3192.284092
2017-07,3365.11422
2017-08,3413.198015
2017-09,3411.185902
2017-10,3570.53717
2017-11,3590.357778
2017-12,3689.677187
2018-01,3971.625179
2018-02,3772.65344
2018-03,3717.3067701629684
2018-04,3742.2606296350714
2018-05,3696.9673878705694
2018-06,3520.429620607629
2018-07,3552.0954251276125
2018-08,3515.5786972019546
2018-09,3467.616980680366
2018-10,3091.4573507986465
2018-11,3255.629698201867
2018-12,3169.090624571791
2019-01,3400.7426693903385
2019-02,3472.7500994612647
2019-03,3533.1382617198074
2019-04,3600.213296307517
2019-05,3294.4017581861704
2019-06,3513.212873375692
2019-07,3452.722236282509
2019-08,3303.090412467789
2019-09,3359.6835253628133
2019-10,3513.2956110882114
2019-11,3523.2036586695785
2019-12,3757.654523787947
2020-01,3587.5568845979315
2020-02,3480.9853782250534
2020-03,3055.4976073888633
2020-04,3332.1625603898183
2020-05,3295.074309293589
2020-06,3569.815412222105
2020-07,3866.5476970767254
2020-08,4002.529702169918
2020-09,3947.9544800093045
2020-10,4057.9036501426426
2020-11,4387.418076876426
2020-12,4685.441403106563
