Date,MSCI ZHONG HUA ex B
2018-10,3286.831260439812
2018-11,3528.4092825796233
2018-12,3366.1705886154714
2019-01,3710.997582081501
2019-02,3860.809207181457
2019-03,3944.3766227017645
2019-04,4021.9589875820175
2019-05,3559.1247776035175
2019-06,3837.936848057191
2019-07,3792.398851823347
2019-08,3597.472176108041
2019-09,3591.619879530708
2019-10,3742.4837661545953
2019-11,3782.740377841999
2019-12,4064.7905651114215
2020-01,3872.2314350542497
2020-02,3892.3020913492082
2020-03,3593.7609981538685
2020-04,3827.1045805665035
2020-05,3754.560603138123
2020-06,4105.853564755472
2020-07,4428.900580918837
2020-08,4694.804030290996
2020-09,4550.114534517241
2020-10,4748.51824566039
2020-11,4935.2486676724275
2020-12,5087.668404877649
2021-01,5422.538534531237
2021-02,5410.066928475543
2021-03,5122.208490672873
2021-04,5206.892679281481
2021-05,5252.431704547333
2021-06,5243.777988230535
2021-07,4602.955486974812
2021-08,4598.404399144296
2021-09,4359.682606324331
2021-10,4484.8971581244405
2021-11,4221.347889754653
2021-12,4111.885092512889
2022-01,4016.1571049437366
2022-02,3866.7249033308526
2022-03,3608.018088280408
2022-04,3454.946541901657
2022-05,3505.6084326468776
2022-06,3705.8613296925055
2022-07,3390.7459446958933
2022-08,3376.4581990475194
2022-09,2906.106503744484
2022-10,2440.0099892002518
2022-11,3143.6822980727134
2022-12,3323.328912779366
2023-01,3668.95671177775
2023-02,3307.455475705434
2023-03,3438.543018476048
2023-04,3293.041422527305
2023-05,3014.2195975915524
2023-06,3132.4061758054027
