Date,MSCI ZHONG HUA ex B
2004-11,1000.0
2004-12,1008.5022261200143
2005-01,973.7786822614898
2005-02,1020.7282195758795
2005-03,979.906614832997
2005-04,1007.1836077851553
2005-05,1012.0274369834141
2005-06,1051.2836224998534
2005-07,1117.92972245287
2005-08,1113.267907718094
2005-09,1160.8193901962875
2005-10,1069.8267468778974
2005-11,1118.4555187984445
2005-12,1140.033875176517
2006-01,1243.9413608580023
2006-02,1262.8274119084301
2006-03,1290.9325601036655
2006-04,1360.549360809283
2006-05,1286.2155151776838
2006-06,1301.825289342014
2006-07,1330.5189019640404
2006-08,1368.8480535091062
2006-09,1400.3441502081005
2006-10,1461.1510113012223
2006-11,1583.9105504686302
2006-12,1753.4247546459192
2007-01,1723.7354491023923
2007-02,1686.4415198903323
2007-03,1733.2374811052957
2007-04,1785.548502656096
2007-05,1875.2865540979865
2007-06,2013.0431817046522
2007-07,2194.7038110082194
2007-08,2297.246743549915
2007-09,2718.4136116446366
2007-10,3117.613049214656
2007-11,2802.0342327496123
2007-12,2722.631780151826
2008-01,2235.1973468013252
2008-02,2361.5740751989674
2008-03,2126.7546816248673
2008-04,2400.776678051135
2008-05,2320.5564836364238
2008-06,2050.4107695004927
2008-07,2071.0281245402994
2008-08,1925.1717140423343
2008-09,1553.1242856571032
2008-10,1209.586186071111
2008-11,1240.6256215300432
2008-12,1342.841328069031
2009-01,1268.6223603985386
2009-02,1219.9082077090573
2009-03,1349.6356586633208
2009-04,1525.166986759582
2009-05,1794.633654083585
2009-06,1834.8947846748745
2009-07,2049.563609112729
2009-08,1906.9115944494092
2009-09,2016.4068050822093
2009-10,2122.6618902530427
2009-11,2149.1691020737903
2009-12,2168.481125403166
2010-01,1993.597799889876
2010-02,2047.442991278605
2010-03,2159.510471903853
2010-04,2138.528031945662
2010-05,2019.3681976230805
2010-06,2053.9976671068016
2010-07,2150.1563681889947
2010-08,2113.8354082736614
2010-09,2336.979721133869
2010-10,2413.5990933071903
2010-11,2389.06881614528
2010-12,2381.725637383617
2011-01,2386.3507940175195
2011-02,2332.065142033929
2011-03,2425.876993372224
2011-04,2472.240999914961
2011-05,2484.017868623993
2011-06,2391.843307122388
2011-07,2392.784300672737
2011-08,2194.5233650709265
2011-09,1828.5635206458005
2011-10,2090.4468267440006
2011-11,1922.2109402431627
2011-12,1967.3169953265522
2012-01,2172.361825521001
2012-02,2327.0771033703645
2012-03,2183.7901672766384
2012-04,2241.527572133227
2012-05,2011.2026337776474
2012-06,2070.16812787376
2012-07,2114.369256674675
2012-08,2074.750458284882
2012-09,2221.6208814321235
2012-10,2317.0203900808724
2012-11,2370.231565818578
2012-12,2453.0982271024736
2013-01,2566.702421950645
2013-02,2493.889676000283
2013-03,2404.590073518433
2013-04,2444.602808106065
2013-05,2416.6564029304686
2013-06,2264.4567607723934
2013-07,2358.2070310777226
2013-08,2385.2392329394156
2013-09,2517.965873887646
2013-10,2578.374557992323
2013-11,2671.0195176456623
2013-12,2611.60453809872
2014-01,2446.3296572132926
2014-02,2529.169855626738
2014-03,2481.758587350909
2014-04,2465.51593769046
2014-05,2583.1461358327288
2014-06,2644.1841717800908
2014-07,2841.255454677358
2014-08,2836.1150892120518
2014-09,2646.089578509576
2014-10,2782.4827179038316
2014-11,2818.4927559182083
2014-12,2801.6994946544205
2015-01,2893.9931216135838
2015-02,2952.81951214688
2015-03,3009.9224517244397
2015-04,3441.0710448933114
2015-05,3346.9024725557274
2015-06,3190.3614687880035
2015-07,2935.2282191156373
2015-08,2581.989482702547
2015-09,2530.6831561511026
2015-10,2756.47657328951
2015-11,2665.522886847785
2015-12,2646.4289994397122
2016-01,2336.7139223499375
2016-02,2294.7953086922084
2016-03,2553.0608163385573
2016-04,2557.3711755640447
2016-05,2538.2039715456394
2016-06,2567.0087995235467
2016-07,2681.5040764609653
2016-08,2829.5186203040284
2016-09,2910.275008446928
2016-10,2860.7431592445446
2016-11,2822.9736903228454
2016-12,2689.336827237378
2017-01,2879.1944741883235
2017-02,2969.088501785091
2017-03,3041.1280611424036
2017-04,3125.982256
2017-05,3274.394243
2017-06,3336.41953
2017-07,3588.223404
2017-08,3717.16386
2017-09,3742.986399
2017-10,3858.219883
2017-11,3936.176574
2017-12,4019.48939
2018-01,4442.77649
2018-02,4191.786701
2018-03,4060.463105
2018-04,4092.5102455547703
2018-05,4155.717037577033
2018-06,3942.595999474302
2018-07,3883.977910473974
2018-08,3751.093500068471
2018-09,3709.2457859208916
