Date,MSCI EURO
1996-12,574.42233888
1997-01,583.56983931
1997-02,586.71335018
1997-03,611.38596739
1997-04,601.92604984
1997-05,620.02186945
1997-06,662.82299581
1997-07,701.66043074
1997-08,645.73938451
1997-09,712.2256083
1997-10,666.97770387
1997-11,681.97635125
1997-12,708.92791172
1998-01,738.23417511
1998-02,798.6188147
1998-03,872.26465494
1998-04,901.90067616
1998-05,948.38120749
1998-06,965.84298949
1998-07,1001.05827889
1998-08,854.92467805
1998-09,823.27314321
1998-10,888.54682564
1998-11,945.47692591
1998-12,1000.0
1999-01,999.9309187382983
1999-02,951.0894451636268
1999-03,955.2913320904898
1999-04,981.2478494678845
1999-05,935.2833887010031
1999-06,963.1614480396996
1999-07,959.5867262819496
1999-08,981.8428801782395
1999-09,977.8068039969646
1999-10,1024.1112685691983
1999-11,1069.6302427876353
1999-12,1222.5812766362299
2000-01,1146.7733338020118
2000-02,1258.015852748083
2000-03,1253.4243167441837
2000-04,1193.4302654152725
2000-05,1190.1975766089347
2000-06,1224.510170500618
2000-07,1186.7536553730413
2000-08,1157.792791399475
2000-09,1098.727707098577
2000-10,1088.5749038436254
2000-11,1047.3434367628925
2000-12,1120.5648835387487
2001-01,1125.6174351232214
2001-02,1004.2699253082242
2001-03,930.5555441686271
2001-04,1013.2525455039165
2001-05,945.6986099176881
2001-06,910.9195561377235
2001-07,913.4516658424247
2001-08,874.1819277967949
2001-09,765.9558543882425
2001-10,798.8765961966254
2001-11,837.9279938450986
2001-12,862.6288449206482
2002-01,810.8195150689238
2002-02,805.8509528482793
2002-03,852.0052692898026
2002-04,836.3542648516488
2002-05,834.5061971669354
2002-06,810.0821056662467
2002-07,693.2222187596858
2002-08,700.5236737593052
2002-09,579.1814754401136
2002-10,658.6823805277136
2002-11,701.4164100488116
2002-12,665.9736621013002
2003-01,642.5402609169041
2003-02,615.9168664860846
2003-03,595.9463798827531
2003-04,696.1271930319584
2003-05,744.8944954112707
2003-06,756.0113533660007
2003-07,773.0677422617795
2003-08,771.6188795896344
2003-09,769.7691941679093
2003-10,826.6844401463674
2003-11,869.0014712944594
2003-12,949.6902129425575
2004-01,964.0597279421087
2004-02,980.407874046352
2004-03,939.8128369323341
2004-04,925.0335962263497
2004-05,940.2267524341897
2004-06,962.7734724957143
2004-07,924.335236972131
2004-08,921.6274334361044
2004-09,963.1130839294193
2004-10,1013.6432085507457
2004-11,1088.2780779200257
2004-12,1143.0606526679835
2005-01,1115.6130646844013
2005-02,1166.5710678680014
2005-03,1139.5880306290128
2005-04,1095.545303341968
2005-05,1109.3363597328018
2005-06,1128.500455002939
2005-07,1181.9784377721894
2005-08,1183.3061407079188
2005-09,1214.006884016286
2005-10,1168.7261637536117
2005-11,1197.7020270631322
2005-12,1245.0663306434806
2006-01,1331.2885094694113
2006-02,1341.0383830778712
2006-03,1399.8208165692035
2006-04,1459.2551025674043
2006-05,1423.2055388550514
2006-06,1426.5154538338436
2006-07,1439.5310051237818
2006-08,1494.876565401722
2006-09,1518.0186872574673
2006-10,1574.6236033462726
2006-11,1639.7397406556015
2006-12,1693.2879563903239
2007-01,1703.493211678135
2007-02,1701.8475215313044
2007-03,1763.4466020019547
2007-04,1900.6769390067
2007-05,1958.8058372224968
2007-06,1956.7635325415843
2007-07,1914.7478931035846
2007-08,1901.254461342018
2007-09,2019.2488262083132
2007-10,2118.6007292339223
2007-11,2085.827197803016
2007-12,2072.4581754485034
2008-01,1825.5668504306502
2008-02,1844.5278222220047
2008-03,1872.8337667513613
2008-04,1955.1270040193056
2008-05,1977.1432539643804
2008-06,1770.812448662697
2008-07,1742.772247110704
2008-08,1655.4427426106602
2008-09,1411.6064235155714
2008-10,1080.0572724700878
2008-11,1009.2330313962851
2008-12,1112.113075261937
2009-01,947.5438975792894
2009-02,836.354823830361
2009-03,912.7748832937775
2009-04,1055.0370258923865
2009-05,1182.4287707781505
2009-06,1156.15215936151
2009-07,1282.8031517646605
2009-08,1368.2813285361226
2009-09,1450.0333251257186
2009-10,1403.6439015346775
2009-11,1455.3531850873267
2009-12,1472.0711639124102
2010-01,1349.9604974044287
2010-02,1299.6353990232362
2010-03,1386.9012423115023
2010-04,1326.4347623099413
2010-05,1161.8077764399932
2010-06,1148.3854687142057
2010-07,1298.214274654327
2010-08,1219.652422713702
2010-09,1376.495241274059
2010-10,1454.164614480981
2010-11,1291.2735554922492
2010-12,1398.6032205885801
2011-01,1501.3244298154166
2011-02,1540.8016209190248
2011-03,1536.4039329677362
2011-04,1672.2526366753125
2011-05,1585.530161700802
2011-06,1590.6537650845655
2011-07,1491.4790402384267
2011-08,1296.1747937589405
2011-09,1145.3753760963177
2011-10,1299.1893481398722
2011-11,1227.67771848342
2011-12,1179.2896830773714
2012-01,1250.247235448162
2012-02,1330.89932273033
2012-03,1320.7632546510438
2012-04,1245.4312021065855
2012-05,1091.6281023127044
2012-06,1195.4203111503068
2012-07,1196.7840896787857
2012-08,1278.581118333176
2012-09,1319.458690354795
2012-10,1353.79470695333
2012-11,1397.031759939977
2012-12,1450.3566283810012
2013-01,1537.70005620656
2013-02,1460.4128137310288
2013-03,1437.1972146662354
2013-04,1525.3514009458374
2013-05,1555.3089662061202
2013-06,1471.1959181530071
2013-07,1597.2972769039611
2013-08,1562.2626725239013
2013-09,1706.9399222727156
2013-10,1811.5680221932485
2013-11,1840.1544318963372
2013-12,1876.8202276896754
2014-01,1788.3681985529508
2014-02,1913.4320309108089
2014-03,1916.3539163776036
2014-04,1956.5606547906166
2014-05,1983.42115404938
2014-06,1981.5291922453218
2014-07,1873.4680322344418
2014-08,1877.1216503453409
2014-09,1825.0344479429796
2014-10,1761.3670986993664
2014-11,1835.0483433817215
2014-12,1734.063184697182
2015-01,1734.2420903125792
2015-02,1850.6104511052943
2015-03,1825.2862466586932
2015-04,1874.98759018523
2015-05,1844.3131599175842
2015-06,1800.3127632692879
2015-07,1871.5751242298275
2015-08,1731.4423980784359
2015-09,1640.223510894296
2015-10,1787.6283729860002
2015-11,1757.7864633738309
2015-12,1697.0963558652156
2016-01,1584.8676991182233
