Date,ACFM AMERICA INDEX
2009-05,1000.0
2009-06,996.0666474336123
2009-07,1075.6949590284742
2009-08,1107.802884585115
2009-09,1158.6925332230826
2009-10,1135.4868508873085
2009-11,1206.115297059869
2009-12,1232.1080375572196
2010-01,1180.6532041882995
2010-02,1220.472094101752
2010-03,1296.8168784245086
2010-04,1315.9259462523914
2010-05,1210.8087388625368
2010-06,1148.0420687667508
2010-07,1231.9034137849662
2010-08,1181.7270545434478
2010-09,1288.9370812820482
2010-10,1338.25534154657
2010-11,1337.792367782708
2010-12,1428.24855775779
2011-01,1453.5713357078012
2011-02,1506.2019880574276
2011-03,1511.0062100511545
2011-04,1552.1299294380942
2011-05,1531.033712528699
2011-06,1504.8550911381296
2011-07,1473.9759944212965
2011-08,1395.2413566431787
2011-09,1277.0480272295013
2011-10,1421.321879345244
2011-11,1409.7744290385897
2011-12,1417.3266301720762
2012-01,1491.738239336333
2012-02,1556.9132972293858
2012-03,1592.7155651583982
2012-04,1581.668754968671
2012-05,1472.6079484265606
2012-06,1529.5873946020856
2012-07,1551.346081758154
2012-08,1587.8854857280169
2012-09,1630.9382591760213
2012-10,1604.5919483253836
2012-11,1611.7883175300685
2012-12,1632.5806884940703
2013-01,1713.1641260938427
2013-02,1727.8487306368565
2013-03,1785.411855481805
2013-04,1814.3129175326103
2013-05,1841.2582957282566
2013-06,1804.8978129252478
2013-07,1895.793223470837
2013-08,1845.702521764278
2013-09,1911.618028611833
2013-10,1995.3265274197258
2013-11,2041.0919046418448
2013-12,2090.335535445852
2014-01,2013.5511036325947
2014-02,2105.9793003088143
2014-03,2127.6554183766048
2014-04,2145.528679628097
2014-05,2192.4718395071495
2014-06,2246.9449178695118
2014-07,2219.6779138531597
2014-08,2309.240966984234
2014-09,2254.4350007709945
2014-10,2298.895546244227
2014-11,2350.1718697137285
2014-12,2333.841008797258
2015-01,2257.7565581476715
2015-02,2389.0669987602155
2015-03,2348.1908522887325
2015-04,2383.8843417145044
2015-05,2401.275848754697
2015-06,2356.2087612671926
2015-07,2388.9936112637465
2015-08,2241.092925708996
2015-09,2176.5283812040657
2015-10,2350.818980401592
2015-11,2353.7920488882014
2015-12,2306.626792773263
2016-01,2187.6741745730565
2016-02,2189.3628531753566
2016-03,2349.01768708681
2016-04,2371.6004610356035
2016-05,2400.5492251328146
2016-06,2412.9286768432034
2016-07,2504.973243395888
2016-08,2509.354686625918
2016-09,2513.0419079540375
2016-10,2474.2879526006636
2016-11,2552.0526734495584
2016-12,2598.9638022598215
2017-01,2659.004703103375
2017-02,2755.0319732792473
2017-03,2760.028151379901
2017-04,2784.364121
2017-05,2817.559595
2017-06,2838.909799
2017-07,2903.849963
2017-08,2916.627461
2017-09,2978.774886
2017-10,3038.299282
2017-11,3121.899933
2017-12,3163.270074
2018-01,3342.137709
2018-02,3213.147358
2018-03,3138.61603
2018-04,3153.086592764161
2018-05,3214.8690072475765
2018-06,3232.6836398286196
2018-07,3350.9931052555316
2018-08,3444.044536078278
2018-09,3461.996207404025
2018-10,3227.9757775834833
2018-11,3285.2609869280036
2018-12,2996.70902778548
2019-01,3255.6965224410374
2019-02,3357.4948272645534
2019-03,3411.4728776040115
2019-04,3543.62705443401
2019-05,3327.8040464640217
2019-06,3559.331411734363
2019-07,3609.329707438549
2019-08,3542.127961769261
2019-09,3606.8108954096615
2019-10,3682.902009289763
2019-11,3812.2821521006576
2019-12,3929.734075653772
2020-01,3931.076454225434
2020-02,3608.9023991146137
2020-03,3118.7086507416307
2020-04,3524.501164760157
2020-05,3705.537467996643
2020-06,3794.121242711663
2020-07,4022.5916852694404
2020-08,4311.601278471929
2020-09,4147.768447767022
2020-10,4039.559973133162
2020-11,4517.083804011932
2020-12,4708.056703406543
2021-01,4659.5278613347355
2021-02,4783.201761159287
2021-03,4966.550693082109
2021-04,5233.333178858387
2021-05,5276.418671211221
2021-06,5416.292856
2021-07,5532.6453157648475
2021-08,5687.3321918935535
2021-09,5419.538377563683
2021-10,5790.165416067492
2021-11,5720.421210391507
2021-12,5950.07754847367
2022-01,5635.113244755844
2022-02,5484.059187466355
2022-03,5689.274462952451
2022-04,5175.164478680351
2022-05,5174.671428983208
2022-06,4734.01401578836
2022-07,5162.008403405136
2022-08,4964.3023653111795
2022-09,4510.107856146516
2022-10,4866.477391961353
2022-11,5129.11257320337
2022-12,4831.4868535664755
2023-01,5157.521608952826
2023-02,5026.59153547653
2023-03,5195.074908209119
2023-04,5266.314487678026
2023-05,5284.697245307686
2023-06,5641.052807659925
