Date,ACWI ex BRAZIL
1998-12,1000.0
1999-01,1021.2259481446241
1999-02,994.9471649996736
1999-03,1039.5978585454109
1999-04,1084.0878684380218
1999-05,1046.7626964497808
1999-06,1099.4653454610548
1999-07,1094.9327943261103
1999-08,1094.0062087785268
1999-09,1082.002729681299
1999-10,1136.1877204934285
1999-11,1170.6336172934775
1999-12,1266.8875506058591
2000-01,1197.8271238845643
2000-02,1201.5017949714584
2000-03,1281.2420147068226
2000-04,1224.4472310490826
2000-05,1193.699144248252
2000-06,1233.6127226950941
2000-07,1196.7764456581265
2000-08,1234.4826737915525
2000-09,1166.5698102605254
2000-10,1143.6262725632996
2000-11,1072.9880585284675
2000-12,1089.8418245999446
2001-01,1116.841562426645
2001-02,1023.1066620664113
2001-03,954.5453822286642
2001-04,1024.1845680566817
2001-05,1012.995346973104
2001-06,981.606035298927
2001-07,966.6975615538395
2001-08,922.4620443188772
2001-09,838.5351405803841
2001-10,856.2162503685214
2001-11,908.7240974428416
2001-12,916.8133053737187
2002-01,891.8251565476701
2002-02,884.7493704949967
2002-03,924.87752083125
2002-04,895.4875871011618
2002-05,897.0413374746745
2002-06,842.6453505972628
2002-07,772.456112645887
2002-08,774.0813820839078
2002-09,689.5788274969532
2002-10,740.050781863409
2002-11,780.6114734704405
2002-12,743.1338849103503
2003-01,721.4316331918167
2003-02,708.8481570123066
2003-03,705.9025251632103
2003-04,768.6827742891635
2003-05,813.5042273904535
2003-06,829.172794253576
2003-07,847.4878879641926
2003-08,867.3940328470413
2003-09,872.9249411561718
2003-10,925.7318488036343
2003-11,939.737612081507
2003-12,998.9692468287828
2004-01,1016.3253460455381
2004-02,1035.0036483618203
2004-03,1029.437261809434
2004-04,1006.3260052639253
2004-05,1014.9041225985634
2004-06,1035.3101692263974
2004-07,1002.0668472278936
2004-08,1008.3425445119105
2004-09,1029.2623424351814
2004-10,1054.6943346436376
2004-11,1112.3913998286798
2004-12,1155.4446594913804
2005-01,1131.201382192849
2005-02,1170.12311586879
2005-03,1145.2350678878074
2005-04,1120.8609743497946
2005-05,1142.2944889245664
2005-06,1154.1687243782542
2005-07,1197.1383426035848
2005-08,1206.0952441733045
2005-09,1241.5218297638523
2005-10,1208.60792560413
2005-11,1252.8034051890957
2005-12,1284.2378011302412
2006-01,1345.9383175853686
2006-02,1344.2738927722294
2006-03,1373.9170199070013
2006-04,1419.6587019893627
