Date,MSCI EAFE + EM
1987-12,100.0
1988-01,101.9007
1988-02,108.6608
1988-03,115.4255
1988-04,117.1638
1988-05,113.5142
1988-06,110.6054
1988-07,114.0059
1988-08,106.6951
1988-09,111.4258
1988-10,120.8341
1988-11,127.9594
1988-12,128.7267
1989-01,130.9392
1989-02,131.7728
1989-03,129.4365
1989-04,131.0327
1989-05,124.0763
1989-06,121.7374
1989-07,136.951
1989-08,130.9653
1989-09,137.1524
1989-10,131.8227
1989-11,138.1738
1989-12,143.5137
1990-01,138.404
1990-02,129.0774
1990-03,115.5152
1990-04,114.925
1990-05,127.9524
1990-06,127.01
1990-07,129.0665
1990-08,116.4572
1990-09,100.3201
1990-10,115.3944
1990-11,108.6325
1990-12,110.496
1991-01,114.2808
1991-02,126.7258
1991-03,119.5417
1991-04,120.7581
1991-05,122.3566
1991-06,113.5556
1991-07,119.2064
1991-08,117.0493
1991-09,123.2433
1991-10,125.144
1991-11,119.4668
1991-12,125.9704
1992-01,124.1068
1992-02,120.1949
1992-03,112.9916
1992-04,113.4698
1992-05,120.63
1992-06,114.5447
1992-07,111.8661
1992-08,118.1254
1992-09,115.9554
1992-10,110.6149
1992-11,111.5276
1992-12,112.3538
1993-01,112.4211
1993-02,115.7368
1993-03,125.4686
1993-04,136.803
1993-05,139.7456
1993-06,138.0556
1993-07,142.8042
1993-08,150.7496
1993-09,147.7829
1993-10,152.7121
1993-11,140.8322
1993-12,151.8739
1994-01,164.6772
1994-02,163.8119
1994-03,156.3024
1994-04,161.7586
1994-05,161.7904
1994-06,163.4002
1994-07,165.8064
1994-08,171.2083
1994-09,166.6
1994-10,171.2945
1994-11,163.1509
1994-12,162.6804
1995-01,155.438
1995-02,154.23823357863873
1995-03,163.0347756516985
1995-04,169.50861304614097
1995-05,168.40598160418426
1995-06,165.91649421496328
1995-07,175.5918516213713
1995-08,169.31565912021236
1995-09,172.27841730268742
1995-10,167.5424554580947
1995-11,171.39442541020316
1995-12,178.3614517647867
1996-01,180.4313843689634
1996-02,180.51707767096943
1996-03,183.9188999752985
1996-04,189.4571487707412
1996-05,186.4357398207953
1996-06,187.5447284609276
1996-07,181.3138383439145
1996-08,182.06118905709974
1996-09,186.49804432085017
1996-10,184.0718413398686
1996-11,190.83757371600348
1996-12,188.77421441080583
1997-01,184.68987447859098
1997-02,188.36533356182082
1997-03,188.486951589597
1997-04,189.9416770481308
1997-05,201.4836699690721
1997-06,212.90989039362708
1997-07,216.79171049892813
1997-08,199.79993968654827
1997-09,210.57157195388902
1997-10,192.24720352770962
1997-11,190.06867167857786
1997-12,192.15023760046364
1998-01,198.26917216082506
1998-02,211.36092168009404
1998-03,218.31227303539052
1998-04,219.91026300399557
1998-05,215.87861906457584
1998-06,215.43265556681644
1998-07,218.18258478124793
1998-08,188.0575112713051
1998-09,183.71867659292212
1998-10,202.92926716640847
1998-11,213.91259405178528
1998-12,221.45238695624707
1999-01,220.61588442097406
1999-02,215.96768006825852
1999-03,226.54160361933958
1999-04,237.3620240799107
1999-05,226.18718444178114
1999-06,236.71321108519942
1999-07,242.40872248099618
1999-08,243.47200606937943
1999-09,244.93268651841368
1999-10,253.78523820759932
1999-11,263.9376918592883
1999-12,288.6148977098992
2000-01,272.3009719758141
2000-02,279.29040372261454
2000-03,289.1870467842808
2000-04,272.79590948103936
2000-05,265.7505042394593
2000-06,276.08715772402593
2000-07,264.26202079228887
2000-08,266.48940948407164
2000-09,252.38597054689663
2000-10,245.11652954781937
2000-11,234.6726468390687
2000-12,242.7886755327652
2001-01,246.05812221988145
2001-02,227.4982731846569
2001-03,211.61611445563977
2001-04,225.97907554681586
2001-05,219.30483670988463
2001-06,210.88897607603
2001-07,206.03335778330393
2001-08,201.18126251269604
2001-09,179.7251396430399
2001-10,184.96733760716566
2001-11,193.06789181224056
2001-12,195.52689252785632
2002-01,186.82446716578195
2002-02,188.33022216017835
2002-03,198.72435676002377
2002-04,200.14712394371162
2002-05,202.22520172770123
2002-06,193.62394821439815
2002-07,174.89257033492618
2002-08,174.79976255957712
2002-09,156.05933784826317
2002-10,164.61067295162414
2002-11,172.4417400187037
2002-12,166.66181861183887
2003-01,160.2809048138226
2003-02,156.55421695056464
