Date,FM LATIN AMERICA & CARIBBEAN INDEX
2009-05,1000.0
2009-06,1164.7428131280012
2009-07,1225.34767861714
2009-08,1340.45610829482
2009-09,1386.3049408813968
2009-10,1460.6741861049168
2009-11,1414.624837906916
2009-12,1470.804698775958
2010-01,1433.2966813974792
2010-02,1379.4682286447667
2010-03,1534.3670621675165
2010-04,1541.3776358933667
2010-05,1407.3006276179858
2010-06,1466.199014748352
2010-07,1653.4035982928742
2010-08,1706.1624214948831
2010-09,1933.4952976624215
2010-10,2186.546920220877
2010-11,2252.5261136097024
2010-12,2361.906030042929
2011-01,2367.089204894026
2011-02,2207.4155554117256
2011-03,2143.2599141607493
2011-04,2115.192150964939
2011-05,2154.935903219731
2011-06,2259.0423896736793
2011-07,2178.607743046082
2011-08,1920.1585002499112
2011-09,1542.218123454425
2011-10,1569.9852058315496
2011-11,1562.583231649059
2011-12,1501.3280462481541
2012-01,1699.8306063135233
2012-02,1403.2175655712872
2012-03,1406.9523709127939
2012-04,988.6810793133627
2012-05,837.7861243999465
2012-06,807.1224901687941
2012-07,796.9432104275572
2012-08,797.0035028455071
2012-09,813.8443469091053
2012-10,753.6750872808038
2012-11,795.27452826823
2012-12,945.0529879133298
2013-01,1102.909681173029
2013-02,873.4208522908435
2013-03,970.7834055853147
2013-04,1018.4576090699325
2013-05,982.5966485028493
2013-06,950.027421775475
2013-07,1038.1460445423247
2013-08,1166.0451037498676
2013-09,1314.235007043296
2013-10,1417.4054964959964
2013-11,1708.0149249902652
2013-12,1570.5044496101325
2014-01,1195.8771416441396
2014-02,1428.0869727893578
2014-03,1662.6370070009443
2014-04,1698.2880570155414
2014-05,1764.3777103730433
2014-06,1973.319149302337
2014-07,2097.7870551731544
2014-08,1822.6401541958005
2014-09,2036.6116146210065
2014-10,2101.164229442878
2014-11,2076.0253906984776
2014-12,1872.0094576223178
2015-01,1774.6124300655486
2015-02,2133.574445924798
2015-03,2339.538153610089
2015-04,2310.2040134043123
2015-05,2113.714325499836
2015-06,2022.2329194053702
2015-07,1819.4281130020174
2015-08,1795.864285262959
2015-09,1483.5896645114967
2015-10,2150.3633400898275
2015-11,1937.7907922398965
2015-12,1864.2046970724043
2016-01,1931.5874425340025
2016-02,2092.708558957992
2016-03,2020.5031561983365
2016-04,2100.575394582047
2016-05,2107.3436317729265
2016-06,2171.3311988705873
2016-07,2166.1840369838396
2016-08,2118.6256622862134
2016-09,2231.7092300603804
2016-10,2213.450265413266
2016-11,2013.1482880603423
2016-12,1959.1268265818505
2017-01,2320.0855541280234
2017-02,2340.803227625069
2017-03,2640.78983522233
2017-04,2710.046696
2017-05,2872.213486
2017-06,2773.145445
2017-07,2583.466057
2017-08,2871.787193
2017-09,3168.619618
2017-10,3345.708589
2017-11,3188.304723
2017-12,3401.743542
2018-01,3475.286693
2018-02,3299.028177
2018-03,3212.8793057401504
2018-04,3062.653056572939
2018-05,2393.149608006393
2018-06,1867.6230353892092
2018-07,2130.993341963632
2018-08,1627.6947049232049
2018-09,1698.012369068044
2018-10,1665.9529968088277
2018-11,1759.51027565819
2018-12,1675.7616251619809
2019-01,2006.2329309921859
2019-02,1794.056003813068
2019-03,1642.1100526966577
2019-04,1513.1610637577219
