Date,MSCI EM WITH BRAZIL ADR
2003-05,1000.0
2003-06,1061.9116143668602
2003-07,1129.0984578306927
2003-08,1201.669617844201
2003-09,1210.2894739494209
2003-10,1310.7806272179575
2003-11,1320.4328242934903
2003-12,1403.4370606835707
2004-01,1463.8652760285165
2004-02,1532.5423390535987
2004-03,1553.0105363061386
2004-04,1435.1405949790765
2004-05,1406.5140628526883
2004-06,1407.688262447851
2004-07,1371.393635252034
2004-08,1425.9784759938887
2004-09,1502.9098647067542
2004-10,1539.8818114401183
2004-11,1680.7510132766088
2004-12,1753.420319971058
2005-01,1763.9878599978092
2005-02,1903.0730645361184
2005-03,1781.9194906970115
2005-04,1737.246398340045
2005-05,1790.5664564189155
2005-06,1851.5185412207125
2005-07,1988.5369064503639
2005-08,1995.3017367931075
2005-09,2175.1171149078014
2005-10,2035.7393042546682
2005-11,2202.3576200360003
2005-12,2338.049663465607
2006-01,2597.2986207440226
2006-02,2585.8967884877334
2006-03,2615.862836271101
2006-04,2799.994687120203
2006-05,2513.020696931191
2006-06,2502.14360349934
2006-07,2540.3402594368517
2006-08,2605.753718586327
2006-09,2629.4456478538796
2006-10,2754.2112304602197
2006-11,2959.6550297065187
2006-12,3089.8502275652786
2007-01,3058.859317907565
2007-02,3038.529853054889
2007-03,3156.377350267157
2007-04,3307.3976812591177
2007-05,3467.045012869318
2007-06,3627.1292359186486
2007-07,3824.269851661473
2007-08,3749.2707493332973
2007-09,4163.500349142557
2007-10,4628.862650382228
2007-11,4298.922366806789
2007-12,4313.568368993936
2008-01,3784.0623196926344
2008-02,4048.2995192248186
2008-03,3837.8580057196455
2008-04,4144.273856837597
2008-05,4199.488652679324
2008-06,3777.6173403321613
2008-07,3643.561653226183
2008-08,3363.6541895658725
2008-09,2798.44392522905
2008-10,2028.903813215293
2008-11,1875.4518376978476
2008-12,2033.0287147116578
2009-01,1892.4852453273577
2009-02,1784.592461606806
2009-03,2039.6128947827067
2009-04,2374.1443221366935
2009-05,2779.676864869659
2009-06,2742.6913638401415
2009-07,3052.565326821005
2009-08,3034.6443874398733
2009-09,3310.6865133698784
2009-10,3313.4386197559547
2009-11,3461.018656872293
2009-12,3596.037477334565
2010-01,3394.989278317566
2010-02,3405.04917262426
2010-03,3683.3731310116864
2010-04,3727.1470760905086
2010-05,3391.8414284984924
2010-06,3378.7190128005104
2010-07,3651.3714328228384
2010-08,3580.774335936691
2010-09,3987.627942015723
2010-10,4103.680149077711
2010-11,4004.968454329523
2010-12,4302.507923685987
2011-01,4194.868219394289
2011-02,4146.59287983132
2011-03,4391.050591000748
2011-04,4535.870836283209
2011-05,4417.7424090595805
2011-06,4348.205204908803
2011-07,4343.174676844235
