Date,MSCI AC FAR EAST
1987-12,100.0
1988-01,105.3888
1988-02,113.1058
1988-03,121.5639
1988-04,122.9796
1988-05,117.5964
1988-06,113.6984
1988-07,118.8013
1988-08,109.7991
1988-09,114.3841
1988-10,123.8081
1988-11,134.4851
1988-12,135.3344
1989-01,136.2749
1989-02,138.7943
1989-03,134.2403
1989-04,134.381
1989-05,126.8543
1989-06,121.0447
1989-07,136.9116
1989-08,127.7492
1989-09,135.9185
1989-10,132.4263
1989-11,139.1403
1989-12,139.168
1990-01,131.1559
1990-02,118.44
1990-03,96.6925
1990-04,97.5999
1990-05,111.3171
1990-06,106.5829
1990-07,105.658
1990-08,95.0596
1990-09,79.5898
1990-10,97.9344
1990-11,86.6593
1990-12,90.7536
1991-01,93.5001
1991-02,105.2884
1991-03,99.5114
1991-04,101.7523
1991-05,101.4289
1991-06,94.4672
1991-07,97.4169
1991-08,92.2898
1991-09,99.5334
1991-10,103.6488
1991-11,97.0706
1991-12,100.2832
1992-01,96.6544
1992-02,89.6827
1992-03,80.9306
1992-04,76.887
1992-05,82.9372
1992-06,76.5148
1992-07,75.4645
1992-08,86.5047
1992-09,84.9281
1992-10,82.5181
1992-11,83.9094
1992-12,82.508
1993-01,82.6343
1993-02,86.419
1993-03,96.8013
1993-04,112.8871
1993-05,116.4499
1993-06,114.6574
1993-07,121.0677
1993-08,124.6713
1993-09,120.1947
1993-10,123.0033
1993-11,105.9544
1993-12,114.0893
1994-01,126.1634
1994-02,129.2815
1994-03,122.1597
1994-04,127.4714
1994-05,130.7188
1994-06,135.0804
1994-07,132.2085
1994-08,134.8072
1994-09,131.705
1994-10,135.1343
1994-11,127.2227
1994-12,127.864
1995-01,119.32260245694344
1995-02,116.56333213945243
1995-03,125.38130338646765
1995-04,130.22397761810547
1995-05,126.20010064190402
1995-06,120.9913606592093
1995-07,129.08521384807162
1995-08,123.72634814778776
1995-09,124.99960247995496
1995-10,119.002068284812
1995-11,124.40655831892278
1995-12,130.74663847221478
1996-01,131.65011552697385
1996-02,129.70971304986526
1996-03,133.55978627799172
1996-04,140.37586145200706
1996-05,134.33893617132674
1996-06,134.3378840256564
1996-07,127.5733978285758
1996-08,123.97544264744104
1996-09,127.99564628792504
1996-10,120.95247449986739
1996-11,124.46225383081809
1996-12,117.93998086593143
1997-01,109.15918234216302
1997-02,111.06459256227997
1997-03,106.68922637725292
1997-04,108.6045477457052
1997-05,118.7637171348286
1997-06,126.15578267308256
1997-07,123.45661249325308
1997-08,109.61892453314128
1997-09,108.1722693214923
1997-10,94.16901364206728
1997-11,88.35447412619031
1997-12,83.54033381142638
1998-01,87.93747829134101
1998-02,92.03198966854922
1998-03,86.66146493308523
1998-04,84.38112345067465
1998-05,77.99411161379523
1998-06,77.26369892616422
1998-07,76.06150477191277
1998-08,66.87389591459784
1998-09,66.62449661543123
1998-10,79.16111765007884
1998-11,83.53256587281557
1998-12,86.36420700942632
1999-01,86.31832352212047
1999-02,84.5068311954549
1999-03,95.80991020705821
1999-04,103.24443601154952
1999-05,97.68967166477957
1999-06,108.69976939839562
1999-07,115.94009955194855
1999-08,115.73123552690132
1999-09,119.39499823840598
1999-10,124.64254189492839
1999-11,131.3098973594791
1999-12,139.74167756317348
2000-01,134.2998579551421
2000-02,130.10045646647043
2000-03,139.93845919203463
2000-04,129.25784592711122
2000-05,121.9386575263997
2000-06,129.69971734423285
2000-07,117.2680308967792
2000-08,122.54240188668537
2000-09,114.50794141906985
2000-10,107.35361522574136
2000-11,102.69328519739794
2000-12,97.86981710911702
2001-01,100.19967543218421
2001-02,95.59918818311438
2001-03,90.85038014929448
2001-04,95.55079947138383
