Date,MSCI ACWI ex SPAIN
1998-12,1000.0
1999-01,1020.414338777035
1999-02,994.3912620243757
1999-03,1041.2884924444782
1999-04,1086.75270347481
1999-05,1048.8877242595377
1999-06,1102.3132980283397
1999-07,1097.8348590534938
1999-08,1096.414743165868
1999-09,1084.6709499831709
1999-10,1139.4595246463978
1999-11,1173.9060471801174
1999-12,1271.7358198175332
2000-01,1202.775609620188
2000-02,1205.2852628654346
2000-03,1286.2505259263196
2000-04,1229.1338073105926
2000-05,1198.405741890642
2000-06,1239.0609149853346
2000-07,1202.0447836951014
2000-08,1240.7224837224146
2000-09,1171.416013011066
2000-10,1148.8250261915155
2000-11,1077.7382590019001
2000-12,1094.4186904849093
2001-01,1121.1355592094706
2001-02,1026.4851794999124
2001-03,957.2588924327589
2001-04,1027.3180417486665
2001-05,1016.7061307493154
2001-06,985.8293835643307
2001-07,970.4152765243359
2001-08,925.0334108339331
2001-09,840.846643352699
2001-10,858.4155555259608
2001-11,911.1382425150256
2001-12,919.8084084447082
2002-01,895.1767541271041
2002-02,888.3501385226455
2002-03,928.740706670429
2002-04,898.6264769780408
2002-05,899.8598457801778
2002-06,845.2943878910373
2002-07,774.6203556624173
2002-08,776.2301919162771
2002-09,691.6068752409826
2002-10,741.9184362479706
2002-11,782.0635264534294
2002-12,744.7632125785824
2003-01,722.5983581985422
2003-02,709.6420027559165
2003-03,706.9991045775914
2003-04,769.6167941067511
2003-05,814.5207908331446
2003-06,830.0074732761072
2003-07,848.4625099529607
2003-08,869.0792761783855
2003-09,874.780515577163
2003-10,927.74712640994
2003-11,941.4871987464195
2003-12,1000.3811523595289
2004-01,1017.6114237189836
2004-02,1036.06705147177
2004-03,1031.0990883114023
2004-04,1007.2440630334265
2004-05,1015.7885784873752
2004-06,1036.4272287822073
2004-07,1003.440346065393
2004-08,1010.0264220982583
2004-09,1031.0394038967077
2004-10,1055.5563452248546
2004-11,1113.0422807195778
2004-12,1155.8965050983052
2005-01,1131.6934194101925
2005-02,1171.4032607788547
2005-03,1146.3074146112033
2005-04,1121.9883059098167
2005-05,1144.0548470695196
2005-06,1155.9940723676732
2005-07,1198.867765313129
2005-08,1208.684185712481
2005-09,1244.7720597062737
2005-10,1211.6645349735184
2005-11,1257.2533259233285
2005-12,1288.6502568314324
2006-01,1352.0301005577855
2006-02,1349.7505400794926
2006-03,1378.7573559069433
2006-04,1425.073361111785
2006-05,1369.7448084373427
2006-06,1369.4035163409792
2006-07,1378.4817034526143
2006-08,1414.7487978637155
2006-09,1430.6209241187032
2006-10,1483.641636461854
2006-11,1525.8012202969874
2006-12,1560.404934693639
2007-01,1575.9803120961521
2007-02,1568.3094413771967
2007-03,1600.1480245505875
2007-04,1673.0163405469123
2007-05,1723.4941906983092
2007-06,1719.7336064242052
2007-07,1692.798039982328
2007-08,1689.3845087591662
2007-09,1780.638467304708
2007-10,1848.1033203148231
2007-11,1765.492383320644
2007-12,1747.1757206187542
2008-01,1605.6976260870306
2008-02,1610.5292084610896
2008-03,1585.657074196027
2008-04,1676.0421190327522
2008-05,1704.9103789089363
2008-06,1566.1911064238318
2008-07,1525.5370414482702
2008-08,1494.6491036065788
2008-09,1307.8143301238931
2008-10,1050.2592879954175
2008-11,981.0422035936091
2008-12,1015.4438857184555
2009-01,930.2578702660189
2009-02,839.8916384455923
2009-03,909.6670993336552
2009-04,1017.1359722073471
2009-05,1119.141117052294
2009-06,1112.397567526804
2009-07,1209.5924708415257
2009-08,1252.745372238813
2009-09,1310.4909081838061
2009-10,1290.298856585209
2009-11,1343.855501559295
2009-12,1373.2023868691792
2010-01,1316.07683269326
2010-02,1335.3035566311169
2010-03,1422.5052693807602
2010-04,1426.7546731316097
2010-05,1294.2092219752847
2010-06,1254.2836447738928
2010-07,1354.3354828454992
2010-08,1307.9458188620288
2010-09,1433.3368788400335
2010-10,1485.1807755624784
2010-11,1456.9188241558948
2010-12,1563.608932046423
2011-01,1586.0509811254308
2011-02,1633.3667253387125
2011-03,1632.5895937656355
2011-04,1699.4301374962677
2011-05,1665.271386872092
2011-06,1639.3764328862824
2011-07,1614.528158326104
2011-08,1497.5256848946433
2011-09,1356.4328955200763
2011-10,1502.4648270504451
2011-11,1459.2509145817082
2011-12,1457.126262823905
2012-01,1543.0600001549458
2012-02,1622.0655576506217
2012-03,1634.8813538255065
2012-04,1619.183920318809
2012-05,1476.6757714238486
2012-06,1548.3417974665356
2012-07,1571.2809685650489
2012-08,1604.7127833775444
2012-09,1655.5149642166139
2012-10,1644.2586876765772
2012-11,1665.981739206348
2012-12,1704.0963234004782
2013-01,1782.6512077261746
2013-02,1784.3798220413612
