Date,WORLD WITH USA GROSS
2001-09,1000.0
2001-10,1019.2338459521729
2001-11,1079.6791901710628
2001-12,1086.604215938372
2002-01,1053.8056689473522
2002-02,1044.8362217985243
2002-03,1091.2403813667247
2002-04,1054.5770874945013
2002-05,1057.026617727368
2002-06,993.1080901608383
2002-07,909.5228888797288
2002-08,911.4140013258599
2002-09,811.3913031456701
2002-10,871.414975136415
2002-11,918.593263698661
2002-12,874.2572797776245
2003-01,847.8180217651457
2003-02,833.3249189479454
2003-03,831.0351832147628
2003-04,905.2557085181884
2003-05,957.4345713229169
2003-06,974.3601681452335
2003-07,994.3298058899009
2003-08,1016.0504855262775
2003-09,1022.4955141931633
2003-10,1083.37736813592
2003-11,1100.1329745874746
2003-12,1169.482281132888
2004-01,1188.5060626893348
2004-02,1208.8331005070945
2004-03,1201.2839572989128
2004-04,1177.3473412155752
2004-05,1188.8875342464326
2004-06,1213.807453254956
2004-07,1174.4985728981073
2004-08,1180.129990841628
2004-09,1202.8319145317669
2004-10,1232.5587400724116
2004-11,1297.850277574106
2004-12,1347.7883970133978
2005-01,1317.6967490791392
2005-02,1360.036309090391
2005-03,1334.1990940411106
2005-04,1306.0612007902178
2005-05,1330.2676759438136
2005-06,1342.36558865195
2005-07,1389.5558598078078
2005-08,1400.675465867557
2005-09,1437.4604404406991
2005-10,1402.8713219815877
2005-11,1450.3783350545016
2005-12,1482.8806987311286
2006-01,1549.3853731295071
2006-02,1547.7290679398382
2006-03,1582.460632155054
2006-04,1631.3498222902192
2006-05,1577.0856696834182
2006-06,1577.2735663522399
2006-07,1587.4595838769283
2006-08,1629.4779740254976
2006-09,1649.3771623918067
2006-10,1710.2506599543624
2006-11,1753.018122164811
2006-12,1789.1286798589504
2007-01,1810.6065611466947
2007-02,1801.9311474876679
2007-03,1835.6819901589943
2007-04,1917.7488035181166
2007-05,1973.3544849184366
2007-06,1958.8256422183053
2007-07,1915.8438919433152
2007-08,1915.2233201925915
2007-09,2006.954661806739
2007-10,2068.9473301377598
2007-11,1985.3150736655725
2007-12,1960.276056622517
2008-01,1810.9100554657075
2008-02,1801.3051656320588
2008-03,1784.9251358136135
2008-04,1880.1731154653494
2008-05,1911.1856243644602
2008-06,1759.4358369939239
2008-07,1716.8923240634701
2008-08,1693.5516711295286
2008-09,1492.8529700309687
2008-10,1210.1949921167234
2008-11,1132.695509132955
2008-12,1169.6257115128312
2009-01,1067.4962470794799
2009-02,958.948615319727
2009-03,1031.8319009333395
2009-04,1148.624393076895
2009-05,1254.1439515839959
2009-06,1249.0150576778403
2009-07,1355.1808175493277
2009-08,1411.6895471784155
2009-09,1468.4445475461891
2009-10,1442.6334952202442
2009-11,1502.314171495486
2009-12,1529.7754157589673
2010-01,1466.8407758604044
2010-02,1488.1031210707267
2010-03,1581.0906681743604
2010-04,1582.1954120240212
2010-05,1432.1440960110483
2010-06,1383.5750624809941
2010-07,1496.1091244191643
2010-08,1440.8630770455609
2010-09,1575.7715289376301
2010-10,1634.8597549069193
2010-11,1600.3325805370482
2010-12,1718.5254618398283
2011-01,1757.7523638708028
2011-02,1820.073926818255
2011-03,1802.9606015748661
2011-04,1880.6974854885566
2011-05,1843.5860799846673
2011-06,1815.1312742797852
2011-07,1782.7006460914245
2011-08,1657.8437092431736
2011-09,1515.3136458307065
2011-10,1672.4813191566786
2011-11,1632.605992951435
2011-12,1632.3150051920538
2012-01,1714.7100416140715
2012-02,1799.4168178329776
2012-03,1823.5411544762353
2012-04,1804.1040080864532
2012-05,1650.0900221393172
2012-06,1734.9935026242536
2012-07,1757.778907193173
2012-08,1803.231275141207
2012-09,1853.5780558288156
2012-10,1841.5793264302579
2012-11,1866.1553002618216
2012-12,1902.2547784669225
2013-01,1999.7420740987739
2013-02,2004.0432859030245
2013-03,2052.0191037358018
2013-04,2118.099941723209
2013-05,2120.7800268655437
2013-06,2069.370027623452
2013-07,2178.9176309446448
2013-08,2133.4675577114986
2013-09,2241.003835603556
2013-10,2329.2579646100553
2013-11,2371.733466784361
2013-12,2422.8072608236153
2014-01,2333.6154763576847
2014-02,2451.6784212080593
2014-03,2456.6208191694204
2014-04,2483.1420657082763
2014-05,2534.3379731486416
2014-06,2580.765585484317
2014-07,2540.199897116707
2014-08,2597.217411846366
2014-09,2527.7952949965447
2014-10,2544.752107553882
2014-11,2596.949108876801
2014-12,2556.151199454711
2015-01,2510.4361893740347
2015-02,2658.767996132592
2015-03,2618.868317899452
2015-04,2681.6380156117248
2015-05,2693.1532653568242
2015-06,2631.6260609271826
2015-07,2679.7399737132178
2015-08,2503.511142287988
2015-09,2412.3012486356497
2015-10,2604.163356676252
2015-11,2592.4692635956326
2015-12,2547.9474160260274
2016-01,2396.1656941740885
2016-02,2379.792229920418
2016-03,2543.0280628933638
2016-04,2584.8819484260007
2016-05,2601.773063965006
2016-06,2573.8671965605395
2016-07,2683.301289543804
2016-08,2686.8882717278757
2016-09,2702.373397133088
2016-10,2650.770811024871
2016-11,2690.331779287787
2016-12,2755.6854677109773
2017-01,2822.836955871957
2017-02,2902.5399469788754
2017-03,2935.536952509528
2017-04,2980.4522987843634
2017-05,3046.3891351854054
2017-06,3059.2695722827807
2017-07,3133.430436946228
2017-08,3139.423458948429
2017-09,3211.121511757129
2017-10,3272.6151082383253
2017-11,3345.201360856468
2017-12,3391.4859505602694
2018-01,3571.321605595015
2018-02,3424.876400173692
2018-03,3352.442699540922
2018-04,3393.035517792343
2018-05,3417.5168767006076
2018-06,3417.1271542500913
2018-07,3524.718963479152
2018-08,3569.9819689745473
2018-09,3591.3548080154023
2018-10,3328.500387780292
2018-11,3368.0518045435424
2018-12,3113.226276029953
2019-01,3356.5086998405172
2019-02,3459.128184072549
2019-03,3506.9121092612354
2019-04,3633.2814176854345
2019-05,3426.9087185171293
2019-06,3654.1674382664755
2019-07,3673.285569592275
2019-08,3599.909704269316
2019-09,3678.23356876811
2019-10,3772.857095531574
2019-11,3879.7306506471364
2019-12,3997.445704893937
2020-01,3974.241897201312
2020-02,3640.0260312908836
2020-03,3160.6837037140117
2020-04,3507.7036595920245
2020-05,3679.4679834931662
2020-06,3778.355447765357
2020-07,3960.375528612292
2020-08,4226.55523927777
2020-09,4082.3876663824867
2020-10,3958.2052560065813
2020-11,4465.95570228873
2020-12,4656.873840677799
2021-01,4611.6984726056335
2021-02,4731.427280421673
2021-03,4891.583288866954
2021-04,5121.461490123528
2021-05,5198.215316365697
2021-06,5277.400079
2021-07,5373.2194164926295
2021-08,5508.621236573402
2021-09,5282.31753631744
2021-10,5582.942275499016
2021-11,5462.463068838367
2021-12,5697.5674221580875
2022-01,5397.248701963136
2022-02,5262.491700606629
2022-03,5410.18994744537
2022-04,4962.9163988455275
2022-05,4970.487809420144
2022-06,4541.715745726683
2022-07,4903.610196799745
2022-08,4700.522379426407
2022-09,4265.488327062786
2022-10,4572.96571287871
2022-11,4893.181459052048
2022-12,4687.235605775449
2023-01,5020.158544527869
2023-02,4901.425441277593
2023-03,5056.441150041149
2023-04,5147.661799704771
2023-05,5100.204269126567
2023-06,5410.591806212359
