Date,AC AP WITH PARTIAL A SHARES
2008-11,1033.354507192489
2008-12,1120.7900912657674
2009-01,1040.9936232625425
2009-02,943.9853701058456
2009-03,1022.1485653479141
2009-04,1149.612441374926
2009-05,1292.7195295357906
2009-06,1310.361757580239
2009-07,1423.4564351761194
2009-08,1445.2616952400329
2009-09,1510.3740456855328
2009-10,1491.6977856505455
2009-11,1509.529101839034
2009-12,1546.149305100096
2010-01,1500.0946026332347
2010-02,1518.9620418823142
2010-03,1617.2815805097569
2010-04,1628.5542397906502
2010-05,1472.1479908843712
2010-06,1465.6048979903615
2010-07,1551.4478248031637
2010-08,1522.1009616883161
2010-09,1658.116978623134
2010-10,1699.2518750863512
2010-11,1692.548190814431
2010-12,1812.63620199045
2011-01,1799.2395263991639
2011-02,1813.8889402199788
2011-03,1800.8597988259291
2011-04,1851.9766799093043
2011-05,1814.4294924121218
2011-06,1801.8558379611954
2011-07,1829.7902575877952
2011-08,1677.555818482395
2011-09,1527.6679820003556
2011-10,1644.8180444812187
2011-11,1537.1447095632825
2011-12,1542.479676252255
2012-01,1665.615741964473
2012-02,1751.8141928339103
2012-03,1728.210557879026
2012-04,1712.5577386416483
2012-05,1544.4773910658505
2012-06,1612.7832795578986
2012-07,1636.294836553749
2012-08,1628.6062911237636
2012-09,1703.692930967233
2012-10,1697.3336269720814
2012-11,1736.958810884142
2012-12,1805.408511275981
2013-01,1860.5058700108323
2013-02,1889.349538167601
2013-03,1904.209494928944
2013-04,1997.5274088084207
2013-05,1902.8365249674403
2013-06,1846.879213720189
2013-07,1874.5012249116182
2013-08,1850.8744378982888
2013-09,1979.0004319386
2013-10,2033.3214252264218
2013-11,2033.5727852590662
2013-12,2025.1070786060486
2014-01,1932.7751815826405
2014-02,1979.5375364789215
2014-03,1990.8375014381013
2014-04,1982.8221109553676
2014-05,2053.1352411733637
2014-06,2116.667775540982
2014-07,2168.129826600742
2014-08,2160.426361956472
2014-09,2059.7883747714336
2014-10,2083.193133665857
2014-11,2070.426606927486
2014-12,2035.1053482440125
2015-01,2071.5302873770975
2015-02,2160.8856925529626
2015-03,2174.805763035561
2015-04,2287.2272515535024
2015-05,2263.9783029785676
2015-06,2194.3899010501605
2015-07,2131.0893717773192
2015-08,1952.9457754432995
2015-09,1871.2313692587315
2015-10,2033.2632161507213
2015-11,1995.6684776624118
2015-12,2001.5440833131154
2016-01,1836.524069870916
2016-02,1806.4141424918757
2016-03,1966.3989335072517
2016-04,2001.6238174668904
2016-05,1975.5746571626826
2016-06,1981.3641330215266
2016-07,2098.7648824200983
2016-08,2129.9424635173054
2016-09,2167.2836670823785
2016-10,2156.9946482899136
2017-04,2333.639413
2017-05,2398.773567
2017-06,2437.301669
2017-07,2534.690655
2017-08,2551.774768
2017-09,2567.938315
2017-10,2677.214269
2017-11,2716.877344
2017-12,2776.842031
2018-01,2942.202426
2018-02,2838.272321
2018-03,2778.88999009814
2018-04,2802.4599823863505
2018-05,2779.1404446940032
2018-06,2688.274502450362
2018-07,2711.1496991153736
2018-08,2694.476652238644
2018-09,2704.161328562687
2018-10,2445.7332117224682
2018-11,2515.727026665159
2018-12,2408.909786990147
2019-01,2573.4981057726955
2019-02,2610.8027785171666
2019-03,2643.770933844664
2019-04,2686.9701297808333
2019-05,2529.9527276743725
2019-06,2667.1541431130886
2019-07,2646.950078887213
2019-08,2564.710374105214
2019-09,2634.7588021628862
2019-10,2749.6475950356426
2019-11,2763.3828471380293
2019-12,2884.3582617657376
2020-01,2801.934428555404
2020-02,2629.42935386304
2020-03,2324.8947975682668
2020-04,2515.495992786004
2020-05,2566.588561616818
2020-06,2696.75554042994
2020-07,2814.3377472671846
2020-08,2957.9270581751625
2020-09,2927.045650465456
2020-10,2955.5296528570266
2020-11,3261.2108062311577
2020-12,3449.942073580962
