Date,ZHONG HUA + HSBC
2004-11,1000.0
2004-12,1004.5939388468481
2005-01,970.4880958330526
2005-02,1011.6733613426095
2005-03,957.2589885999536
2005-04,975.9435852722776
2005-05,979.671176428825
2005-06,1004.8188612182511
2005-07,1046.9203962484094
2005-08,1041.5935689544767
2005-09,1074.77392208585
2005-10,1007.1367280506562
2005-11,1048.6372177940639
2005-12,1061.056725143855
2006-01,1137.782423244543
2006-02,1161.171302815726
2006-03,1173.1567709738338
2006-04,1221.7961750929414
2006-05,1194.464933693335
2006-06,1204.3401136938492
2006-07,1233.6193802523637
2006-08,1263.2318717159285
2006-09,1284.0036816972236
2006-10,1335.9716636374885
2006-11,1406.7377109865795
2006-12,1504.078694709798
2007-01,1483.6458500844674
2007-02,1444.0320409554379
2007-03,1478.690916492834
2007-04,1537.4344724600014
2007-05,1597.9900616637217
2007-06,1676.2913529851683
2007-07,1793.57534535597
2007-08,1848.2307444047676
2007-09,2118.041332382547
2007-10,2394.1190130756745
2007-11,2141.5544873409763
2007-12,2090.6979689454242
2008-01,1737.5489089956943
2008-02,1831.9015190982916
2008-03,1699.9079598255694
2008-04,1894.8183430256352
2008-05,1837.634228946255
2008-06,1636.4972949706416
2008-07,1670.3812612558852
2008-08,1564.6254907037444
2008-09,1324.9603011875856
2008-10,1023.7164917570012
2008-11,1025.3173999972723
2008-12,1062.07266524862
2009-01,979.4093895005533
2009-02,938.2277059572416
2009-03,996.7595965049244
2009-04,1150.3998511353723
2009-05,1370.9502114651364
2009-06,1386.2837520128958
2009-07,1562.86492269913
2009-08,1494.7087140947265
2009-09,1591.931147218523
2009-10,1648.1175601248685
2009-11,1681.3174399642044
2009-12,1688.7543535275356
2010-01,1557.6159091549048
2010-02,1599.7312072674163
2010-03,1647.7485082149178
2010-04,1641.7220299236426
2010-05,1531.634930609496
2010-06,1559.4840006570766
2010-07,1648.00974053849
2010-08,1612.7723056035477
2010-09,1768.313324251509
2010-10,1821.858307389592
2010-11,1801.6987408598789
2010-12,1799.6738321634255
2011-01,1819.2176137809302
2011-02,1804.1495439553528
2011-03,1838.0740077517457
2011-04,1876.580868227079
2011-05,1877.5642691532066
2011-06,1800.6645685193819
2011-07,1799.463707111182
2011-08,1642.5413328107493
2011-09,1385.7284308354824
2011-10,1585.6434526182002
2011-11,1436.0374162015255
2011-12,1470.2611485469686
2012-01,1623.3174015632649
2012-02,1740.392700972435
2012-03,1646.2889261082676
2012-04,1691.8331456485917
2012-05,1513.0406769520532
2012-06,1576.71777213373
2012-07,1594.8327451496928
2012-08,1576.8739746026351
2012-09,1691.796985044697
2012-10,1767.843653382023
2012-11,1810.8121411288573
2012-12,1873.4285557124238
2013-01,1972.3699568027355
2013-02,1916.5431937466014
2013-03,1849.9229297060872
2013-04,1884.3555228497848
2013-05,1874.3696358576942
2013-06,1758.1994418499908
2013-07,1839.446502385392
2013-08,1841.213615799107
2013-09,1934.7611938712569
2013-10,1977.3142659619416
2013-11,2044.340329181158
2013-12,1996.2253145181198
2014-01,1877.0861011761942
2014-02,1934.5932167505275
2014-03,1896.2318570505654
2014-04,1886.5408709156102
2014-05,1976.4786608246966
2014-06,2005.4254160165654
2014-07,2151.5980526774965
2014-08,2151.845248160458
2014-09,2013.2023944974196
2014-10,2102.1182350082618
2014-11,2118.4719049811656
2014-12,2096.3978185532283
2015-01,2150.886617010712
2015-02,2179.433828686818
2015-03,2211.023462743541
2015-04,2530.5662217328213
2015-05,2461.3285420984525
2015-06,2344.0273852335176
2015-07,2174.6797483900295
2015-08,1915.084843310592
2015-09,1868.177155500213
2015-10,2031.0069409044752
2015-11,1974.4418572478605
2015-12,1962.5946781717314
2016-01,1731.4257505611074
2016-02,1687.2241039898972
2016-03,1859.912313343672
2016-04,1874.1731245329574
2016-05,1861.4154234546934
2016-06,1868.5431748931112
2016-07,1955.399551010867
2016-08,2079.2899790458155
2016-09,2132.229815417762
2016-10,2105.2999750920635
2016-11,2088.6901027512317
2016-12,2002.9965092759269
2017-01,2144.3025691870052
2017-02,2195.9236817663877
2017-03,2246.69823794904
2017-04,2306.484143
2017-05,2419.209933
2017-06,2476.516112
2017-07,2664.069312
2017-08,2744.778941
2017-09,2764.391595
2017-10,2843.317998
2017-11,2900.808335
2017-12,2962.860877
2018-01,3261.153274
2018-02,3077.432172
2018-03,2975.367436
2018-04,3012.018466796721
2018-05,3048.4844286297625
2018-06,2896.944722917187
2018-07,2860.3089299301805
2018-08,2755.0338140887807
2018-09,2728.3320441242186
2018-10,2429.2109165486377
2018-11,2600.9947940501665
2018-12,2484.238575000797
2019-01,2723.897084740365
2019-02,2823.1409838985696
2019-03,2879.365623468646
2019-04,2943.618350737322
2019-05,2619.7375613248078
2019-06,2813.1458414100016
2019-07,2777.3135118560217
2019-08,2625.559357360563
2019-09,2633.3576779550126
2019-10,2736.268924006077
2019-11,2759.5917283634117
2019-12,2961.8354679278586
2020-01,2819.062054561826
2020-02,2826.2641014564088
2020-03,2596.836962833372
2020-04,2742.2585754176616
2020-05,2680.312742919083
2020-06,2923.0562355003553
2020-07,3142.2281414688878
2020-08,3322.3014049173953
2020-09,3212.0046101787266
2020-10,3354.464087065548
2020-11,3507.580125233807
2020-12,3610.83151517957
2021-01,3842.021506596667
2021-02,3849.755407452468
2021-03,3649.622412524323
2021-04,3716.6892781058073
2021-05,3749.415385432663
2021-06,3732.292930173867
2021-07,3285.645158616012
2021-08,3279.652765095747
2021-09,3113.618558438746
2021-10,3215.537854038485
2021-11,3023.0337337430806
2021-12,2957.2470062085767
2022-01,2911.4447196032684
2022-02,2805.3302781858783
2022-03,2629.993007116385
2022-04,2510.06567219013
2022-05,2553.9676479222144
2022-06,2691.591810145435
2022-07,2468.4795974667313
2022-08,2458.328681244517
2022-09,2114.8941799238864
2022-10,1789.5126529796694
2022-11,2294.279273060835
2022-12,2421.8087031883874
2023-01,2683.2161516566703
2023-02,2435.8544658820497
2023-03,2516.620398042973
2023-04,2422.7561562832243
2023-05,2234.68417915414
2023-06,2324.5756702154226
