Date,MSCI ZHONG HUA (A ONSHORE) ex HONG KONG
2004-12,964.0191490556062
2005-01,932.5607008350217
2005-02,1007.3012520953583
2005-03,936.2960014352494
2005-04,934.7737425075513
2005-05,906.5307193513542
2005-06,937.4892619407769
2005-07,991.7029804570983
2005-08,1015.9262539343728
2005-09,1048.005997514701
2005-10,964.8791430134459
2005-11,1005.4983709242949
2005-12,1049.5331335654803
2006-01,1178.7639122945932
2006-02,1222.4181308757245
2006-03,1253.0879114354213
2006-04,1344.819390935292
2006-05,1383.0267740085728
2006-06,1420.4450725759898
2006-07,1406.7119107710143
2006-08,1444.2935801327508
2006-09,1508.2962879713352
2006-10,1601.5591121226894
2006-11,1816.25551620483
2006-12,2115.1025145534004
2007-01,2201.331119962565
2007-02,2255.1687536654517
2007-03,2405.1265936782884
2007-04,2790.37491164434
2007-05,3065.7365094783686
2007-06,3155.566691982241
2007-07,3630.6179462944533
2007-08,4084.520540780017
2007-09,4565.831929316625
2007-10,4959.825849259279
2007-11,4230.500605223409
2007-12,4440.823959662559
2008-01,3753.4911465834984
2008-02,3987.747471717791
2008-03,3374.1339771790313
2008-04,3687.6437790616064
2008-05,3452.4864213596197
2008-06,2881.3317547723964
2008-07,2949.9496106251613
2008-08,2598.684840602221
2008-09,2240.575745229919
2008-10,1703.590399934808
2008-11,1838.358788286744
2008-12,1929.1398853968997
2009-01,1955.6535725276942
2009-02,1989.7027316565286
2009-03,2299.7196833346993
2009-04,2476.634359119268
2009-05,2737.6403490925104
2009-06,2996.5435871289687
2009-07,3427.857992368215
2009-08,2877.11289146822
2009-09,3032.2170639713545
2009-10,3272.1796788856213
2009-11,3445.1297663100936
2009-12,3478.6393887324625
2010-01,3162.6945558372563
2010-02,3242.3655176518514
2010-03,3351.3076155589356
2010-04,3198.1445041792276
2010-05,2960.706435788821
2010-06,2856.732891675498
2010-07,3111.44416512152
2010-08,3120.7009993698152
2010-09,3299.853269654707
2010-10,3611.4225931602227
2010-11,3471.8979012309273
2010-12,3463.3101153003977
2011-01,3392.1436793251737
2011-02,3499.1392075352614
2011-03,3561.2514959084224
2011-04,3574.8992063297155
2011-05,3454.728636427696
2011-06,3455.4422471725766
2011-07,3424.4832661900905
2011-08,3218.0793510434332
2011-09,2800.7510809301757
2011-10,3046.14572213693
2011-11,2826.9437639675016
2011-12,2740.748971229119
2012-01,2929.5691590267174
2012-02,3145.0502139869004
2012-03,2927.431683316011
2012-04,3080.6077575023814
2012-05,2942.3213732028826
2012-06,2878.318600629613
2012-07,2803.3170815190497
2012-08,2693.8854168017738
2012-09,2845.988961561593
2012-10,2907.4255614424846
2012-11,2842.8651874192747
2012-12,3163.6928606126457
2013-01,3336.8988817497066
2013-02,3277.2233762123255
2013-03,3097.476392499377
2013-04,3094.157781190127
2013-05,3219.961983128254
2013-06,2860.681161474751
2013-07,2939.650667401969
2013-08,3068.371820536204
2013-09,3215.4361486962025
2013-10,3224.9879121496933
2013-11,3355.9248150161807
2013-12,3238.1160153405444
2014-01,3058.8763734371482
2014-02,3061.7489029519725
2014-03,2989.6789630871785
2014-04,2947.2639462717866
2014-05,3022.0646446269902
2014-06,3104.983957617174
2014-07,3391.2488903892336
2014-08,3404.760273155492
2014-09,3401.961505127955
2014-10,3518.0128466067904
2014-11,3734.6729829265387
2014-12,4185.222499226576
2015-01,4170.075155009015
2015-02,4330.731844589563
2015-03,4802.698340870364
2015-04,5615.058945002077
2015-05,5719.001738434494
2015-06,5304.668221736138
2015-07,4604.058202478253
2015-08,3981.602438796306
2015-09,3820.826104878657
2015-10,4242.171818922991
2015-11,4194.570703550169
2015-12,4255.530403876926
2016-01,3362.151549717385
2016-02,3297.70380257273
2016-03,3735.3112979181906
2016-04,3668.8888042598724
2016-05,3616.8191912574002
2016-06,3648.388309529612
2016-07,3738.6047446977313
2016-08,3927.132492375573
2016-09,3918.88296070573
2016-10,3905.975656676427
2017-04,4016.485421
2017-05,4106.922927
2017-06,4301.460771
2017-07,4549.963081
2017-08,4744.568348
2017-09,4778.69454
2017-10,4939.316811
2017-11,4895.254702
2017-12,4976.255671
2018-01,5454.688408
2018-02,5100.299912
2018-03,4966.797457630184
2018-04,4814.4051644077035
2018-05,4820.520267474974
2018-06,4436.026277455684
2018-07,4328.913491596482
2018-08,4109.262748432737
2018-09,4116.696511335324
2018-10,3671.4182207635977
2018-11,3844.988155756012
2018-12,3655.578921888876
2019-01,4018.4723792890363
2019-02,4380.1755895044325
2019-03,4566.553730920005
2019-04,4622.602326560573
2019-05,4114.277553987792
2019-06,4396.183828688858
2019-07,4398.329181215255
2019-08,4218.756643373397
2019-09,4234.006872451915
2019-10,4378.529964931247
2019-11,4393.875195642919
2019-12,4760.758352076382
2020-01,4639.510480248569
2020-02,4629.631493439948
2020-03,4286.2316927631155
2020-04,4575.659405988514
2020-05,4527.749496354551
2020-06,4959.570989447532
2020-07,5564.1290892363395
2020-08,5836.654326042933
2020-09,5615.7970357715685
2020-10,5862.823494752836
2020-11,6144.847597368698
2020-12,6425.0047339267
