Date,EM WITH BRAZIL + INDIA + RUSSIA DR
2010-02,1000.0
2010-03,1079.895206661578
2010-04,1093.2543720181698
2010-05,994.1979205362989
2010-06,986.76100465813
2010-07,1072.7080352591531
2010-08,1052.1164832131815
2010-09,1168.9627548938172
2010-10,1202.8293852427453
2010-11,1179.1151948327047
2010-12,1265.4848596787547
2011-01,1240.7221462241196
2011-02,1227.5687617086805
2011-03,1296.6850280039093
2011-04,1342.7427725528855
2011-05,1307.5731599569508
2011-06,1284.2402295345003
2011-07,1282.947088186711
2011-08,1169.2634375113387
2011-09,996.5547190628797
2011-10,1126.2062498350674
2011-11,1059.6411212155879
2011-12,1050.6456299387287
2012-01,1159.777788022982
2012-02,1228.3243328115673
2012-03,1192.0288602857902
2012-04,1182.929848385715
2012-05,1051.970209650499
2012-06,1093.5049459015609
2012-07,1115.2975541388666
2012-08,1112.132581189859
2012-09,1177.2979063463818
2012-10,1171.7138645977236
2012-11,1185.9197619842419
2012-12,1248.514268133662
2013-01,1260.5001699663026
2013-02,1248.9351299489817
2013-03,1227.0787209482758
2013-04,1233.1577818453757
2013-05,1203.4867571919933
2013-06,1131.1937549438594
2013-07,1148.7026371937518
2013-08,1135.7478404032936
2013-09,1206.2059020511342
2013-10,1261.0271429071413
2013-11,1249.356378641898
2013-12,1231.0604428438046
2014-01,1149.5948814873525
2014-02,1189.6877048648732
2014-03,1216.228459532333
2014-04,1222.2714299512077
2014-05,1262.9068540702285
2014-06,1293.390258378266
2014-07,1322.55088292888
2014-08,1348.4410262393772
2014-09,1251.852809883413
2014-10,1263.9275851720136
2014-11,1250.8696065390168
2014-12,1200.2305752243744
2015-01,1201.8919364843857
2015-02,1240.8477140192276
2015-03,1227.49056422033
2015-04,1332.4451857317488
2015-05,1276.849164091232
2015-06,1237.3393354524374
2015-07,1146.1541415687454
2015-08,1044.9862129244452
2015-09,1012.5123164946926
2015-10,1090.314808443459
2015-11,1048.4630060597947
2015-12,1020.700921084643
2016-01,955.2485885468375
2016-02,956.5099133231383
2016-03,1079.92095570634
2016-04,1084.5672420117091
2016-05,1042.5605991082227
2016-06,1082.1090783216857
2016-07,1133.445907303946
2016-08,1164.8762824382668
2016-09,1182.977762823525
2016-10,1182.6854217114085
2016-11,1135.1002536763954
2016-12,1136.0061730449743
2017-01,1198.0715156695196
2017-02,1231.0770671320752
2017-03,1262.330387309787
2017-04,1288.9527630351893
2017-05,1333.3801782252438
2017-06,1351.5879225446622
2017-07,1428.9353331188213
2017-08,1462.9323019362948
2017-09,1458.5527268392652
2017-10,1509.346833568162
2017-11,1514.7182302850765
2017-12,1570.1368932620028
2018-01,1704.8256519094186
2018-02,1629.0833521896325
2018-03,1601.648096212823
2018-04,1590.603265508693
2018-05,1539.8521899629072
2018-06,1474.5116199141212
2018-07,1500.3256105703215
2018-08,1460.8787753911736
2018-09,1462.4382782482655
2018-10,1323.8752451453474
2018-11,1373.5385143986778
2018-12,1333.4486779096485
2019-01,1459.6893761234685
2019-02,1464.9585154244808
2019-03,1471.042547888565
2019-04,1505.9793165317963
2019-05,1380.1538510715075
2019-06,1476.861587289417
2019-07,1461.3553735796465
2019-08,1389.450801683758
2019-09,1414.6908595935993
2019-10,1471.142096671796
2019-11,1472.31556666307
2019-12,1589.627515057319
2020-01,1509.3784808852429
2020-02,1437.2410312634208
2020-03,1239.0531809909626
2020-04,1346.274926386369
2020-05,1357.8169140083928
2020-06,1459.4906880206308
2020-07,1586.977517286872
2020-08,1626.8062595266733
2020-09,1602.5381084330327
2020-10,1640.5713551413974
2020-11,1790.8757225057298
2020-12,1917.7204173311916
2021-01,1993.3868803314413
2021-02,2004.811477012004
2021-03,1968.448657793507
2021-04,2023.1510080039582
2021-05,2057.3804444196944
2021-06,2063.054382786047
2021-07,1910.2324763146003
2021-08,1944.9341339239743
2021-09,1861.1644011883639
2021-10,1890.3361599773573
2021-11,1809.448133
2021-12,1846.8803841009553
2022-01,1807.1701388849738
2022-02,1744.691955062367
2022-03,1702.3040348592242
2022-04,1600.3349615477628
2022-05,1620.2345975200196
2022-06,1520.0320023021018
2022-07,1497.679148346126
2022-08,1492.4046429617315
2022-09,1303.9668309246997
2022-10,1248.2800067115097
2022-11,1464.528365013378
2022-12,1451.8826035023662
2023-01,1591.381585481248
2023-02,1486.2596418801297
2023-03,1536.1666228285421
2023-04,1503.9298270260208
2023-05,1467.8154492820822
2023-06,1517.8637222981126
