Date,MSCI ACWI WITH BRAZIL + INDIA + RUSSIA DR
2010-02,1000.0
2010-03,1064.4949531162436
2010-04,1066.6910100754442
2010-05,966.0197650770085
2010-06,936.2216307660774
2010-07,1013.009960457894
2010-08,977.7466002236506
2010-09,1071.3714717027315
2010-10,1110.4129847502966
2010-11,1087.1523559101047
2010-12,1167.3627383510257
2011-01,1187.8167757046785
2011-02,1223.341281942096
2011-03,1221.2142567299172
2011-04,1272.7197805975231
2011-05,1246.5939585635135
2011-06,1226.986831372935
2011-07,1207.5939656604005
2011-08,1120.2378551257366
2011-09,1015.451599711701
2011-10,1123.869571811226
2011-11,1092.3957307509154
2011-12,1091.144868484733
2012-01,1152.9524641815472
2012-02,1211.2604837660022
2012-03,1221.1253979888047
2012-04,1208.5445128718982
2012-05,1101.7386008014594
2012-06,1156.8921043679102
2012-07,1172.9897474423676
2012-08,1199.4315892900179
2012-09,1237.0555007747294
2012-10,1229.2968321415904
2012-11,1245.5250421567257
2012-12,1274.48346753821
2013-01,1333.4129241043997
2013-02,1334.5257398150168
2013-03,1360.100794680687
2013-04,1399.782140998486
2013-05,1397.695611058093
2013-06,1358.4617491056526
2013-07,1425.1341399454118
2013-08,1396.767550340841
2013-09,1468.803460204117
2013-10,1527.5531524521034
2013-11,1551.1297479395416
2013-12,1578.9145047570273
2014-01,1516.2961610842908
2014-02,1590.7613779983028
2014-03,1596.9898261554056
2014-04,1613.3379419237801
2014-05,1648.5348016360208
2014-06,1679.678518272293
2014-07,1659.5992635663188
2014-08,1696.3657923731753
2014-09,1643.2927936637
2014-10,1654.785645312138
2014-11,1683.7498441185526
2014-12,1653.3102819266978
2015-01,1626.723098547881
2015-02,1718.701114064913
2015-03,1693.6100268513849
2015-04,1744.1078399098894
2015-05,1743.5321378570054
2015-06,1702.3209348636185
2015-07,1718.3229344088056
2015-08,1601.8970422712966
2015-09,1544.2833995652452
2015-10,1666.7450574468512
2015-11,1654.3139120919668
2015-12,1624.5309342316023
2016-01,1527.1045355237845
2016-02,1517.770060542311
2016-03,1630.065094465561
2016-04,1655.0326639377167
2016-05,1658.881355312379
2016-06,1648.5212448112472
2016-07,1719.3926313825991
2016-08,1726.0425984311605
2016-09,1737.649192832683
2016-10,1707.731723624269
2016-11,1723.6136226978479
2016-12,1761.5323327452625
2017-01,1809.5403636204105
2017-02,1860.5091588730477
2017-03,1884.2206777043834
2017-04,1914.1350314566846
2017-05,1958.842694652043
2017-06,1969.01004005293
2017-07,2023.385809844601
2017-08,2031.9144636818269
2017-09,2072.6780953078714
2017-10,2115.7832385459274
2017-11,2158.501147386375
2017-12,2193.553564984885
2018-01,2317.609937004201
2018-02,2221.693991901736
2018-03,2175.7690746763215
2018-04,2197.5041587845008
2018-05,2203.9273487511095
2018-06,2193.4124321904637
2018-07,2259.2250837845545
2018-08,2279.030605966667
2018-09,2291.5334986129196
2018-10,2118.8154207237585
2018-11,2149.3817609009225
2018-12,1996.9866384803124
2019-01,2156.566219719426
2019-02,2216.1946366582447
2019-03,2244.517183442248
2019-04,2322.4644729313854
2019-05,2184.2539890312833
2019-06,2329.972092524262
2019-07,2338.2670870106285
2019-08,2284.443822896012
2019-09,2333.3335622248846
2019-10,2396.7851985345605
2019-11,2457.678229067255
2019-12,2545.0831951172513
2020-01,2517.762610909506
2020-02,2315.729018123204
2020-03,2009.1847141557505
2020-04,2224.63184755701
2020-05,2323.831070261385
2020-06,2398.2164113339722
2020-07,2524.2040428132486
2020-08,2681.6746856657574
2020-09,2595.9528362657556
2020-10,2532.9537178411083
2020-11,2846.7953001127285
2020-12,2977.9094447336975
2021-01,2966.6412682768896
2021-02,3036.1565240918353
2021-03,3119.42493174224
2021-04,3258.9424548019647
2021-05,3308.6113228808526
2021-06,3354.121119
2021-07,3378.860014306083
2021-08,3461.4160344937
2021-09,3318.471701803986
2021-10,3492.7875046445906
2021-11,3409.809873
2021-12,3548.8140073782606
2022-01,3372.7885331775915
2022-02,3285.228290738606
2022-03,3359.860736916206
2022-04,3089.5393073748787
2022-05,3097.6095004769954
2022-06,2838.1163940773695
2022-07,3036.483523257434
2022-08,2921.667792575936
2022-09,2641.476964338991
2022-10,2802.7458099017954
2022-11,3024.116007775857
2022-12,2906.4634952586352
2023-01,3120.0339338741637
2023-02,3033.010225385826
2023-03,3129.504641593898
2023-04,3174.1610937951405
2023-05,3140.5132309750993
2023-06,3323.8107425353537
