Date,MSCI HONG KONG-LISTED SOUTHBOUND
1999-05,1000.0
1999-06,1101.7535970405033
1999-07,1063.1848378683742
1999-08,1087.422102464393
1999-09,1029.9181754162726
1999-10,1079.8194509752166
1999-11,1210.0721891639623
1999-12,1300.2574357691758
2000-01,1166.8994282116626
2000-02,1196.6531399910468
2000-03,1226.819899112239
2000-04,1132.7728705534828
2000-05,1043.4765032015387
2000-06,1125.3874793586992
2000-07,1203.2911767623139
2000-08,1229.6391356284055
2000-09,1144.0463668697712
2000-10,1095.0138429051744
2000-11,1036.0613907813104
2000-12,1123.8156307643678
2001-01,1187.2720360751223
2001-02,1099.1297920072777
2001-03,972.9695514153102
2001-04,1013.5103036686145
2001-05,1006.0671715784522
2001-06,969.9015195314661
2001-07,931.6507510080992
2001-08,876.7859059585064
2001-09,773.1823647066053
2001-10,798.5396309927271
2001-11,895.3271161945231
2001-12,903.4089921740217
2002-01,866.4439159318526
2002-02,850.7854243979442
2002-03,902.7602933560166
2002-04,943.0546723535443
2002-05,935.0976260387895
2002-06,884.4657041985021
2002-07,859.4242971715561
2002-08,847.060796647538
2002-09,777.114931879825
2002-10,809.5793721490469
2002-11,862.8730909667524
2002-12,805.7048140073198
2003-01,800.2381198659164
2003-02,798.7208580767133
2003-03,774.6370533010402
2003-04,798.2293892645963
2003-05,873.6334610523741
2003-06,883.898654486355
2003-07,932.64976507382
2003-08,1019.3089861177031
2003-09,1056.7227861670942
2003-10,1159.8810488729707
2003-11,1173.7850417863733
2003-12,1229.4408240495845
2004-01,1261.164560542674
2004-02,1320.6284769750537
2004-03,1221.4117237014543
2004-04,1152.164954906488
2004-05,1189.8986964800379
2004-06,1187.9160765819618
2004-07,1182.7347541743652
2004-08,1240.0723595204167
2004-09,1279.988611384317
2004-10,1282.297633958177
2004-11,1386.1657314649067
2004-12,1392.9744686370038
2005-01,1345.6139855550434
2005-02,1402.5938928719488
2005-03,1327.1993369481218
2005-04,1353.0207638097402
2005-05,1358.4327065264865
2005-06,1394.018583231605
2005-07,1452.40922932797
2005-08,1445.0430837371434
2005-09,1491.2497670128475
2005-10,1397.6533582148083
2005-11,1455.4164892319757
2005-12,1472.6812973389106
2006-01,1578.8617372053027
2006-02,1611.432779416218
2006-03,1628.1153629938722
2006-04,1695.0662617723347
2006-05,1656.8068276007712
2006-06,1670.4978191835432
2006-07,1711.343423049073
2006-08,1752.4834830586126
2006-09,1781.2494277703095
2006-10,1853.146864101511
2006-11,1950.8427945597703
2006-12,2085.2141814526976
2007-01,2056.4001183921814
2007-02,2000.957881932588
2007-03,2048.4486738666656
2007-04,2128.5321431579932
2007-05,2211.8407806683404
2007-06,2320.6655151873633
2007-07,2482.9462703446848
2007-08,2559.782582773946
2007-09,2934.6052299499856
2007-10,3318.6380214605265
2007-11,2969.1761936494863
2007-12,2897.6092823931435
2008-01,2408.5125285336326
2008-02,2539.970469112595
2008-03,2370.9552818222064
2008-04,2643.8960894595557
2008-05,2564.766362161088
2008-06,2283.819995911277
2008-07,2332.3690026796517
2008-08,2187.461228151785
2008-09,1852.7125283292823
2008-10,1432.375993923746
2008-11,1433.2527818239819
2008-12,1484.5939545454216
2009-01,1367.541960676111
2009-02,1309.0564001830805
2009-03,1388.9101988203456
2009-04,1604.4748429587924
2009-05,1913.0287196575111
2009-06,1932.8058018631948
2009-07,2178.9003961196177
2009-08,2085.8806130793305
2009-09,2221.549352685527
2009-10,2299.2068697922505
2009-11,2343.836460412799
2009-12,2353.546842883826
2010-01,2170.3830576114397
2010-02,2229.109541740694
2010-03,2295.9912661693907
2010-04,2287.2531246915783
2010-05,2134.9825215096616
2010-06,2172.7496263378266
2010-07,2294.5041429206904
2010-08,2244.9516653901865
2010-09,2461.7996582660057
2010-10,2534.069026653149
2010-11,2506.9740180707595
2010-12,2503.708646968497
2011-01,2531.2398559293483
2011-02,2510.8265017843923
2011-03,2557.601674270679
2011-04,2611.622633201386
2011-05,2614.0661500504107
2011-06,2507.5784403453986
2011-07,2505.346258174493
2011-08,2286.985356298079
2011-09,1929.6044699423785
2011-10,2208.188058759484
2011-11,2000.070143959519
2011-12,2048.30369540756
2012-01,2262.0479687375746
2012-02,2424.376281123076
2012-03,2293.4619973360677
2012-04,2356.2613439834204
2012-05,2106.6813612650208
2012-06,2195.396987671805
2012-07,2221.0464601451326
2012-08,2195.773744886755
2012-09,2356.7829098229386
2012-10,2463.161591580404
2012-11,2522.6835852172735
2012-12,2609.8264419375996
2013-01,2746.525786670054
2013-02,2668.9224390622685
2013-03,2575.986833019575
2013-04,2624.570189538251
2013-05,2610.836897367966
2013-06,2449.5026974244442
2013-07,2563.6376359842106
2013-08,2566.2115157606304
2013-09,2697.790059796155
2013-10,2757.962724219664
2013-11,2851.448274066868
2013-12,2785.3112840538647
2014-01,2619.219178669624
2014-02,2700.8395135571145
2014-03,2647.0946488248755
2014-04,2633.0974227121505
2014-05,2759.413832762468
2014-06,2798.810839414273
2014-07,3002.506852454272
2014-08,3002.545558766537
2014-09,2808.428113490981
2014-10,2932.903910036009
2014-11,2956.1804675156463
2014-12,2925.198760809538
2015-01,3001.0542114718232
2015-02,3040.7010490574817
2015-03,3084.639159930887
2015-04,3530.498141754704
2015-05,3434.293539575635
2015-06,3270.8972565756085
2015-07,3035.6769412740446
2015-08,2673.9225711325994
2015-09,2608.2287148215955
2015-10,2835.630070262612
2015-11,2756.5917963867237
2015-12,2747.905735789975
2016-01,2429.3989272066297
2016-02,2362.053616297466
2016-03,2606.7760844681284
2016-04,2630.2327348228646
2016-05,2608.960954120076
2016-06,2641.16255712333
2016-07,2770.965779890179
2016-08,2930.651075076633
2016-09,2979.6011813883583
2016-10,2948.5470938801423
2016-11,2953.778797026457
2016-12,2842.972241073061
2017-01,3018.706650250378
2017-02,3084.159238626336
2017-03,3146.721667286056
2017-04,3210.1152
2017-05,3358.805017
2017-06,3417.013575
2017-07,3649.788638
2017-08,3752.974566
2017-09,3771.643486
2017-10,3886.851376
2017-11,4000.750841
2017-12,4106.726162
2018-01,4503.495576
2018-02,4238.550518
2018-03,4104.59722921802
2018-04,4174.7435942674
2018-05,4193.948584812386
2018-06,3968.058677542894
2018-07,3917.416056558209
2018-08,3807.7426543845554
2018-09,3802.007060747774
2018-10,3396.061605275306
2018-11,3645.310561505061
2018-12,3529.425225792512
2019-01,3814.496818549306
2019-02,3921.933147603949
2019-03,4001.8676649051827
2019-04,4088.1273339810646
2019-05,3717.68453013823
2019-06,3965.1967573938114
2019-07,3904.678850138039
2019-08,3625.596620371411
2019-09,3678.869274386049
2019-10,3801.1781329556875
2019-11,3754.4671513645144
2019-12,4055.1872758047507
2020-01,3810.040853643858
2020-02,3824.5113421502697
2020-03,3495.6223337052097
2020-04,3683.950513075722
2020-05,3527.769721013623
2020-06,3846.529565168308
2020-07,4032.135915691568
2020-08,4177.541609283207
2020-09,3963.8656829932693
2020-10,4160.5110270895275
2020-11,4469.847982061931
2020-12,4651.486598580657
2021-01,4935.616707363408
2021-02,4989.896960980845
2021-03,4852.46678727375
2021-04,4940.206322038137
2021-05,5079.865163682078
2021-06,4975.118929162714
2021-07,4457.583832220486
2021-08,4545.250122199805
2021-09,4351.246227351818
2021-10,4423.004731884374
2021-11,4183.014374552034
2021-12,4167.526588134319
2022-01,4207.519641302631
2022-02,4018.9208616455567
2022-03,3787.7513215250415
2022-04,3644.367792321112
2022-05,3727.2170269613925
2022-06,3822.519166524416
2022-07,3518.7911667088615
2022-08,3488.524174607055
2022-09,2998.891700120743
2022-10,2571.452150925487
2022-11,3322.8760265211204
2022-12,3548.296170851837
2023-01,3877.819228486667
2023-02,3542.713738911966
2023-03,3643.6130149247037
2023-04,3589.7960773984532
2023-05,3301.161643241222
2023-06,3444.6484960600847
