Date,ACWI VOTING RIGHTS-ADJUSTED
2007-11,627.359631398621
2007-12,620.7439603128465
2008-01,569.9507739524681
2008-02,571.6652753973829
2008-03,563.4538299810209
2008-04,595.2975251559574
2008-05,604.8165392862448
2008-06,555.3593866520844
2008-07,541.0600987177812
2008-08,530.8546073236698
2008-09,464.32919573190946
2008-10,371.82329294428666
2008-11,348.273183798032
2008-12,361.08613962072366
2009-01,330.14973532747666
2009-02,297.996730077357
2009-03,322.4241248571154
2009-04,360.7574607829782
2009-05,397.14950337242243
2009-06,395.05318108054837
2009-07,429.86825227974833
2009-08,445.7345629478647
2009-09,465.94583398808896
2009-10,458.6638648409796
2009-11,477.57146743667306
2009-12,487.36736877202077
2010-01,466.6133942190454
2010-02,472.4425192347824
2010-03,502.8848052165738
2010-04,503.83353124611847
2010-05,456.38088204767615
2010-06,442.5967597348616
2010-07,478.5770867982825
2010-08,462.0465183264093
2010-09,506.22871499634175
2010-10,524.2655964142501
2010-11,512.7085764136345
2010-12,550.5720690265226
2011-01,559.8391298611073
2011-02,576.2731056700522
2011-03,575.8516155220047
2011-04,599.7744712587873
2011-05,587.1976024023351
2011-06,577.8650486149538
2011-07,568.5098177581431
2011-08,527.0318109672517
2011-09,477.83400107767403
2011-10,528.5860838738387
2011-11,512.9744180652428
2011-12,511.86626583996133
2012-01,542.0173726235118
2012-02,569.4314530258964
2012-03,573.4633042287004
2012-04,567.0624085564601
2012-05,516.7320726943498
2012-06,542.7094178496073
2012-07,549.9871921098407
2012-08,562.1762874493826
2012-09,580.2536260331422
2012-10,576.4660192429719
2012-11,583.9703394310037
2012-12,597.3507129464116
2013-01,624.5689831544
2013-02,624.6283636828763
2013-03,636.4743430263899
2013-04,654.9791786229324
2013-05,653.8336966095841
2013-06,634.7439125003972
2013-07,665.4975578078441
2013-08,651.8198681267763
2013-09,685.201640951317
2013-10,712.7193600558795
2013-11,723.2379354026974
2013-12,735.7491518226232
2014-01,705.9521980779199
2014-02,740.0878525052041
2014-03,744.39053772451
2014-04,752.4721691663909
2014-05,769.0279498786591
2014-06,783.6439441721308
2014-07,774.2711100920553
2014-08,791.3905394305947
2014-09,765.9322271963385
2014-10,771.5755491719258
2014-11,784.4746324214611
2014-12,770.1117283414823
2015-01,758.3115457956078
2015-02,801.0127433863091
2015-03,788.7435558063572
2015-04,812.6273926287313
2015-05,812.5349386011753
2015-06,793.3271006347878
2015-07,799.5513283094479
2015-08,744.8925742367611
2015-09,717.6877336887816
2015-10,773.9828975788758
2015-11,767.5103050125578
2015-12,753.9276126737745
2016-01,707.8007361799862
2016-02,703.5890357402673
2016-03,756.2364778586825
2016-04,768.4585911048359
2016-05,770.2203464136
2016-06,765.8988887438635
2016-07,798.9146781549962
2016-08,802.4282010675736
2016-09,807.9091730705749
2016-10,794.2225694521028
2016-11,802.316643564457
2016-12,820.4487747938973
2017-01,842.0009022520045
2017-02,866.2926888346855
2017-03,877.3715923445269
2017-04,890.4660690513249
2017-05,911.0659363526122
2017-06,916.2418962992531
2017-07,941.563278251226
2017-08,945.3445692286857
2017-09,964.4215556076826
2017-10,985.1075446428952
2017-11,1004.463440137846
2017-12,1020.8504471811565
2018-01,1078.2772603123926
2018-02,1033.7503907441053
2018-03,1013.0118216734747
2018-04,1023.582191872553
2018-05,1025.2388769837448
2018-06,1019.1234853097212
2018-07,1050.66105888561
2018-08,1059.4332942474857
2018-09,1065.3195921699396
2018-10,985.0028442598542
2018-11,1000.0
2018-12,929.459001984139
2019-01,1001.7792644486283
2019-02,1029.5934716687866
2019-03,1043.067428387331
2019-04,1078.5592153777552
2019-05,1015.6159254208911
2019-06,1083.1746732668744
2019-07,1085.6220361724522
2019-08,1060.173787142334
2019-09,1083.7667506423911
2019-10,1113.8551771135908
2019-11,1141.3789536652766
2019-12,1182.1986489820806
2020-01,1168.473946787087
2020-02,1073.8274279857224
2020-03,929.6231411138358
2020-04,1028.817816331028
2020-05,1072.59052716746
2020-06,1107.5573905816934
2020-07,1165.7490119086503
2020-08,1236.061684177962
2020-09,1196.2800571486346
2020-10,1165.2752674625535
2020-11,1309.3777044474964
2020-12,1371.8119395633855
2021-01,1365.137693704434
2021-02,1395.3226371260741
2021-03,1435.8616251471078
2021-04,1497.298289412443
2021-05,1521.3301283368821
2021-06,1538.6133130119765
2021-07,1549.6725615674113
2021-08,1588.339273199278
2021-09,1527.2838656969438
2021-10,1604.6136370148133
2021-11,1567.729888
2021-12,1634.1434658219912
2022-01,1557.0177234695768
2022-02,1520.6114151580584
2022-03,1555.2012352673814
2022-04,1434.9456199584433
2022-05,1439.6435060723788
2022-06,1318.1276962725412
2022-07,1412.2065332906418
2022-08,1360.9669570792694
2022-09,1232.896209775913
2022-10,1312.2303664154329
2022-11,1413.116157145852
2022-12,1358.751353620534
2023-01,1453.8523789154085
2023-02,1413.2427213591966
2023-03,1454.8911513562707
2023-04,1476.2390594404296
2023-05,1459.652265481786
2023-06,1546.1165992274937
