Date,ACWI ex AUSTRIA
1998-12,1000.0
1999-01,1020.0112962429575
1999-02,993.9682172000388
1999-03,1039.6758100831019
1999-04,1084.5040162765367
1999-05,1047.268878344267
1999-06,1099.9629405376568
1999-07,1094.9624357324544
1999-08,1093.8972201513177
1999-09,1082.1751355806784
1999-10,1136.386104160338
1999-11,1171.60244708686
1999-12,1268.8623974768482
2000-01,1199.7938887903977
2000-02,1203.771453049477
2000-03,1283.5485738365035
2000-04,1226.095261815268
2000-05,1195.275617734317
2000-06,1235.7248658410879
2000-07,1198.9109044625998
2000-08,1236.716676421068
2000-09,1168.5591643862
2000-10,1145.2470196789895
2000-11,1074.1943968179164
2000-12,1091.6295874082462
2001-01,1119.2927414029623
2001-02,1025.090886727506
2001-03,956.1121289792904
2001-04,1025.803015125095
2001-05,1014.4223643685295
2001-06,983.0639061075286
2001-07,967.7848939428299
2001-08,923.2755408761319
2001-09,838.9592485639246
2001-10,856.8307652120205
2001-11,909.5265993803173
2001-12,918.0508473589326
2002-01,892.8815299722369
2002-02,886.2940761243387
2002-03,926.3046284122515
2002-04,896.9001079858119
2002-05,898.1622215472512
2002-06,843.3221248383801
2002-07,772.6051087158919
2002-08,774.6032563834895
2002-09,689.631691256435
2002-10,740.4288158065334
2002-11,780.9519174099204
2002-12,743.6552604402368
2003-01,721.9075263849355
2003-02,709.2614329852472
2003-03,706.5718824270118
2003-04,769.6753876353213
2003-05,814.4678408137456
2003-06,830.1027154188926
2003-07,848.5410825217747
2003-08,868.7016068127925
2003-09,874.242990164642
2003-10,927.2819648209336
2003-11,941.4197342176291
2003-12,1001.1507070171405
2004-01,1018.2434181619371
2004-02,1037.0274817766885
2004-03,1031.418497247653
2004-04,1007.7113533228552
2004-05,1016.2117926523242
2004-06,1036.7047776090494
2004-07,1003.7891641690865
2004-08,1010.3162502462294
2004-09,1031.5698086540035
2004-10,1056.9840755505782
2004-11,1114.9346583948848
2004-12,1158.3275365410184
2005-01,1134.0109861127153
2005-02,1173.731183647157
2005-03,1148.3864799806493
2005-04,1123.8669386272957
2005-05,1145.6480307863621
2005-06,1157.6297452061249
2005-07,1200.7390363798638
2005-08,1210.2893583023033
2005-09,1247.0812417268246
2005-10,1213.7552925268633
2005-11,1258.5813670572618
2005-12,1289.8174255635845
2006-01,1353.4531203725264
2006-02,1352.053592269049
2006-03,1381.0386773347036
2006-04,1427.6628641085717
2006-05,1372.6423141001653
2006-06,1372.6171103082738
2006-07,1382.3136127720304
2006-08,1418.904117968147
2006-09,1435.7956583167352
2006-10,1489.8744755903251
2006-11,1532.6574460849547
2006-12,1567.0340265172863
2007-01,1582.9860591256404
2007-02,1575.3251724830675
2007-03,1607.3615404368522
2007-04,1679.6039590784965
2007-05,1731.1736060539713
2007-06,1726.7299137854218
2007-07,1700.9268984233724
2007-08,1697.118790833267
2007-09,1788.9786227559762
2007-10,1858.968029034551
2007-11,1777.64115826175
2007-12,1758.3888814307231
2008-01,1615.0026173740544
2008-02,1620.2120163719492
2008-03,1597.0769208495935
2008-04,1687.0918950126447
2008-05,1715.2767721791183
2008-06,1575.0485106654337
2008-07,1534.93549493036
2008-08,1502.67218464349
2008-09,1316.158954564644
2008-10,1056.1289184535638
2008-11,987.538068357399
2008-12,1023.8010515575656
2009-01,936.6648449955211
2009-02,845.6271920125087
2009-03,915.5825650892366
2009-04,1024.5244131557108
2009-05,1127.6138837802898
2009-06,1121.768230757522
2009-07,1220.915535611541
2009-08,1264.9549803690372
2009-09,1323.367654661584
2009-10,1303.261963004951
2009-11,1357.4963465854646
2009-12,1386.1583596878813
2010-01,1326.53347842507
2010-02,1344.0082128225024
2010-03,1431.1135904219034
2010-04,1434.2643153923216
2010-05,1299.6812185656304
2010-06,1260.1596061818816
2010-07,1362.9508148462799
2010-08,1315.8670693970707
2010-09,1442.1461871280972
2010-10,1494.4979471698534
2010-11,1462.0211703642651
2010-12,1569.3603418937341
2011-01,1594.3145363569768
2011-02,1641.4216272502235
2011-03,1640.4389208793298
2011-04,1708.5292523254675
2011-05,1673.4249215352365
2011-06,1647.615555237995
2011-07,1621.429307374397
2011-08,1503.7894188646792
2011-09,1362.5870984062979
2011-10,1508.99213779636
2011-11,1464.6798078474662
2011-12,1462.227224832953
2012-01,1547.6010191089117
2012-02,1626.1949492337774
2012-03,1637.8455050704913
2012-04,1620.217637640976
2012-05,1476.5387040003316
2012-06,1550.1480575141159
2012-07,1571.9118153873296
2012-08,1606.8876413793937
2012-09,1658.1262785179053
