Date,ZHONG HUA WITH CHINA ALL SHARES
2008-11,1057.5726055198097
2008-12,1117.9517160440091
2009-01,1090.0744326070035
2009-02,1069.9255898051997
2009-03,1192.9888893384934
2009-04,1323.242297609448
2009-05,1512.2153988675623
2009-06,1598.571882378766
2009-07,1812.1442292328568
2009-08,1601.0022339709565
2009-09,1695.602697392153
2009-10,1796.1332986851535
2009-11,1841.4001726382262
2009-12,1863.6218042538353
2010-01,1696.4596743980449
2010-02,1740.0555878522641
2010-03,1821.094928428979
2010-04,1771.8989295895371
2010-05,1654.9595632826479
2010-06,1658.4859308153564
2010-07,1761.7251066876872
2010-08,1735.9633224360614
2010-09,1888.1140756247341
2010-10,2000.797252997917
2010-11,1952.1318385554823
2010-12,1953.8562414921764
2011-01,1953.221157827761
2011-02,1935.0526164966257
2011-03,1996.6367854850248
2011-04,2029.1604382147582
2011-05,2014.1709727581492
2011-06,1968.1020941071126
2011-07,1959.0131685386038
2011-08,1816.7903450433764
2011-09,1548.97962259177
2011-10,1735.2677727259763
2011-11,1601.3489140599268
2011-12,1614.9073055576757
2012-01,1761.9198518845083
2012-02,1883.0498873655729
2012-03,1765.2579882373607
2012-04,1827.8796695295446
2012-05,1678.5366216830946
2012-06,1697.9773989321397
2012-07,1709.072138196398
2012-08,1663.6075268772795
2012-09,1772.3038702899878
2012-10,1824.897582408863
2012-11,1836.886972055159
2012-12,1967.343182651573
2013-01,2065.116303243661
2013-02,2018.8238547028204
2013-03,1930.4992302961955
2013-04,1947.1437103874641
2013-05,1967.6129045769414
2013-06,1797.3392375877604
2013-07,1853.0502986951567
2013-08,1897.8941159721735
2013-09,1993.8938014655885
2013-10,2021.9212233086605
2013-11,2092.0365325137645
2013-12,2037.6409230214986
2014-01,1915.8971544440838
2014-02,1946.116500020087
2014-03,1904.6349923018847
2014-04,1893.225080709088
2014-05,1959.3600914778438
2014-06,2006.0818103241406
2014-07,2172.5348288258397
2014-08,2170.0787302440276
2014-09,2090.9481366270347
2014-10,2185.3857082099153
2014-11,2274.412944823727
2014-12,2436.9140591649743
2015-01,2459.2459916320636
2015-02,2524.5757699313717
2015-03,2700.8466313211834
2015-04,3146.095565741371
2015-05,3124.6153412972576
2015-06,2930.2128184039125
2015-07,2612.849336811619
2015-08,2273.725664536289
2015-09,2201.4818187555434
2015-10,2422.3991944888876
2015-11,2369.709146863909
2015-12,2372.5684042762173
2016-01,1975.6728102095774
2016-02,1942.688600074425
2016-03,2179.3961124181988
2016-04,2158.577634010937
2016-05,2137.7432098273393
2016-06,2152.3458760871354
2016-07,2233.9594724753447
2016-08,2342.5986449194575
2016-09,2364.4099008574412
2016-10,2346.2441540553223
2016-11,2355.9442980551057
2016-12,2227.522013169569
2017-01,2353.2205763084817
2017-02,2422.3410843270613
2017-03,2456.2017322147885
2017-04,2494.804613524458
2017-05,2582.555058024975
2017-06,2668.8423026840683
2017-07,2834.3246396426725
2017-08,2941.394408708224
2017-09,2956.632365399412
2017-10,3053.6080353002812
2017-11,3066.311701333447
2017-12,3131.4763146372266
2018-01,3441.303405300545
2018-02,3234.014529126526
2018-03,3142.780004407179
2018-04,3110.5025738098393
2018-05,3136.6182245017108
2018-06,2925.7974785783185
2018-07,2878.2776893813357
2018-08,2756.9592401649134
2018-09,2753.8025557428914
2018-10,2452.1027259022526
2018-11,2588.879504587725
2018-12,2481.7693664756916
2019-01,2723.7429658269016
2019-02,2913.209428170029
2019-03,3005.469637109545
2019-04,3047.389393481025
2019-05,2721.8254762939846
2019-06,2917.0813976024515
2019-07,2897.771790576062
2019-08,2762.7689582927273
2019-09,2763.213113778229
2019-10,2869.7462239292104
2019-11,2881.16774633662
2019-12,3100.9649339083066
2020-01,2992.2722855952534
2020-02,2988.774682736153
2020-03,2762.3873086241947
2020-04,2946.9921050436556
2020-05,2892.4767205095286
2020-06,3168.5078435987616
2020-07,3484.125493214364
2020-08,3677.3508287925965
2020-09,3544.6536893773737
2020-10,3691.0311738408195
2020-11,3861.9763764467343
2020-12,4026.176433666613
2021-01,4261.4885093509465
2021-02,4241.382365472909
2021-03,4001.2460816563416
2021-04,4097.340968484176
2021-05,4206.318777179262
2021-06,4181.879533055407
2021-07,3752.565326847656
2021-08,3757.4476736242787
2021-09,3642.4096379986054
2021-10,3738.396576708848
2021-11,3593.953993
2021-12,3546.53891667344
2022-01,3379.7284172101963
2022-02,3332.675165252189
2022-03,3083.851391589687
2022-04,2894.980019344222
2022-05,2951.199472995274
2022-06,3162.8442556997143
2022-07,2923.836238505601
2022-08,2870.911045960771
2022-09,2523.8791646928726
2022-10,2186.203021569609
2022-11,2659.2896182944237
2022-12,2778.0656702570077
2023-01,3062.778468194562
2023-02,2825.4974776076956
2023-03,2894.3619368261448
2023-04,2795.6041627977106
2023-05,2571.6863278401574
2023-06,2624.998290689326
