Date,MSCI EM (EMERGING MARKETS)
1987-12,100.0
1988-01,109.8381
1988-02,110.2114
1988-03,122.0464
1988-04,128.5614
1988-05,132.4129
1988-06,136.9115
1988-07,133.431
1988-08,129.8574
1988-09,138.272
1988-10,137.379
1988-11,136.7923
1988-12,140.4271
1989-01,138.6572
1989-02,149.2648
1989-03,164.1368
1989-04,195.2885
1989-05,197.9209
1989-06,173.9057
1989-07,185.3447
1989-08,189.6465
1989-09,213.5501
1989-10,216.5405
1989-11,206.4484
1989-12,231.6495
1990-01,239.2718
1990-02,248.6563
1990-03,215.0141
1990-04,230.5248
1990-05,249.4602
1990-06,258.08
1990-07,280.8362
1990-08,245.007
1990-09,213.7212
1990-10,209.7534
1990-11,198.807
1990-12,207.2087
1991-01,223.9613
1991-02,257.0937
1991-03,267.6597
1991-04,270.479
1991-05,291.7014
1991-06,281.2812
1991-07,295.864
1991-08,302.0976
1991-09,290.5177
1991-10,302.373
1991-11,297.8795
1991-12,331.3486
1992-01,369.7082
1992-02,386.1327
1992-03,399.1976
1992-04,396.4248
1992-05,395.0026
1992-06,355.8186
1992-07,359.6877
1992-08,342.9165
1992-09,344.0944
1992-10,362.4986
1992-11,358.5937
1992-12,369.1345
1993-01,370.9199
1993-02,377.1397
1993-03,389.6118
1993-04,398.5719
1993-05,409.6773
1993-06,421.8245
1993-07,432.9668
1993-08,469.5259
1993-09,486.6991
1993-10,530.3671
1993-11,553.8367
1993-12,645.3835
1994-01,657.1257
1994-02,645.4362
1994-03,587.0307
1994-04,575.2887
1994-05,594.978
1994-06,578.5777
1994-07,614.5528
1994-08,690.8274
1994-09,698.6783
1994-10,686.0753
1994-11,650.4032
1994-12,598.165
1995-01,534.5254951711569
1995-02,520.8158117193542
1995-03,524.1254563868073
1995-04,547.6379401813813
1995-05,576.7721780481705
1995-06,578.4784951706731
1995-07,591.4630960878628
1995-08,577.5311293616811
1995-09,574.7904858460186
1995-10,552.7868710492726
1995-11,542.9285236166816
1995-12,567.0090786384592
1996-01,607.3128660849563
1996-02,597.6573909242265
1996-03,602.3120374911508
1996-04,626.3942898944196
1996-05,623.5973084969977
1996-06,627.4908254733185
1996-07,584.6056729508858
1996-08,599.5704807040728
1996-09,604.7641621514026
1996-10,588.634776707014
1996-11,598.4975924751883
1996-12,601.2045234174471
1997-01,642.2125139845366
1997-02,669.71603723564
1997-03,652.1243573454096
1997-04,653.2762703399923
1997-05,671.9727619439932
1997-06,707.9353346346157
1997-07,718.50252164417
1997-08,627.0738072886713
1997-09,644.4489920875694
1997-10,538.7027963968694
1997-11,519.0468231092831
1997-12,531.5546784621351
1998-01,489.86511704392166
1998-02,540.9954019498127
1998-03,564.4724837089167
1998-04,558.3230532786059
1998-05,481.81043673556053
1998-06,431.2698050099803
1998-07,444.9437665170448
1998-08,316.2927044373942
1998-09,336.3567725075094
1998-10,371.7764044083442
1998-11,402.6962938446991
1998-12,396.859873907795
1999-01,390.4570461853715
1999-02,394.2548608319768
1999-03,446.21395345064934
1999-04,501.4197655813307
1999-05,498.50307855493094
1999-06,555.0793929350375
1999-07,539.9996136139878
1999-08,544.9134153685978
1999-09,526.4720121117089
1999-10,537.6816912239065
1999-11,585.8929706879173
1999-12,660.4074415384657
2000-01,664.3427722975453
2000-02,673.1169196239716
2000-03,676.4021332582995
2000-04,612.2835080109586
2000-05,586.9711806744929
2000-06,607.6470905067234
2000-07,576.3960253895491
2000-08,579.229925622349
2000-09,528.6540241212161
2000-10,490.3248246202708
2000-11,447.4544568356557
2000-12,458.2570412197476
2001-01,521.3588179651668
2001-02,480.53617608913544
2001-03,433.33752499077787
2001-04,454.7495929407076
2001-05,460.17818393310654
2001-06,450.73182622447064
2001-07,422.2495327664885
2001-08,418.08529211410973
2001-09,353.37403701771166
2001-10,375.3040021725425
2001-11,414.4868113383848
2001-12,447.3872864882354
2002-01,462.5480525340518
2002-02,470.1465537164464
2002-03,498.42668243780935
2002-04,501.6617549492851
2002-05,493.66899624393835
2002-06,456.6325260577195
2002-07,421.90335525628615
2002-08,428.4036580305348
2002-09,382.18279278039023
2002-10,406.9823985181853
2002-11,434.99578750185566
2002-12,420.54338228166534
2003-01,418.71179747202103
2003-02,407.4111065641636
2003-03,395.8591063656064
2003-04,431.11932965721667
2003-05,462.0614680530187
2003-06,488.3958469018312
2003-07,518.9829332120926
2003-08,553.816962622403
2003-09,557.8774306999603
2003-10,605.3512665582293
2003-11,612.7904763100036
2003-12,657.2150157328739
2004-01,680.5555789697657
2004-02,711.9504463500863
2004-03,721.0979493949819
2004-04,662.1429913279326
2004-05,649.1018703793916
2004-06,652.0666252746404
2004-07,640.5366394477877
2004-08,667.349907512536
2004-09,705.894223543805
2004-10,722.8049866460684
2004-11,789.7546349090827
2004-12,827.7750911973937
2005-01,830.3947368112845
2005-02,903.3110567821319
2005-03,843.7999264773166
2005-04,821.3101548674146
2005-05,850.2274052938812
2005-06,879.5757923687997
2005-07,941.8127834420353
2005-08,950.2908398404425
2005-09,1038.9024743874413
2005-10,971.025186064401
2005-11,1051.4231827888084
2005-12,1113.70749305676
2006-01,1238.7824933853828
2006-02,1237.5956522955107
2006-03,1248.689932538046
2006-04,1337.800290141461
2006-05,1197.9142764447893
2006-06,1195.3741404054524
2006-07,1212.9532111273759
2006-08,1244.4640584631572
2006-09,1254.9247223663333
2006-10,1314.5965783289614
2006-11,1412.5023054599305
2006-12,1476.2389326101097
2007-01,1461.3282517730659
2007-02,1452.8634713831448
2007-03,1511.0622435199232
2007-04,1582.9668609440737
2007-05,1660.2774429381914
2007-06,1738.8088842518375
2007-07,1831.4546421754371
2007-08,1793.1331778868112
2007-09,1991.3098314914823
2007-10,2213.5369960875496
2007-11,2056.723593017467
2007-12,2064.10856528896
2008-01,1807.1252891230422
2008-02,1941.1704576425454
2008-03,1838.6202043982207
2008-04,1988.127823618794
2008-05,2025.5888789412268
2008-06,1823.7919615304502
2008-07,1756.4410864131298
2008-08,1616.7191352908173
2008-09,1333.9624321706904
2008-10,969.0801106154848
2008-11,896.1991680011885
2008-12,966.344095781389
2009-01,904.3321028968369
2009-02,853.4680738679712
2009-03,976.2356445938855
2009-04,1138.8407207137518
2009-05,1334.0948277283223
2009-06,1316.388648725523
2009-07,1465.3545686168197
2009-08,1460.502702703985
2009-09,1593.3124670325242
2009-10,1595.4304375511244
2009-11,1664.0429673642882
2009-12,1729.9634902980365
2010-01,1633.7595446501232
2010-02,1639.853031865992
2010-03,1772.372637269694
2010-04,1794.2423603838406
2010-05,1637.2004903362197
2010-06,1625.457252264599
