Date,MSCI ARABIAN MARKETS DOMESTIC ex SA
2002-05,243.25965947
2002-06,245.2974559
2002-07,247.18328441
2002-08,253.18996608
2002-09,244.9570708
2002-10,247.18731237
2002-11,258.6466732
2002-12,268.93655914
2003-01,274.56582224
2003-02,266.88008144
2003-03,277.89935971
2003-04,305.37389742
2003-05,314.23980652
2003-06,312.9199225
2003-07,327.43616777
2003-08,334.10106446
2003-09,351.72334
2003-10,358.64544963
2003-11,371.52723318
2003-12,381.57688758
2004-01,388.43110368
2004-02,392.9144451
2004-03,375.75876308
2004-04,370.70113042
2004-05,364.945178
2004-06,368.58481476
2004-07,386.82989559
2004-08,396.0892985
2004-09,413.68690447
2004-10,417.69304317
2004-11,450.79707171
2004-12,481.85530033
2005-01,539.22531403
2005-02,626.61489011
2005-03,693.00545346
2005-04,742.19970871
2005-05,703.36087877
2005-06,851.36099823
2005-07,809.94914217
2005-08,914.92171202
2005-09,993.19335734
2005-10,1002.24957069
2005-11,979.78336624
2005-12,947.80418676
2006-01,946.66624219
2006-02,874.78438866
2006-03,839.12354819
2006-04,820.65198986
2006-05,743.33562492
2006-06,714.35181855
2006-07,711.15478713
2006-08,756.07059349
2006-09,758.65049024
2006-10,782.65739419
2006-11,699.93932486
2006-12,741.72364236
2007-01,733.84138648
2007-02,755.43718675
2007-03,767.65693191
2007-04,797.79449485
2007-05,896.14828278
2007-06,899.84004879
2007-07,917.1237465
2007-08,912.75946374
2007-09,951.5348673
2007-10,1021.18337281
2007-11,1000.0
2007-12,1063.6794593694021
2008-01,1077.8171772388002
2008-02,1144.0248203329509
2008-03,1088.4872235207213
2008-04,1150.3491137641195
2008-05,1144.6474336717276
2008-06,1130.4468818233845
2008-07,1111.2995727193054
2008-08,1009.0649985377579
2008-09,884.9466898142332
2008-10,677.3363731001677
2008-11,570.9597154426148
2008-12,534.3427035018913
2009-01,447.58573799118955
2009-02,425.5640858957732
2009-03,466.7874859408411
2009-04,520.9514569648916
2009-05,580.6601169255135
2009-06,602.5305735249448
2009-07,623.1042746656383
2009-08,660.1518171918714
2009-09,678.2678809374818
2009-10,659.0086037801866
2009-11,603.230367614402
2009-12,596.5035303476305
2010-01,574.4275843367443
2010-02,617.6679162245662
2010-03,664.9273422379528
2010-04,674.7368216693413
2010-05,611.36343992
2010-06,597.1029180852967
2010-07,627.1339579048712
2010-08,643.84639481546
2010-09,697.583617832181
2010-10,713.6130943455764
2010-11,704.6785743440873
2010-12,742.8762174368273
2011-01,713.802482535617
2011-02,677.5160889952888
2011-03,690.2138555379445
2011-04,722.1748773883376
2011-05,701.0511837219331
2011-06,687.1978174874848
2011-07,669.3387638182506
2011-08,657.1502061063774
2011-09,641.8134451765332
2011-10,663.4917384117911
2011-11,646.8399067520774
2011-12,639.2796454606093
2012-01,652.2948358112052
2012-02,679.2840974476278
2012-03,686.3489596850831
2012-04,679.6086951126146
2012-05,652.9498259378008
2012-06,646.2165401387158
2012-07,650.0284276282846
2012-08,663.1366193907041
2012-09,683.5823436038328
2012-10,680.4199659104733
2012-11,678.02175217878
2012-12,677.1774742314981
2013-01,715.2618212606758
2013-02,712.6449312301759
2013-03,710.7923006353516
2013-04,748.4708740651674
2013-05,777.9293073309908
2013-06,743.448984926964
2013-07,788.7628379672308
2013-08,768.3935418054776
2013-09,792.3469119349779
2013-10,810.6616765243239
2013-11,815.5331791901751
2013-12,851.2776158722677
2014-01,898.9125290394468
2014-02,951.6049154740373
2014-03,979.5831372504355
2014-04,1046.9036938583524
2014-05,1115.4603709981438
2014-06,949.0090201702955
2014-07,1050.23623616499
2014-08,1082.0263775161868
2014-09,1110.7158178234301
2014-10,1053.5436564990114
2014-11,1048.4051621887327
2014-12,953.827615987412
2015-01,930.4813471240532
2015-02,973.9661626418084
2015-03,924.3084015843785
2015-04,985.7977075378712
2015-05,937.4655207258113
2015-06,955.7221474095393
2015-07,945.228454672837
2015-08,884.0111559512906
2015-09,875.2705076457175
2015-10,862.3599935279196
2015-11,788.4939198416624
2015-12,804.0274832527698
2016-01,717.5488840978256
2016-02,778.2258245343206
2016-03,820.4707046222437
2016-04,842.0495158987661
2016-05,793.7552791751723
2016-06,798.7405384551072
2016-07,851.9788730682595
2016-08,859.0948667148972
2016-09,845.3091639576498
