Date,MSCI EAFE ex UK
1969-12,100.0
1970-01,98.696639
1970-02,97.886115
1970-03,99.00779
1970-04,91.658229
1970-05,87.123688
1970-06,88.087051
1970-07,91.717828
1970-08,92.385566
1970-09,90.91564
1970-10,89.865126
1970-11,87.129994
1970-12,87.285189
1971-01,92.444081
1971-02,94.43263
1971-03,96.685891
1971-04,97.099264
1971-05,97.959468
1971-06,100.606938
1971-07,103.54648
1971-08,100.468467
1971-09,98.005354
1971-10,94.561519
1971-11,98.03255
1971-12,107.332811
1972-01,113.707386
1972-02,121.393656
1972-03,127.28896599999999
1972-04,129.777189
1972-05,137.438848
1972-06,138.061205
1972-07,145.316601
1972-08,147.195834
1972-09,147.251563
1972-10,149.52375
1972-11,159.050536
1972-12,166.869052
1973-01,174.127155
1973-02,191.914584
1973-03,193.452004
1973-04,179.169254
1973-05,183.127505
1973-06,189.20404
1973-07,190.111471
1973-08,180.635933
1973-09,178.320995
1973-10,181.451911
1973-11,155.55374
1973-12,149.717914
1974-01,152.629201
1974-02,156.210246
1974-03,157.863941
1974-04,160.140422
1974-05,156.267548
1974-06,150.871683
1974-07,143.60265
1974-08,130.033529
1974-09,121.685503
1974-10,122.108924
1974-11,130.212758
1974-12,128.209203
1975-01,143.867231
1975-02,158.937286
1975-03,159.862334
1975-04,163.750547
1975-05,160.885269
1975-06,159.266855
1975-07,152.815376
1975-08,148.331023
1975-09,140.39501
1975-10,153.46543
1975-11,158.677484
1975-12,161.090476
1976-01,167.789566
1976-02,167.538964
1976-03,166.469953
1976-04,165.466475
1976-05,163.994486
1976-06,167.245957
1976-07,165.97149
1976-08,167.732063
1976-09,167.890587
1976-10,159.064285
1976-11,158.724681
1976-12,173.502102
1977-01,169.071487
1977-02,172.704553
1977-03,172.108193
1977-04,176.910445
1977-05,174.965084
1977-06,178.485364
1977-07,175.775944
1977-08,180.414774
1977-09,183.237145
1977-10,188.202971
1977-11,188.84004
1977-12,194.402299
1978-01,198.92927
1978-02,204.524838
1978-03,221.617586
1978-04,219.768726
1978-05,223.227688
1978-06,236.17711
1978-07,255.938815
1978-08,260.745248
1978-09,269.476792
1978-10,286.733834
1978-11,257.422827
1978-12,271.187982
1979-01,273.530563
1979-02,267.128721
1979-03,264.958458
1979-04,260.082038
1979-05,258.375385
1979-06,263.858657
1979-07,267.117293
1979-08,273.442093
1979-09,287.257761
1979-10,266.049131
1979-11,267.238176
1979-12,278.599429
1980-01,288.075849
1980-02,282.308261
1980-03,254.259082
1980-04,279.10892
1980-05,294.713488
1980-06,308.836507
1980-07,303.979081
1980-08,315.295053
1980-09,326.748713
1980-10,336.375553
1980-11,329.293355
1980-12,335.542771
1981-01,330.141361
1981-02,327.34881
1981-03,340.963682
1981-04,350.265714
1981-05,338.744029
1981-06,344.95678
1981-07,330.554241
1981-08,336.77416
1981-09,309.382687
1981-10,311.917468
1981-11,340.980126
1981-12,340.333155
1982-01,333.80536
1982-02,313.230271
1982-03,292.972151
1982-04,315.071916
1982-05,307.266902
1982-06,283.326197
1982-07,276.333369
1982-08,275.262879
1982-09,269.169785
1982-10,269.088578
1982-11,299.777849
1982-12,329.166839
1983-01,326.906864
1983-02,337.806758
1983-03,353.020889
1983-04,366.161381
1983-05,361.110299
1983-06,370.844493
1983-07,375.557582
1983-08,368.962191
1983-09,387.138004
1983-10,388.392068
1983-11,395.759298
1983-12,416.116098
1984-01,435.298344
1984-02,436.253229
1984-03,483.026189
1984-04,474.012001
1984-05,426.248346
1984-06,425.135682
1984-07,397.627518
1984-08,430.055744
1984-09,427.311554
1984-10,440.911943
1984-11,441.196861
1984-12,451.238493
1985-01,461.306436
1985-02,463.503642
1985-03,491.74784
1985-04,487.083986
1985-05,506.99396
1985-06,527.519092
1985-07,546.25714
1985-08,561.143441
1985-09,607.396254
1985-10,643.568735
1985-11,664.761163
1985-12,710.585207
1986-01,732.371139
1986-02,812.463
1986-03,935.649
1986-04,998.451
1986-05,961.697874
1986-06,1025.385689
1986-07,1117.626536
1986-08,1234.434851
1986-09,1235.986458
1986-10,1138.70127
1986-11,1208.390649
1986-12,1272.822604
1987-01,1406.869941
1987-02,1429.613063
1987-03,1554.890539
1987-04,1729.710928
1987-05,1714.644683
1987-06,1641.014142
1987-07,1631.695927
1987-08,1784.054763
1987-09,1735.935404
1987-10,1517.643511
1987-11,1546.487532
1987-12,1570.888457
1988-01,1605.876153
1988-02,1731.892305
1988-03,1842.371631
1988-04,1866.164916
1988-05,1805.891145
1988-06,1760.402314
1988-07,1821.721412
1988-08,1704.309618
1988-09,1777.868979
1988-10,1932.053488
1988-11,2061.07823
1988-12,2079.513273
1989-01,2090.412296
1989-02,2111.061486
1989-03,2062.419616
1989-04,2080.60351
1989-05,1972.275756
1989-06,1932.775443
1989-07,2169.056635
1989-08,2065.025747
1989-09,2175.49232
1989-10,2105.606753
1989-11,2210.992677
1989-12,2274.213971
1990-01,2175.822966
1990-02,2010.547577
1990-03,1777.46863
1990-04,1781.217738
1990-05,1975.090646
1990-06,1935.861388
1990-07,1953.654291
1990-08,1748.719084
1990-09,1488.436947
1990-10,1744.123001
1990-11,1604.035635
1990-12,1639.009849
1991-01,1690.615462
1991-02,1881.880423
1991-03,1766.471053
1991-04,1792.892487
1991-05,1813.565108
