Date,GCC COUNTRIES COMBINED
2005-05,726.5799874
2005-06,853.8269055
2005-07,813.4308078
2005-08,951.1710399
2005-09,992.075992
2005-10,1006.367717
2005-11,1000.0
2005-12,1011.8218848988993
2006-01,1076.3154293123985
2006-02,1055.3878295209781
2006-03,928.804992413508
2006-04,782.7626003995866
2006-05,686.9483456962756
2006-06,753.4271139550281
2006-07,657.3389284533314
2006-08,683.7079049402806
2006-09,693.0010450988732
2006-10,642.9930395046795
2006-11,563.8982793055188
2006-12,570.7469111253343
2007-01,546.3886257788582
2007-02,586.1689753702993
2007-03,588.0423510109141
2007-04,603.2253176221263
2007-05,659.2958444047674
2007-06,642.5697656804294
2007-07,677.5190315773406
2007-08,690.6767787839304
2007-09,691.3056370236295
2007-10,754.2923778136915
2007-11,762.5638809192443
2007-12,865.8821313759177
2008-01,791.8878236181946
2008-02,843.1176169626145
2008-03,768.964350641809
2008-04,842.4980547259138
2008-05,811.8942800000796
2008-06,806.5620422383033
2008-07,770.7452715202161
2008-08,751.627867526754
2008-09,639.6078898283691
2008-10,481.68756341791396
2008-11,392.70609810133476
2008-12,382.39456341396817
2009-01,348.70175570314115
2009-02,321.8962952592904
2009-03,347.5166223747235
2009-04,405.9654227348766
2009-05,443.56942174885796
2009-06,446.7884272912998
2009-07,463.81660620908264
2009-08,478.59501600840036
2009-09,508.29076299593254
2009-10,502.24883080070316
2009-11,479.9643533536161
2009-12,470.02675422766464
2010-01,466.21416993904785
2010-02,495.1774350153898
2010-03,534.5365903203175
2010-04,541.7558714830797
2010-05,481.86437402
2010-06,477.16704869396216
2010-07,499.97168102915055
2010-08,499.34380555868876
2010-09,531.4986796904446
2010-10,542.2065214757071
2010-11,542.8605045405391
2010-12,569.2727406546404
2011-01,550.5791002990085
2011-02,516.995413045116
2011-03,553.0286408306355
2011-04,584.3974852981479
2011-05,569.1602506975432
2011-06,560.0863386694615
2011-07,550.8489517425393
2011-08,521.5674626762064
2011-09,524.2814588162632
2011-10,532.6783743705449
2011-11,521.6469475713072
2011-12,534.5420571800678
2012-01,544.3148559082099
2012-02,582.7372614780137
2012-03,620.6516789945113
2012-04,614.4462699575186
2012-05,576.5341654826918
2012-06,556.1486075730728
2012-07,568.9964746186271
2012-08,584.1855816180054
2012-09,577.002647505145
2012-10,575.1785563046342
2012-11,565.8963169230581
2012-12,578.1735276707632
2013-01,606.5886516259548
2013-02,603.6926680558702
2013-03,620.292121707243
2013-04,632.2337830057693
2013-05,656.4784742491393
2013-06,652.1934610503074
2013-07,693.8954445677613
2013-08,684.0661930312166
2013-09,701.6223041343145
2013-10,714.888972742485
2013-11,734.7634256312787
2013-12,756.5708516762672
2014-01,783.8992853892989
2014-02,819.3520045441298
2014-03,853.7918219015875
2014-04,876.1619838617282
2014-05,912.035869727809
2014-06,851.9816276215549
2014-07,929.6104470276995
2014-08,984.6114993320936
2014-09,975.1018442297167
