Date,ANDEAN
2002-05,1000.0
2002-06,901.9236272546169
2002-07,872.4351070242693
2002-08,877.105017503566
2002-09,770.7000851063622
2002-10,807.4484730337082
2002-11,854.3190638878797
2002-12,889.4385900030956
2003-01,879.5799078907338
2003-02,880.2963770719073
2003-03,907.7658723610099
2003-04,1042.8824575332198
2003-05,1086.814822599488
2003-06,1109.0101513097686
2003-07,1188.2274557728642
2003-08,1253.4961185715174
2003-09,1365.8177890270479
2003-10,1504.4554689182794
2003-11,1514.6264482018007
2003-12,1625.5135548643932
2004-01,1543.6774302173296
2004-02,1668.300029580348
2004-03,1621.9980868887956
2004-04,1527.3983382573513
2004-05,1518.2658909605966
2004-06,1550.1681075201022
2004-07,1582.8341129273185
2004-08,1672.6103236676543
2004-09,1736.9616461546084
2004-10,1794.4162195738247
2004-11,1889.1387481137629
2004-12,1976.382135559414
2005-01,1909.9950196280913
2005-02,2085.2382483319348
2005-03,2039.888291891349
2005-04,2037.588628994729
2005-05,2078.9849781992148
2005-06,2208.4321063429934
2005-07,2363.4671034546654
2005-08,2408.4995546002233
2005-09,2647.264776410853
2005-10,2475.3190105243175
2005-11,2603.181207867397
2005-12,2610.853178141652
2006-01,2793.8131826287054
2006-02,2875.053225021714
2006-03,2851.503391834571
2006-04,2968.7916271387076
2006-05,2687.722311165773
2006-06,2654.2971617834805
2006-07,2761.7528171385
2006-08,2851.372696460297
2006-09,2943.232645409852
2006-10,3144.202936322245
2006-11,3290.5749784559607
2006-12,3446.9026001856046
2007-01,3591.2392487423804
2007-02,3606.9211952535575
2007-03,3740.9368400166545
2007-04,4165.995650983734
2007-05,4301.999151169401
2007-06,4550.595730221798
2007-07,4696.046922761287
2007-08,4477.913743053644
2007-09,4714.948714317869
2007-10,5200.292382592145
2007-11,4727.566794923747
2007-12,4639.34196536409
2008-01,4477.804262230093
2008-02,4789.45071318885
2008-03,4942.701156944269
2008-04,5151.356504723773
2008-05,5176.5050817960155
2008-06,4720.435907514877
2008-07,4683.836898002753
2008-08,4426.231818352709
2008-09,3893.864511227706
2008-10,2774.284711051981
2008-11,2840.8745116463365
2008-12,3052.707059749929
2009-01,3082.2396766371153
2009-02,2995.323992752985
2009-03,3243.2155778148294
2009-04,3511.913218237693
2009-05,4193.0047282351825
2009-06,4301.321103010247
2009-07,4626.957490995684
2009-08,4615.015295467049
2009-09,5169.832437805575
2009-10,5020.434305559444
2009-11,5374.597947032435
2009-12,5569.281268675158
2010-01,5576.545743914242
2010-02,5692.195299786325
2010-03,5727.232704319083
2010-04,5859.973267155987
2010-05,5815.0901826448735
2010-06,5919.155802969176
2010-07,6600.880698941397
2010-08,7071.4059605482125
2010-09,7746.677773286019
2010-10,8191.625830723825
2010-11,7881.190614264906
2010-12,8144.928085016599
2011-01,7494.871863300735
2011-02,7370.953757013738
2011-03,7566.6210292957085
2011-04,7952.287842566008
2011-05,7996.345183610615
2011-06,7815.851678986761
2011-07,7618.022292776075
2011-08,7521.992138694582
2011-09,6325.6026861512355
2011-10,7221.911049709126
2011-11,6717.719608310423
2011-12,6775.264679567061
2012-01,7354.875209019655
2012-02,7844.864250987169
2012-03,7918.896040035096
2012-04,8089.378104457359
2012-05,7297.988759800172
2012-06,7514.2839569935295
2012-07,7499.345952162067
2012-08,7382.328797232472
2012-09,7654.588593733245
2012-10,7742.32415423969
2012-11,7601.562112794497
2012-12,8043.076852401567
2013-01,8380.130338469997
2013-02,8107.3364856164735
2013-03,8003.061129068113
2013-04,7627.521963486095
2013-05,7056.057581890749
2013-06,6713.228570425774
2013-07,6454.4583857207
2013-08,6404.299152534215
2013-09,6686.769935356135
2013-10,6786.303702725209
2013-11,6262.627796151459
2013-12,6209.185660121449
2014-01,5546.296958129929
2014-02,5874.935748312369
2014-03,6285.628118191022
2014-04,6460.870009467123
2014-05,6527.500569320948
2014-06,6614.126285493085
2014-07,6446.958981353227
2014-08,6536.230373486119
2014-09,6149.424515048256
2014-10,6044.358478055807
2014-11,5779.750711946055
2014-12,5492.601597778149
2015-01,5180.892321841758
2015-02,5328.826554915971
2015-03,5127.301538068394
2015-04,5584.314885097063
2015-05,5303.444215776888
2015-06,5093.485525376567
2015-07,4734.871557921744
2015-08,4387.03123609452
2015-09,4198.026060991561
2015-10,4462.196695457815
2015-11,4019.653460201292
2015-12,4017.172207113977
2016-01,4031.5581240299093
2016-02,4175.943483492922
2016-03,4724.244909317114
2016-04,4985.742449855384
2016-05,4617.380284474725
2016-06,4982.475408394315
2016-07,5054.27626483001
2016-08,4989.476751355596
2016-09,4973.902275542506
2016-10,5175.3457969864
2016-11,4963.088529608532
2016-12,5039.126916846985
2017-01,5305.610755827364
2017-02,5344.67938992787
2017-03,5631.835146148268
2017-04,5557.655188
2017-05,5711.588126
2017-06,5680.994061
2017-07,6072.779486
2017-08,6398.946031
2017-09,6478.020692
2017-10,6596.646148
2017-11,6176.102964
2017-12,6863.9146
2018-01,7450.225909
2018-02,7132.405968
2018-03,7133.363427
2018-04,7402.964107797722
2018-05,6921.9412857591815
2018-06,6727.756948757365
2018-07,6897.535827404523
2018-08,6406.386414407413
2018-09,6586.916060867848
2018-10,6048.919133591747
2018-11,6089.33814064548
2018-12,5936.971644082565
2019-01,6621.577694193846
2019-02,6623.402580746959
2019-03,6540.839434285774
2019-04,6432.473961113361
2019-05,5868.166215723305
2019-06,6429.972820988316
2019-07,6180.630373225202
2019-08,5374.006058955289
2019-09,5539.015436744516
2019-10,5443.815209974509
2019-11,5123.744622766487
2019-12,5610.496970803018
2020-01,5232.683512726392
2020-02,4663.053899716998
2020-03,3468.796086305395
2020-04,3915.2281162163063
2020-05,3884.1605372058966
2020-06,4054.679365893417
2020-07,4396.504380010353
2020-08,4256.004090534459
2020-09,4021.4370497566165
2020-10,4008.5906472819856
2020-11,4666.588085125471
2020-12,5279.894671385945
