Date,FM ASIA INDEX
2009-05,1000.0
2009-06,1016.4828397493169
2009-07,1082.021183233254
2009-08,1246.5730171784678
2009-09,1317.9326692691673
2009-10,1312.0946537886043
2009-11,1236.5714339172755
2009-12,1244.645083241742
2010-01,1246.3307526089775
2010-02,1246.9299807962366
2010-03,1301.0106444504704
2010-04,1355.915741877755
2010-05,1247.9806749253053
2010-06,1298.766657664442
2010-07,1360.8716757849356
2010-08,1327.2929684721917
2010-09,1379.5773813812411
2010-10,1425.4479536295275
2010-11,1463.118730854222
2010-12,1522.4145518846162
2011-01,1480.9700779433952
2011-02,1239.4478562171125
2011-03,1326.1062573034667
2011-04,1322.7203790842843
2011-05,1263.7639884165465
2011-06,1291.5603180461922
2011-07,1297.3008498393528
2011-08,1236.4428619039666
2011-09,1221.0586138122583
2011-10,1162.9304939716985
2011-11,1101.9079336201214
2011-12,1038.337073564142
2012-01,1022.9312350305973
2012-02,1106.3433040966645
2012-03,1144.5420187387285
2012-04,1167.2546784432586
2012-05,1087.6424914739632
2012-06,1075.1522963411098
2012-07,1077.8380942266876
2012-08,1111.748171470418
2012-09,1143.9980708693113
2012-10,1104.9245795539036
2012-11,1089.8050533815613
2012-12,1156.166110677812
2013-01,1222.205071952216
2013-02,1232.5210008716979
2013-03,1227.4427180864996
2013-04,1225.5865960008591
2013-05,1376.731517993185
2013-06,1286.2239172397863
2013-07,1332.1366367534363
2013-08,1276.100153003324
2013-09,1261.7020294678769
2013-10,1322.2296786025681
2013-11,1327.462865222568
2013-12,1367.6201137489027
2014-01,1452.7305802334165
2014-02,1455.3719076008078
2014-03,1504.6498042778323
2014-04,1551.6313170823328
2014-05,1561.9960359195786
2014-06,1562.694524000801
2014-07,1602.6461388551133
2014-08,1590.287679422381
2014-09,1608.7196749926445
2014-10,1608.714248484559
2014-11,1550.0889176374633
2014-12,1595.128006337633
2015-01,1618.9096149992913
2015-02,1605.1314209597333
2015-03,1469.5655038365455
2015-04,1543.814000708828
2015-05,1518.0634595031872
2015-06,1573.6451826796635
2015-07,1642.7215211361117
2015-08,1511.669777475508
2015-09,1408.126242359971
2015-10,1455.7935682214354
2015-11,1357.7760364715973
2015-12,1382.3752319006326
2016-01,1295.219067266205
2016-02,1302.2709017519628
2016-03,1322.0842576109972
2016-04,1391.8003913853875
2016-05,1431.38212181189
2016-06,1481.6531051559093
2016-07,1540.1361438597066
2016-08,1544.777047238281
2016-09,1545.440921831665
2016-10,1514.0568803295716
2016-11,1515.5533704318086
2016-12,1589.3369913341367
2017-01,1609.9374981603105
2017-02,1626.736123004851
2017-03,1639.3402261160295
2017-04,1661.045389
2017-05,1680.275913
2017-06,1732.879883
2017-07,1722.359161
2017-08,1755.487203
2017-09,1822.338303
2017-10,1917.596685
2017-11,2184.727031
2017-12,2317.649026
2018-01,2524.273769
2018-02,2504.563793
2018-03,2635.771509
2018-04,2459.376941403848
2018-05,2227.1390069123477
2018-06,2233.45069354271
2018-07,2189.6971107519207
2018-08,2210.3838973469733
2018-09,2218.3829799609202
2018-10,2042.8478590696254
2018-11,2103.650721529238
2018-12,2019.4807539491023
2019-01,2103.8571039144863
2019-02,2260.623461933973
2019-03,2256.007148363263
2019-04,2222.5970572906062
2019-05,2175.852897208408
2019-06,2167.330675579066
2019-07,2229.984421120675
2019-08,2209.040645635
2019-09,2223.9292039318657
2019-10,2202.813991983529
2019-11,2174.508592975968
2019-12,2105.6706875527893
2020-01,2037.1268694397327
2020-02,1900.8607919481115
2020-03,1477.912742215617
2020-04,1671.6775648820465
2020-05,1875.3682092392069
2020-06,1820.4714554380691
2020-07,1791.8974509045215
2020-08,1964.2365984381343
2020-09,2001.7779390397038
2020-10,2109.8089965027702
2020-11,2218.553497862367
2020-12,2395.2356411852697
2021-01,2351.429374671144
2021-02,2494.9713489662527
2021-03,2479.5885000945514
2021-04,2667.1814992073073
2021-05,2758.144744516125
2021-06,2881.6985336959683
2021-07,2723.5667093442157
2021-08,2767.701470582338
2021-09,2821.8923358538837
2021-10,2949.137998633786
2021-11,2914.9789222470763
2021-12,2928.4835102536335
2022-01,2835.9035384969898
2022-02,2749.912765220994
2022-03,2673.5209666403316
2022-04,2488.1729722319137
2022-05,2301.329403730491
2022-06,2127.3499081806403
2022-07,2072.721157027293
2022-08,2174.1817664810314
2022-09,1925.6592875111237
2022-10,1686.761131535608
2022-11,1763.1029286721227
2022-12,1691.8548764071422
2023-01,1830.7339181739053
2023-02,1655.9676263593565
2023-03,1740.6746897956357
2023-04,1707.830496309884
2023-05,1713.1197445777016
2023-06,1789.8340962764637
