Date,MSCI ACWI ex BELGIUM
1998-12,1000.0
1999-01,1020.3352584747273
1999-02,994.5758913256223
1999-03,1041.0871150858757
1999-04,1086.5685883888473
1999-05,1049.2086899966234
1999-06,1102.207692843659
1999-07,1097.1240636863276
1999-08,1095.740881743733
1999-09,1084.0746648320487
1999-10,1138.644013721456
1999-11,1174.1467467466032
1999-12,1271.6837208183224
2000-01,1203.1264531180334
2000-02,1207.2614252574162
2000-03,1287.496393570236
2000-04,1229.7952673940865
2000-05,1198.625732223329
2000-06,1239.0370269762227
2000-07,1201.9852290271483
2000-08,1240.0381808604056
2000-09,1171.7064204989563
2000-10,1148.2785873860662
2000-11,1076.9579072984313
2000-12,1094.2061883577762
2001-01,1122.172055061527
2001-02,1027.4849105257654
2001-03,958.4655575836946
2001-04,1028.6105006995804
2001-05,1017.2827177228147
2001-06,985.6110981393834
2001-07,970.0428766929095
2001-08,925.1955301397076
2001-09,840.723589164927
2001-10,858.7820609148525
2001-11,911.7000144812049
2001-12,920.0775730849684
2002-01,894.9745331093078
2002-02,888.4031728188654
2002-03,928.604629838943
2002-04,898.8785210636673
2002-05,900.0255719387118
2002-06,844.9403097957361
2002-07,774.2710642667406
2002-08,776.2591815116547
2002-09,691.3044975953349
2002-10,742.1711237300841
2002-11,782.8070426582146
2002-12,745.2582356771533
2003-01,723.5645227296483
2003-02,711.1889719484519
2003-03,708.5199820827069
2003-04,771.552287070207
2003-05,816.305390268138
2003-06,832.0444331703525
2003-07,850.5056934642802
2003-08,870.8343767191152
2003-09,876.2375968449289
2003-10,929.4385884038444
2003-11,943.5768873028919
2003-12,1003.351008844849
2004-01,1020.4207336302419
2004-02,1039.1425237754745
2004-03,1033.8022254231623
2004-04,1009.9441278296074
2004-05,1018.3549035107808
2004-06,1038.8825580355026
2004-07,1005.8675014517802
2004-08,1012.2025032371248
2004-09,1033.2502159983858
2004-10,1058.5597185510578
2004-11,1116.648322361775
2004-12,1160.117937068677
2005-01,1135.7510393461805
2005-02,1175.5028625760508
2005-03,1149.9949672420476
2005-04,1125.4523019662465
2005-05,1147.5013178827292
2005-06,1159.6506086716556
2005-07,1202.8038401954552
2005-08,1212.4567418353136
2005-09,1249.3901276701429
2005-10,1215.9565445643975
2005-11,1260.9466970986916
2005-12,1292.1539530374296
2006-01,1355.9140920838674
2006-02,1354.3810530323103
2006-03,1383.4698405092731
