Date,ACWI ex NEW ZEALAND
1998-12,1000.0
1999-01,1019.8268989684872
1999-02,993.8790763916702
1999-03,1039.5628960230322
1999-04,1084.2866794880977
1999-05,1047.074484688423
1999-06,1099.7610044479745
1999-07,1094.7346136359206
1999-08,1093.7104950207531
1999-09,1081.980573086986
1999-10,1136.1276100374648
1999-11,1171.2403766916211
1999-12,1268.4438347388618
2000-01,1199.4157187044266
2000-02,1203.3722676032958
2000-03,1283.090791126215
2000-04,1225.622784631174
2000-05,1194.9546508249555
2000-06,1235.3688588513348
2000-07,1198.5956269577885
2000-08,1236.4028810827097
2000-09,1168.3483475578432
2000-10,1145.0335163319148
2000-11,1073.9542324126774
2000-12,1091.4721821284609
2001-01,1119.0993107684276
2001-02,1025.0377832307054
2001-03,956.0363198181869
2001-04,1025.6642002558763
2001-05,1014.2873199933057
2001-06,982.9148922499726
2001-07,967.6861855040556
2001-08,923.1863921795245
2001-09,838.9177895450895
2001-10,856.703254546557
2001-11,909.3646448016818
2001-12,917.9003628037108
2002-01,892.7169089182124
2002-02,886.156766835516
2002-03,926.175639468743
2002-04,896.816982491232
2002-05,898.0244643276227
2002-06,843.199620723241
2002-07,772.4845926356962
2002-08,774.4584293580501
2002-09,689.4740715477493
2002-10,740.2404785390216
2002-11,780.7647212628615
2002-12,743.4931859555696
2003-01,721.7323039025084
2003-02,709.0960732041547
2003-03,706.3999055291922
2003-04,769.5040736257688
2003-05,814.2681201902575
2003-06,829.8750290266735
2003-07,848.3329681396956
2003-08,868.4764054510913
2003-09,874.0112758772345
2003-10,927.0594660641601
2003-11,941.1943711014153
2003-12,1000.9184829873815
2004-01,1018.0538311459782
2004-02,1036.8436307356455
2004-03,1031.2604362873328
2004-04,1007.6183387674592
2004-05,1016.1341404278102
2004-06,1036.640388075541
2004-07,1003.7233641499637
2004-08,1010.2374133155386
2004-09,1031.481131267876
2004-10,1056.9631584248962
2004-11,1114.963775958704
2004-12,1158.4251544234564
2005-01,1134.0994070754916
2005-02,1173.8705976081555
2005-03,1148.5375091042515
2005-04,1123.9347567707346
2005-05,1145.8189154136446
2005-06,1157.8650791801035
2005-07,1201.0051945616142
2005-08,1210.6802621996262
2005-09,1247.4488500511234
2005-10,1214.0876566355314
2005-11,1258.9592245057468
2005-12,1290.2654347043915
2006-01,1354.1399888319593
2006-02,1352.7272572820355
2006-03,1381.780938119931
2006-04,1428.442564790727
2006-05,1373.3675504139624
2006-06,1373.3894841537694
2006-07,1383.0808700028454
2006-08,1419.6201077208448
2006-09,1436.530493872538
2006-10,1490.6576385079293
2006-11,1533.5161256387166
2006-12,1568.0640357864636
2007-01,1584.0166221708023
2007-02,1576.31003944723
2007-03,1608.5761453381099
2007-04,1680.8548366635682
2007-05,1732.3930276255069
2007-06,1727.875313656367
2007-07,1701.8825454612177
2007-08,1698.036192516566
2007-09,1789.637061041553
2007-10,1859.8799892878114
2007-11,1778.380194594071
2007-12,1759.1556910997112
2008-01,1615.4689106049498
2008-02,1620.8161244232433
2008-03,1597.7981059553304
2008-04,1688.1288028298986
2008-05,1716.4399423866132
2008-06,1576.1434919378003
2008-07,1535.682705348686
2008-08,1503.2772675241038
2008-09,1315.9974837891634
2008-10,1055.5680612878682
2008-11,986.8911618249679
2008-12,1023.1482748659954
2009-01,936.0368065642313
2009-02,844.9666937731421
2009-03,915.0013213924816
2009-04,1023.8577348166596
2009-05,1127.1004539540183
2009-06,1121.2115013709765
2009-07,1220.3004577696354
2009-08,1264.438114119864
2009-09,1322.834294059046
2009-10,1302.6428294074594
2009-11,1356.8551447325399
2009-12,1385.3428582575432
2010-01,1325.7548323287588
2010-02,1343.1494024772933
2010-03,1430.231337246729
2010-04,1433.3633739966842
2010-05,1298.7544019342445
2010-06,1259.1885834354166
2010-07,1362.0506131733218
2010-08,1314.9789832555177
2010-09,1441.2416806923775
2010-10,1493.602129347102
2010-11,1460.9800824554268
2010-12,1568.4105922831432
2011-01,1593.3846998005126
2011-02,1640.459656490056
2011-03,1639.4773419889962
2011-04,1707.4679909258714
2011-05,1672.3062038002622
2011-06,1646.6070380943938
2011-07,1620.273529085697
2011-08,1502.5475818389998
2011-09,1361.226452427384
2011-10,1507.4917707381217
2011-11,1463.1394692892666
2011-12,1460.6654505209688
2012-01,1545.9993250142245
2012-02,1624.5731302310007
2012-03,1636.1225720811683
2012-04,1618.456132732912
2012-05,1474.8007659973132
2012-06,1548.4006855990376
2012-07,1570.0704793556547
2012-08,1605.0096391540583
2012-09,1656.2008680717008
2012-10,1645.5733627658778
2012-11,1667.410583866465
2012-12,1705.9911632463427
2013-01,1785.0305186271376
2013-02,1785.5735556084344
2013-03,1819.0700788182876
2013-04,1872.2308611240176
2013-05,1868.7860258498251
2013-06,1814.9271124826419
2013-07,1902.4090408566844
2013-08,1863.5675571631791
2013-09,1960.4588241533552
2013-10,2039.7149272882014
2013-11,2069.526692736018
