Date,AC ASIA ex JAPAN+CHINA A ONSHORE
2013-09,2427.7384316518696
2013-10,2500.831492332575
2013-11,2522.743915614446
2013-12,2480.9486168304247
2014-01,2360.019570799442
2014-02,2412.617624897272
2014-03,2416.412205746483
2014-04,2427.260137463831
2014-05,2508.1579364258714
2014-06,2566.8184427768265
2014-07,2698.4071576798783
2014-08,2716.968338586408
2014-09,2624.168904618391
2014-10,2679.835147500093
2014-11,2749.2075233825985
2014-12,2851.996441747397
2015-01,2884.5630201180757
2015-02,2959.5042995828803
2015-03,3113.341192511111
2015-04,3441.227356346572
2015-05,3443.1989965316434
2015-06,3258.5921986486014
2015-07,2953.8407489501838
2015-08,2615.313643398489
2015-09,2538.72513851766
2015-10,2776.3963218085923
2015-11,2715.879065261151
2015-12,2737.809653930151
2016-01,2343.4803510608413
2016-02,2316.5103380299734
2016-03,2598.8592389039013
2016-04,2560.213694327435
2016-05,2522.271468033548
2016-06,2574.383489222623
2016-07,2674.514820577794
2016-08,2767.0002172904938
2016-09,2779.901755346844
2016-10,2757.8389724067647
2017-04,2932.164641
2017-05,3021.582412
2017-06,3115.366031
2017-07,3265.919873
2017-08,3339.940117
2017-09,3342.527573
2017-10,3481.071494
2017-11,3466.534355
2017-12,3548.003988
2018-01,3813.918616
2018-02,3606.052866
2018-03,3545.993609
2018-04,3504.9645702346156
2018-05,3458.4170436019717
2018-06,3237.828231287346
2018-07,3239.3997962248613
2018-08,3162.239879264114
2018-09,3144.2364741115116
2018-10,2808.843839040736
2018-11,2934.78380209335
2018-12,2849.9478876021094
2019-01,3067.51764385711
2019-02,3229.433441930581
2019-03,3322.759085337275
2019-04,3370.968315838219
2019-05,3080.271369420104
2019-06,3277.0151294400207
2019-07,3242.4250291344197
2019-08,3104.4251382380307
2019-09,3147.973644399399
2019-10,3275.6797325332536
2019-11,3272.248421651302
2019-12,3507.2302766054254
2020-01,3393.115123447183
2020-02,3311.0942397669423
2020-03,2950.413840696039
2020-04,3198.7358515870487
2020-05,3157.42536495753
2020-06,3439.342638424584
2020-07,3802.384150015619
2020-08,3945.411961287667
2020-09,3843.8114300046477
2020-10,3960.433935594188
2020-11,4263.530845917351
2020-12,4547.201426252503
