Date,MSCI ZHONG HUA (A ONSHORE) + HSBC
2004-12,995.1788275036175
2005-01,959.7209850318295
2005-02,1006.6984021244733
2005-03,946.5797755475836
2005-04,961.1803826383014
2005-05,953.341755172076
2005-06,977.4873102308811
2005-07,1017.6043047781047
2005-08,1020.2419628108686
2005-09,1046.8444855974747
2005-10,983.0034607044452
2005-11,1017.6204068702418
2005-12,1036.4430045094878
2006-01,1114.0924681092336
2006-02,1140.9467124798834
2006-03,1153.0821381928397
2006-04,1212.0272524527752
2006-05,1218.9092728647888
2006-06,1234.422076109546
2006-07,1245.5192263797837
2006-08,1277.6061735293617
2006-09,1306.8970066252593
2006-10,1362.0644910836654
2006-11,1463.0106099860038
2006-12,1599.0429275587167
2007-01,1637.091859181609
2007-02,1633.6101779410046
2007-03,1704.122027135329
2007-04,1888.4910257122733
2007-05,2010.6746275962346
2007-06,2047.8164722557078
2007-07,2274.6268185426584
2007-08,2456.346223443749
2007-09,2727.7749744845796
2007-10,2967.875219972317
2007-11,2598.359414810847
2007-12,2686.720801478717
2008-01,2300.145523033235
2008-02,2401.3139458880423
2008-03,2127.2153896071895
2008-04,2312.073756619214
2008-05,2204.366257001005
2008-06,1887.9116590455483
2008-07,1929.361818818489
2008-08,1748.1502848141527
2008-09,1528.654300409651
2008-10,1168.6143718032486
2008-11,1212.875145309253
2008-12,1240.4794200995718
2009-01,1226.00298313768
2009-02,1222.8091065868716
2009-03,1352.4839421160768
2009-04,1500.8201849642473
2009-05,1701.8468531301296
2009-06,1806.8686008891295
2009-07,2071.0791823495942
2009-08,1816.77981929093
2009-09,1931.3943822627516
2009-10,2041.9262454280747
2009-11,2129.2537383211034
2009-12,2147.1226250853956
2010-01,1964.9166082666418
2010-02,2018.4984106115087
2010-03,2069.0788511215337
2010-04,1994.8555758228006
2010-05,1840.6617638176604
2010-06,1801.6993797098035
2010-07,1956.6526249274045
2010-08,1955.3515914580316
2010-09,2088.56733374396
2010-10,2248.06554436145
2010-11,2184.576654835923
2010-12,2184.1372743019692
2011-01,2166.780784210375
2011-02,2220.7153589482405
2011-03,2237.068759841751
2011-04,2257.8714808120253
2011-05,2197.758782491068
2011-06,2173.6263514016973
2011-07,2163.61063644107
2011-08,2023.7908596903806
2011-09,1756.5728096499085
2011-10,1928.9419964023075
2011-11,1773.8336633503648
2011-12,1740.6317228902255
2012-01,1872.3295900316168
2012-02,2013.895451978661
2012-03,1891.852867822928
2012-04,1974.5097322672864
2012-05,1857.1026887753846
2012-06,1855.152290862197
2012-07,1821.933514581574
2012-08,1775.6549663359033
2012-09,1887.5765392548594
2012-10,1932.2069064666782
2012-11,1916.6539570815428
2012-12,2082.240500998889
2013-01,2203.4505861205525
2013-02,2166.2485859392305
2013-03,2066.638649308261
2013-04,2080.278524265882
2013-05,2141.0310016717476
2013-06,1934.320992797313
2013-07,2001.2694824177454
2013-08,2049.1205904759945
2013-09,2147.3741277597283
2013-10,2162.4355456997073
2013-11,2235.559380132087
2013-12,2172.1799327951294
2014-01,2054.9154526863354
2014-02,2076.1587251150113
2014-03,2027.2252932974754
2014-04,2016.0080148237632
2014-05,2079.907253680262
2014-06,2116.208651700742
2014-07,2293.601052326401
2014-08,2298.6293498546065
2014-09,2257.050569935736
2014-10,2340.609678853116
2014-11,2447.0404872328263
2014-12,2650.228825628315
2015-01,2659.4028805370876
2015-02,2732.1857586593455
2015-03,2970.2301518618165
2015-04,3440.1663799542907
2015-05,3485.774381367548
2015-06,3253.80046152
2015-07,2887.7366923290538
2015-08,2503.599627619414
2015-09,2405.924965576912
2015-10,2658.524467189838
2015-11,2625.1148042137565
2015-12,2659.717830884412
2016-01,2146.7432213886846
2016-02,2103.0371846710586
2016-03,2360.707114890633
2016-04,2335.3973797774233
2016-05,2305.6175528039103
2016-06,2317.638514371582
2016-07,2391.9174139169904
2016-08,2510.0346654705845
2016-09,2516.6159225024057
2016-10,2509.8749247404457
2017-04,2607.126877
2017-05,2674.550598
2017-06,2789.972246
2017-07,2946.803684
2017-08,3053.80186
2017-09,3072.104609
2017-10,3160.582721
2017-11,3152.526254
2017-12,3209.871766
2018-01,3492.331004
2018-02,3280.636264
2018-03,3190.673493
2018-04,3130.2253974495125
2018-05,3132.1800978300907
2018-06,2901.0052261915725
2018-07,2850.964653534919
2018-08,2714.716052813847
2018-09,2718.828385856439
2018-10,2429.8077337123245
2018-11,2552.344310585645
2018-12,2446.0584986154677
2019-01,2672.8223728434164
2019-02,2889.0913358426064
2019-03,2995.125670221516
2019-04,3037.0525863910634
2019-05,2729.3384286738224
2019-06,2911.1001827542227
2019-07,2897.0770646114597
2019-08,2757.2308007043616
2019-09,2770.395980176354
2019-10,2865.6122546373726
2019-11,2866.970663089409
2019-12,3089.820027771207
2020-01,3001.2590211827983
2020-02,2987.6414837528287
2020-03,2743.6560581698795
2020-04,2916.43205737614
2020-05,2858.829993455349
2020-06,3130.4305246610893
2020-07,3468.7281496055857
2020-08,3642.0173859907213
2020-09,3496.1368498936936
2020-10,3636.555810759917
2020-11,3840.4554169516596
2020-12,4013.0232178768283
