Date,MSCI EFM EUROPE + CIS (E+C)
2002-05,175.12363239893506
2002-06,156.34625078025283
2002-07,143.49053860086008
2002-08,150.73189528318963
2002-09,146.8161365285223
2002-10,159.3640267385374
2002-11,170.7036153149374
2002-12,163.83310214240686
2003-01,159.00169451937066
2003-02,168.9078905188135
2003-03,157.93383445671884
2003-04,186.64177705474827
2003-05,208.4057057961027
2003-06,212.8793125540381
2003-07,205.90613363776487
2003-08,233.62756021894842
2003-09,247.24641263945978
2003-10,243.92721085313886
2003-11,249.2195781214081
2003-12,274.1888009865615
2004-01,286.8299781153061
2004-02,310.26153879145824
2004-03,342.8215992736112
2004-04,301.8831427680438
2004-05,295.6077319132466
2004-06,300.9330651642747
2004-07,292.39045055394115
2004-08,310.94682849910635
2004-09,335.2897671750237
2004-10,355.0177164519602
2004-11,364.33665722802755
2004-12,382.7894217224908
2005-01,389.22838455109047
2005-02,444.6096437265754
2005-03,401.4397744762565
2005-04,382.07096504918155
2005-05,392.7378333397945
2005-06,417.03022523681005
2005-07,459.38697232157244
2005-08,503.57457113932156
2005-09,563.666543924225
2005-10,516.8943421539338
2005-11,558.4330525557255
2005-12,579.8770501281851
2006-01,665.6419962363007
2006-02,697.7979632040051
2006-03,682.2233148339205
2006-04,755.3742723908057
2006-05,661.5830514988678
2006-06,664.6031140710545
2006-07,700.3349201789712
2006-08,714.7700440546408
2006-09,678.8951571731949
2006-10,714.3462316344121
2006-11,776.0909114257306
2006-12,804.4612311701607
2007-01,781.3091717141306
2007-02,765.7516804088433
2007-03,804.9609974378436
2007-04,817.363267404899
2007-05,792.1713146776525
2007-06,852.0609831628933
2007-07,890.9092443952937
2007-08,851.2585900677992
2007-09,925.015312094249
2007-10,1009.3922517467395
2007-11,999.9999999999986
2007-12,1034.3169725343553
2008-01,868.5807796443572
2008-02,920.0974906482252
2008-03,897.7436909662116
2008-04,925.4971439762828
2008-05,1035.397874296243
2008-06,960.8676028842436
2008-07,892.377550100824
2008-08,774.2342033953875
2008-09,615.094626291504
2008-10,401.9154376597056
2008-11,342.59249611079764
2008-12,334.48408104281606
2009-01,286.12888193060616
2009-02,265.9906075153516
