Date,ACWI ex ITALY
1998-12,1000.0
1999-01,1021.6645465721439
1999-02,995.4621202339746
1999-03,1041.3513420319273
1999-04,1088.0090847610104
1999-05,1050.8501138895433
1999-06,1105.2059005672343
1999-07,1100.739016893394
1999-08,1099.2139099181586
1999-09,1086.759365527173
1999-10,1142.822662056132
1999-11,1178.299714654925
1999-12,1274.7219011713626
2000-01,1205.2345132561502
2000-02,1206.313261412152
2000-03,1289.72638022956
2000-04,1232.4240199345845
2000-05,1199.800948924053
2000-06,1239.469634741283
2000-07,1202.8267132797896
2000-08,1241.7903538531455
2000-09,1173.514949915544
2000-10,1149.145540844795
2000-11,1076.0937767405042
2000-12,1093.5380289675936
2001-01,1121.4414254419087
2001-02,1027.5988821893409
2001-03,958.3744815560268
2001-04,1028.5471574920653
2001-05,1018.6953311017895
2001-06,987.3745536285167
2001-07,971.4005926904603
2001-08,926.0750444432056
2001-09,842.3992043284906
2001-10,860.1031907906795
2001-11,913.7282932147714
2001-12,922.2383164349955
2002-01,897.0928589127592
2002-02,890.4167465044102
2002-03,930.3500842087485
2002-04,900.2493224150392
2002-05,901.8187198083608
2002-06,845.8980199001568
2002-07,775.1848502344707
2002-08,777.0557166832218
2002-09,692.1660844118879
2002-10,743.0344329553546
2002-11,783.2522633247632
2002-12,745.520262996864
2003-01,723.5773544209131
2003-02,710.3638688521938
2003-03,708.5310629089503
2003-04,771.3044836523231
2003-05,815.5058563508895
2003-06,831.6056312176516
2003-07,850.3718289287388
2003-08,871.277836833742
2003-09,876.4637362972632
2003-10,929.7888672116399
2003-11,943.1084894469359
2003-12,1003.2122611162083
2004-01,1020.3503737414155
2004-02,1039.3013920123244
2004-03,1034.2167870777457
2004-04,1009.8790465540108
2004-05,1018.3031373420985
2004-06,1038.6127504851227
2004-07,1005.5814890402763
2004-08,1012.3656214585085
2004-09,1033.129330016528
2004-10,1058.065263186037
2004-11,1115.7004022460735
2004-12,1158.4071138991694
2005-01,1134.1278504218506
2005-02,1174.0138418935073
2005-03,1148.2218213916533
2005-04,1124.0626876470067
2005-05,1146.453330210203
2005-06,1158.5490041677542
2005-07,1201.5957418870748
2005-08,1211.3304846205178
2005-09,1248.3420148204586
2005-10,1215.7670753563475
2005-11,1260.9153069150984
2005-12,1291.8171371874066
2006-01,1355.6411421457724
2006-02,1353.9777446917792
2006-03,1382.9810231083043
2006-04,1429.431199982235
2006-05,1373.371651206205
2006-06,1373.2045370709427
