Date,EFM AFRICA ex ZA SMALL CAP
2010-11,1000.0
2010-12,1000.9768744278551
2011-01,949.5652413329462
2011-02,911.4319497461366
2011-03,867.231428948493
2011-04,889.1675256492224
2011-05,925.4775686064966
2011-06,909.5834329210177
2011-07,859.9236732995078
2011-08,793.2709067208983
2011-09,693.4857733599382
2011-10,711.5308129640797
2011-11,657.5753119688608
2011-12,622.6308535168653
2012-01,662.6252143795704
2012-02,733.5363394614051
2012-03,682.3212888472459
2012-04,709.5632176326687
2012-05,688.1719448353849
2012-06,677.2979419766623
2012-07,693.8539210611033
2012-08,732.5687665923871
2012-09,813.061265330895
2012-10,823.9201525502574
2012-11,758.6634563889924
2012-12,803.3743801197546
2013-01,882.0308810129259
2013-02,872.7228502522016
2013-03,878.4913072281962
2013-04,857.1707437135832
2013-05,936.57175722778
2013-06,850.7328611648421
2013-07,913.6789526116597
2013-08,876.9515964525062
2013-09,917.1462968287723
2013-10,990.7920103849344
2013-11,1024.535738290375
2013-12,1097.5286366521473
2014-01,1116.743029254328
2014-02,1167.0936805152064
2014-03,1117.988728954006
2014-04,1136.396221613257
2014-05,1165.1872599642325
2014-06,1208.29466413424
2014-07,1229.2486352277745
2014-08,1257.8506932363305
2014-09,1244.479941583361
2014-10,1144.1184413072694
2014-11,1091.9979409518662
2014-12,998.6515494408238
2015-01,961.6118498189259
2015-02,908.164927069499
2015-03,885.5899173827744
2015-04,879.8949476476471
2015-05,886.0822624710732
2015-06,842.588509439537
2015-07,785.5427613450057
2015-08,728.8428562736143
2015-09,707.4044365153808
2015-10,691.9276019432964
2015-11,640.409557905394
2015-12,661.6004186010182
2016-01,610.6105923300163
2016-02,589.8907074492366
2016-03,631.9575157169434
2016-04,634.9023658079508
2016-05,642.6437432700077
2016-06,582.7165755730038
2016-07,597.0078017296975
2016-08,579.8310997393702
2016-09,575.8823570130431
2016-10,583.7293015907785
2016-11,505.34869258285266
2016-12,535.02813130449
2017-01,539.3969082240036
2017-02,560.0914301069616
2017-03,561.0228401740981
2017-04,565.536581
2017-05,594.305916
2017-06,622.808583
2017-07,635.406957
2017-08,630.710823
2017-09,635.312947
2017-10,653.453444
2017-11,669.848071
2017-12,688.490319
2018-01,739.268787
2018-02,729.514923
2018-03,764.136627
2018-04,772.8497705092841
2018-05,709.1786716912026
2018-06,703.1414112273566
2018-07,680.8683459818023
2018-08,665.8410575172911
2018-09,611.0816895426524
2018-10,566.2538152055613
2018-11,565.6502487994612
2018-12,567.1756177409703
2019-01,591.0436482644456
2019-02,597.9888750672883
2019-03,580.4058896760213
2019-04,571.783306596109
2019-05,549.2714798817519
2019-06,569.1237090382498
2019-07,554.2976582330682
2019-08,574.2082491547974
2019-09,558.310594626883
2019-10,571.0536755951312
2019-11,569.3262336318865
2019-12,584.5948838706544
2020-01,584.0082619479931
2020-02,532.529925565197
2020-03,404.8585397460155
2020-04,436.1985479394206
2020-05,449.41371684028366
2020-06,464.56985963182404
2020-07,462.20487078297396
2020-08,477.41985416472596
2020-09,474.11082423605006
2020-10,485.614826995553
2020-11,520.3526927412431
2020-12,529.1313117551675
2021-01,548.7091330391363
2021-02,534.4689072104161
2021-03,525.1512083426404
2021-04,539.4196944565138
2021-05,553.8811724535193
2021-06,569.895336948066
2021-07,586.7015550106544
2021-08,605.5456716326534
2021-09,603.6909017591693
2021-10,622.2531747720285
2021-11,617.0061696959806
2021-12,644.6105554188447
2022-01,648.8280024848248
2022-02,637.9063622805851
2022-03,601.8314075483861
2022-04,604.0474769415505
2022-05,580.2426098225077
2022-06,547.6795962986863
2022-07,540.2838125808737
2022-08,545.6012231263636
2022-09,532.8770265518457
2022-10,500.6549621709467
2022-11,517.343100511428
2022-12,541.9637357689096
2023-01,526.941010452838
2023-02,528.5843067038561
2023-03,515.8301557407841
2023-04,546.3567563726554
2023-05,565.4847929001373
2023-06,551.6543888702153
2023-07,568.1053337616154
