Date,EMERGING MARKETS+CHINA A ONSH SMALL CAP
2013-09,3259.993746773462
2013-10,3294.8873582142496
2013-11,3352.0096248631266
2013-12,3304.3100548172006
2014-01,3271.9994300920252
2014-02,3394.816072236904
2014-03,3376.1820493835053
2014-04,3347.6596913312114
2014-05,3439.3008046352406
2014-06,3541.0759316372364
2014-07,3688.8091815285966
2014-08,3838.694146844784
2014-09,3978.4219331284007
2014-10,3986.604619821751
2014-11,4033.170937200303
2014-12,3872.296679924856
2015-01,4009.7246508741086
2015-02,4178.1530894340785
2015-03,4635.299824451441
2015-04,5250.068000712779
2015-05,5977.975155778768
2015-06,5525.256141317808
2015-07,4741.147769057514
2015-08,4152.782456954871
2015-09,4025.5699870254493
2015-10,4564.387095025067
2015-11,4720.274997834722
2015-12,4870.9786221522645
2016-01,3933.111857948018
2016-02,3909.7657370024795
2016-03,4454.112451355059
2016-04,4478.951365429273
2016-05,4298.20285990221
2016-06,4451.564576162578
2016-07,4535.57605085247
2016-08,4682.195334295981
2016-09,4718.414797739167
2016-10,4739.678225299978
2017-04,4703.168308
2017-05,4579.57259
2017-06,4679.903389
2017-07,4805.644413
2017-08,4954.030272
2017-09,4965.166119
2017-10,5025.093503
2017-11,4899.39523
2017-12,4982.066499
2018-01,5133.785502
2018-02,4870.193045
2018-03,4882.723191
2018-04,4747.191412153981
2018-05,4631.600744871353
2018-06,4159.86043042149
2018-07,4143.650708956905
2018-08,3944.704322197406
2018-09,3842.244873149865
2018-10,3425.1784282040326
2018-11,3630.183037654931
2018-12,3544.257631819176
2019-01,3679.4376192876507
2019-02,4022.8846789053755
2019-03,4228.976090468926
2019-04,4156.592657416151
2019-05,3911.659099612703
2019-06,3995.217557782506
2019-07,3914.67763618291
2019-08,3727.5097767454536
2019-09,3781.817088229506
2019-10,3881.2997951226503
2019-11,3825.7769038791134
2019-12,4116.339498539859
2020-01,4078.0478124452075
2020-02,3963.2031165177677
2020-03,3379.941944048106
2020-04,3645.8577303855504
2020-05,3704.131459323057
2020-06,4036.3532273663654
2020-07,4540.891701498132
2020-08,4730.121269952295
2020-09,4492.051093473528
2020-10,4496.157048449504
2020-11,4866.064667592805
2020-12,5001.178820682336
