Date,FM CENTRAL & EAST EUROPE + CIS SMALL CAP
2010-11,1000.0
2010-12,1079.7183303527897
2011-01,1170.9972565255746
2011-02,1168.7595679868534
2011-03,1194.5754842866077
2011-04,1213.4195198788962
2011-05,1156.7671966306737
2011-06,1132.7487541515166
2011-07,1101.3001075126351
2011-08,970.4590352309372
2011-09,809.5069882693207
2011-10,815.1626916996299
2011-11,742.878250756198
2011-12,704.6860534415516
2012-01,745.2980494940348
2012-02,780.3543211197821
2012-03,805.9761974672887
2012-04,806.9634435761877
2012-05,681.2084388088906
2012-06,703.0373951193891
2012-07,702.1503631777753
2012-08,709.1614727824417
2012-09,778.6516941888711
2012-10,797.12142275534
2012-11,792.9580413709849
2012-12,843.3015113419023
2013-01,887.8712091925399
2013-02,867.3499641556724
2013-03,879.6027854712493
2013-04,902.4596527319715
2013-05,863.7123333596729
2013-06,865.2084283177497
2013-07,920.8539749108713
2013-08,883.9416553945625
2013-09,897.0635448308136
2013-10,905.4783609998681
2013-11,916.2001170230789
2013-12,919.5933160051118
2014-01,958.7320846281302
2014-02,998.1858733064056
2014-03,994.1270042262463
2014-04,1033.0242054526461
2014-05,1071.5099233122328
2014-06,1126.7175866446385
2014-07,1119.233058744595
2014-08,1137.2206167313493
2014-09,1123.4754646035044
2014-10,1090.9399106206322
2014-11,1092.538666673573
2014-12,1038.0536548260127
2015-01,980.0474363099783
2015-02,978.5294758178917
2015-03,937.2524641923326
2015-04,1019.2242050829459
2015-05,996.6136271380308
2015-06,985.6858868543951
2015-07,1007.8533696243928
2015-08,987.8635828953484
2015-09,967.3477625222046
2015-10,984.1723807359053
2015-11,938.6549866723781
2015-12,959.1370204378279
2016-01,913.4435320517497
2016-02,936.5325407894579
2016-03,1017.3156762350324
2016-04,1012.2573778608117
2016-05,1029.7241139563494
2016-06,1024.6063206964684
2016-07,1088.2783057616818
2016-08,1110.5258359889128
2016-09,1143.788372669411
2016-10,1135.2873873798037
2016-11,1076.9873723228566
2016-12,1073.168330581197
2017-01,1173.2319097873487
2017-02,1212.7293109827315
2017-03,1149.2916424994132
2017-04,1150.334102
2017-05,1220.725073
2017-06,1236.36835
2017-07,1285.493184
2017-08,1303.742631
2017-09,1287.488294
2017-10,1275.030117
2017-11,1282.65804
2017-12,1291.910816
2018-01,1384.372525
2018-02,1316.231197
2018-03,1319.660991
2018-04,1299.7231994077522
2018-05,1270.5714175441083
2018-06,1301.418385743483
2018-07,1310.5557275208153
2018-08,1306.2330173207533
2018-09,1283.7073420726044
2018-10,1204.4335128239045
2018-11,1208.6513805786203
2018-12,1145.7976862965966
2019-01,1191.727413941816
2019-02,1210.198668045334
2019-03,1203.0451510527341
2019-04,1228.9399364253397
2019-05,1224.793885428097
2019-06,1285.986063529343
2019-07,1259.7764632570845
2019-08,1227.8668966385728
2019-09,1265.5174513342008
2019-10,1302.5512018072995
2019-11,1300.7018781681784
2019-12,1347.2837752520045
2020-01,1352.2982136107007
2020-02,1263.3955232821768
2020-03,1023.7973908371685
2020-04,1096.3496390681007
2020-05,1171.4357378196337
2020-06,1189.894461969254
2020-07,1257.5964516248875
2020-08,1297.2735028655475
2020-09,1277.7226502470623
2020-10,1253.8378873003903
2020-11,1387.9548944680664
2020-12,1459.2138093838262
2021-01,1527.6108388979203
2021-02,1527.4924572895702
2021-03,1513.7675295875827
2021-04,1598.5859386851141
2021-05,1697.931142866952
2021-06,1677.1421284757182
2021-07,1691.6353406436097
2021-08,1703.1366086978849
2021-09,1655.2775722542824
2021-10,1691.7614882649702
2021-11,1598.7212583469232
2021-12,1676.658612016024
2022-01,1699.2884766348686
2022-02,1551.9259917947518
2022-03,1608.9890750124098
2022-04,1518.4787663464363
2022-05,1509.7766436381219
2022-06,1418.923342324348
2022-07,1396.7260896037635
2022-08,1370.6488414017267
2022-09,1195.4901344549678
2022-10,1260.8140060548494
2022-11,1343.876014479254
2022-12,1413.9847732705682
2023-01,1527.5787932700628
2023-02,1535.0200500396297
2023-03,1556.8813632659367
2023-04,1619.2057926493428
2023-05,1524.0209639760176
2023-06,1610.619344766683
2023-07,1684.7540199554076
